Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Full Text	Type	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Nine points document						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Documents				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 19; Folder Title: Pictures - Nine Points; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000400001001			Image					image/tiff	13102.499 KB	4883	6290	0xC1857BFB	RGB	24-bit color	600 dpi	02180000400001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/64	64	39.jp2	/chc0218/image/39.jp2
Woman sewing with industrial machine						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1965?	1960-1970	Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 50; Folder No. 208; Folder Title: Training for independence: Women, tailoring; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000480001001			Image					image/tiff	9538.053 KB	6124	4945	0x91CE0A86	RGB	24-bit color	600 dpi	02180000480001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/65	65	46.jp2	/chc0218/image/46.jp2
Mother and her children at the dispensary of the Cuban Refugee Center						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 48; Folder No. 165; Folder Title: Medical Dispensary: Medical Care; Folder Date: 1961-1970's				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000740001001			Image					image/tiff	12012.925 KB	6041	4883	0x200ECB13	RGB	24-bit color	600 dpi	02180000740001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/66	66	71.jp2	/chc0218/image/71.jp2
Map of the United States with thumbtacks						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 30; Folder Title: Refugees pointing at a map; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000350001001			Image					image/tiff	11742.734 KB	6021	4862	0xFCC2F040	RGB	24-bit color	600 dpi	02180000350001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/67	67	34.jp2	/chc0218/image/34.jp2
Giveaway of Junior Red Cross Friendship boxes						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1971-04	1970-1980	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 58; Folder No. 381; Folder Title: American Red Cross: Junior Friendship Boxes; Folder Date:  n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000200001001			Image					image/tiff	4546.215 KB	6000	4841	0x4AE2E46A	RGB	24-bit color	600 dpi	02180000200001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/68	68	20.jp2	/chc0218/image/20.jp2
Director of Cuban Refugee Center Marshall Wise and his wife Pilar, at the entrance of the Freedom Tower						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1961?	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 57; Folder No. 358; Folder Title: Wise, Marshall: Groups 1966; Folder Date: 1966				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000510001001			Image					image/tiff	12215.547 KB	5007	6083	0xCF5B7A2E	RGB	24-bit color	600 dpi	02180000510001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/69	69	49.jp2	/chc0218/image/49.jp2
Planes family						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1964-03	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 30; Folder Title: Refugees pointing at a map; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000020001001			Image					image/tiff	2270.885 KB	2441	1966	0x556DBEA0	RGB	24-bit color	600 dpi	02180000020001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/70	70	2.jp2	/chc0218/image/2.jp2
Cuban couple with children						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1968	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 46; Folder Title: Resettlements 1968; Folder Date: 1968				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000120001001			Image					image/tiff	1540.624 KB	2503	1945	0x49168AD0	RGB	24-bit color	600 dpi	02180000120001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/71	71	12.jp2	/chc0218/image/12.jp2
Directors of the Cuban Refugee Center				Left to right: Marshall Wise, director (March 1961-May 1963), Dillon S. Myer, interim director (Feb. 1961-March 1961), J. Arthur Lazell, director (May 1963-?)		Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1964-03	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 57; Folder No. 358; Folder Title: Wise, Marshall: Groups 1966; Folder Date: 1966				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000570001001			Image					image/tiff	1782.642 KB	2524	1966	0x9873E990	RGB	24-bit color	600 dpi	02180000570001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/72	72	55.jp2	/chc0218/image/55.jp2
Man sawing piece of wood						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1968	1960-1970	Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 50; Folder No. 202; Folder Title: Training for independence 1968; Folder Date: 1968				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000390001001			Image					image/tiff	5328.163 KB	4945	6000	0xFA7264A	RGB	24-bit color	600 dpi	02180000390001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/73	73	38.jp2	/chc0218/image/38.jp2
Children at the day care center						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 15; Folder Title: Day Care 1965; Folder Date: 1965				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000720001001			Image					image/tiff	12406.401 KB	6021	4862	0x2617CC5	RGB	24-bit color	600 dpi	02180000720001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/74	74	69.jp2	/chc0218/image/69.jp2
Page 1																											chc0218000081	chc02180000810001001									40749484 Bytes	2497	5437	3731102039	RGB	8	600	chc02180000810001001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/94	94	95.jp2	/chc0218/image/95.jp2
Page 2																											chc0218000081	chc02180000810002001		THE  CUBAN  REFUGEE  PROGRAM  Herein are the Director's Observations about the Cuban Refugee  Program... a success story crediting a courageous people who have  fled to freedom ... and generous  Americans who help them adjust  to new lives. It is a story far from  finished... in the important effort  to encourage Free World principles in the Western Hemisphere.  COVER PHOTO —The elation of impending rescue  shows in signals from Cuban refugees, sighted by a  U. S. Coast Guard patrol in the Straits of Florida,  More than 10,000 men, women, and children have  come through the perils of the sea in small boats propelled by motor, sail, or oar — many in homemade,  inflated rafts like those pictured. How many have lost  their bid for freedom in small craft will never be  known.  A publication of the  U.S. Department of Health, Education, and Welfare  Social and Rehabilitation Service  Cuban Refugee Program 							40805736 Bytes	2495	5449	3819399384	RGB	8	600	chc02180000810002001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/95	95	96.jp2	/chc0218/image/96.jp2
Page 3																											chc0218000081	chc02180000810003001		PREFACE  REFUGEES are a people in need. Their origin is not  important. . . their need is. And this need must be met  at once if man and family are to be salvaged ... if  they are to be ultimately free. Refugees are a people  thrust abruptly from a normal existence into a rootless  and strange environment by strong and compelling  factors. Fleeing oppression, the upheaval of war, and  natural calamity, refugees have one thing in common  —a need for help and understanding.  The Cuban Refugee Program is a program to help  people. It is, at the same time, a new and challenging  experience for the United States. For the first time in  our history large numbers of refugees have arrived  directly on our shores fleeing oppression and tyranny  in their homeland. Other refugee movements to the  United States have involved third countries, special  legislation, and assistance from private voluntary  resettlement agencies. However, the Cuban exodus,  flowing into Miami, Florida, required direct Federal  participation in operations.  Prior to December 1, 1965, the arrival of Cuban  refugees in the United States was anything but controlled. Each refugee made his way to this country  the best he could . . . more often than not at great  personal risk and sacrifice. However, the present  orderly airlift of refugees from Cuba has changed that  aspect of the program. It has not eliminated the need  to assist these people.  If we could forget the origin of their present situation, and look only at the problems they face in the  United States, we would discover that the needs of  Cuban refugees are indeed similar to those of United  States citizens existing on the fringes of our society.  Perhaps the procedures and solutions we have developed may generate similar solutions for the problems  facing so many of our own countrymen.  Our success in rehabilitating refugees has been  possible only through the efforts of many. All are  helping a people in need.  Howard H. Palmatier  Director  U.S. Cuban Refugee Program  Howard H. Palmatier began working with refugees in  Europe 25 years ago. A former Foreign Service Officer of the  U. S. Department of State, he is one of few men in federal  service with long and responsible experience in refugee  affairs. His positions have taken him from Europe to the  Middle East, from the United States to South Viet Nam. He  organized HEW participation in the current airlift of refugees  from Cuba to the United States. Sensitive to the problems of  individual refugees and families, his direction of the Cuban  Refugee Program reflects the concern of Americans to help  those in need. 							41069040 Bytes	2500	5473	220208215	RGB	8	600	chc02180000810003001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/96	96	97.jp2	/chc0218/image/97.jp2
Page 4																											chc0218000081	chc02180000810004001		THE SUCCESSFUL REHABILITATION  SERVICES  FOR  CUBANS CAN APPLY ALSO TO AMERICANS IN NEED  Needy Cuban refugees in the United States face many  of the same problems which confront U.S. citizens  in similar circumstances. Of course, the origins of  their respective situations differ. The incoming Cubans,  destitute because the Castro government forced them  to leave their possessions behind, are not victims of  general poverty. However, the Cubans are in a new  country, a new culture, and generally are not able to  use the English language. Yet, the successful solutions  applied to the need of Cuban refugees should not  differ greatly in many instances from those which  could materially help the needy American. As with  refugees, individuals and their families—as well as  their problems—must be identified. Information thus  compiled points the way to the tailoring of projects,  or systems of training and rehabilitation, which will  assist an American family to attain a position of self-  sufficiency. If a move to a new location is indicated—  better employment opportunities, for instance—the  family is not left on its own, helped only by receiving  a railway or bus ticket. The family must be involved  with an agency that serves both on the sending end and  the receiving end. These coordinating agencies—preferably representing the private sector—counsel intensively with the entire family, planning carefully for  the adjustment in the "resettlement" area. Since the  problems are similar to those of the Cubans, it should  follow that similar solutions will prove successful. 							40990528 Bytes	2493	5478	3743793994	RGB	8	600	chc02180000810004001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/97	97	98.jp2	/chc0218/image/98.jp2
Page 5																											chc0218000081	chc02180000810005001		LIFE BEGINS ANEW  The Director's Story of  The U.S. Cuban Refugee Program -  Now And Earlier  January, 1970  The movement of people that has brought about the  Cuban Refugee Program is unique in the Western  Hemisphere. Yet it points up a basic cause that has  in the past, and continues today, elsewhere in the  world, to place people in a refugee status. The Vietnamese are an example.  Through no fault of their own, the Cubans and  the Vietnamese find that they must uproot themselves  from their homes due to their inability and unwillingness to live within a system of terror and persecution.  These people "vote with their feet" as they move  on to more secure ground.  Consider the pattern of assistance that can be  rendered to refugees. The first phase must be devoted  to helping them meet the necessities of hfe, i.e., food,  shelter, clothing, medical attention, and schooling for  children. The second phase must be to make it possible for the refugees to return to normal life as quickly  as possible. In every refugee situation, the key lies in  how fast a person, caught in the trauma of the homeless, can be moved into a secure normal life. This step  must be made as quickly as possible to prevent apathy  and self-pity from grabbing a death-like hold on the  individual.  Then comes the need for the normal community,  the new community in which the refugee is being  relocated, to become involved in the resettlement  process. One of the most encouraging aspects of the  Cuban airlift program is the hundreds of phone calls  which our offices receive, asking for quick onforward-  ing of refugees who arrive in Miami destined to go  to other communities. There is more involved than  the emotion of the occasion; there is the understanding  of the need for the harassed to be among relatives and  friends in a normal family situation as quickly as  possible, to prevent untold damage from being done  to the individual refugee.  A TEST OF DEMOCRACY'S STRENGTH  Refugee situations become a test of the strength of a  country in its practice of democratic principles. The  people who can make real the lessons from Matthew:  "For I was a stranger, and ye took me in" ... are  truly a strong people. And the Free World must show  its support, particularly from non-government sources. 							42006976 Bytes	2552	5484	328685295	RGB	8	600	chc02180000810005001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/98	98	99.jp2	/chc0218/image/99.jp2
Page 6																											chc0218000081	chc02180000810006001		At the end of December, 1969, our records showed  that the Cuban Refugee Center had registered 356,784  refugees and that, through the efforts of the Voluntary  Agencies, 236,199 refugees had been resettled away  from Miami. An additional number had also resettled  through other resources.  From all sides there was the feeling that the American people had successfully met the challenge posed  by the action of Castroism. Cuban communities had  developed in U.S. areas in which no Cubans resided  previously to 1959, and in others in which only a handful of people of Cuban descent dwelled. Cuban doctors  were working in hospitals and institutions, Cuban  teachers became Spanish language teachers in many  high schools and colleges, Cuban lawyers became  insurance adjusters, abstract readers, teachers, welfare  interviewers, yes — Cubans began appearing in all  walks of life throughout the nation. Less than five  percent of the resettled refugees ever required welfare  assistance and then only for short periods of time. In  Miami the public assistance caseload was reduced to  8,000 cases in October 1965, comprising less than  14,000 persons. This caseload carried the same types  of cases that require welfare assistance amongst the  Americans, i.e., over 65 years of age, medically unfit  for work, handicapped physically, and women with  young children. Within this 8,000 caseload there were  perhaps 1,500 cases which, provided the bread winner  learned rudimentary English and/ or followed a course  in vocational training, could eventually be resettled  and thus removed from the welfare rolls. Therefore,  it could be said that this splendid cooperative effort  between public and private agencies has assisted in  /&lt;,/Íj,'í&gt;.C'-^  To Freedom By Airlift  2 							42046952 Bytes	2541	5513	1797969622	RGB	8	600	chc02180000810006001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/99	99	100.jp2	/chc0218/image/100.jp2
Page 7																											chc0218000081	chc02180000810007001		Some Kiss Free Soil  the rapid and thorough adjustment of the great mass  of the Cuban refugees who sought asylum in this  country after 1959.  PRESIDENT JOHNSON HERALDS NEW PHASE  Then, on October 3, 1965, President Johnson stated  that "those who seek refuge here in America will find  it." The President directed the Department of State  to seek agreements with the government of Cuba concerning the establishment of procedures for moving  refugees from Cuba to the United States. The position  of the U.S. government was that any movement should  be orderly, consistent with our laws, and in order of  priority. The Swiss Embassy in Havana, representing  U.S. interests in Cuba, and the Cuban Foreign Ministry exchanged notes on November 6, establishing  means for the movement of Cuban refugees to the  U.S. President Johnson had stressed the fact that, for  humanitarian reasons, first priority in refugee transportation would be reserved for the reuniting of  immediate relatives. It was agreed that the priorities  would be defined as follows: parents of unmarried  children under the age of 21, spouses, unmarried  children under the age of 21, and brothers and sisters  under the age of 21. It was further agreed that the first  priority would include other close relatives living in  Cuba of persons now in the United States who reside  in the same household as the immediate relatives,  when such inclusion was required by humanitarian  considerations.  President Johnson, in a letter addressed to Secretary John W. Gardner, of the Department of Health,  Education, and Welfare, dated November 18, 1965, 							41290956 Bytes	2503	5496	2471376081	RGB	8	600	chc02180000810007001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/100	100	101.jp2	/chc0218/image/101.jp2
Page 8																											chc0218000081	chc02180000810008001		wrote: "We must continue to place prime emphasis  on swift resettlement outside of the Miami area." He  stated further: "As a result of the Cuban Refugee  Program launched in 1961, more than 180,000 refugees have been aided to resettle and integrate in Miami  and elsewhere in the United States. This is a good  record of which Americans can be proud. I want our  new program to be even better."  AIRLIFT STARTS DECEMBER 1, 1965  As the result of President Johnson's statement of October 3, 1965, and the subsequent agreement worked out  with the Cuban government, refugees began entering  the United States from Cuba on December 1. Two  planeloads per day, five days per week, has been the  rate of arrivals. As of December 31, 1969, 175,901  refugees had arrived by airlift.  The Memorandum of Understanding between the  two governments calls for an exchange of lists. The  American lists, called U.S. Master Lists, name those  persons in Cuba claimed by relatives here whom the  United States considers eligible for entry within the  terms of the Memorandum. The Cuban lists—called  Cuban Master Lists — are compiled by the Cuban  government and name those persons considered  eligible for exit permits by that government. Those  names which appear on both lists form the basis for  what are called Joint Consolidated Lists—lists of persons both governments consider eligible for movement  under the terms of the agreement.  Forms submitted to the Cuban Refugee Center by  persons in the United States wishing to bring relatives  here from Cuba serve, in part, as the basis for compilation of our lists. This is a simple one-page form  which gives the name and address of the U.S. claimant,  and the name, date and place of birth, address, and  relationship of the persons in Cuba being claimed.  All this information is placed on data-processing cards  and is used by this and other federal agencies, not  only for compiling our lists but for other internal  processing requirements.  TEMPORARY DELAYS POSSIBLE  Before the final embarkation list for a specific flight  is made up, a number of things can happen which  might result in deletion of a name from the Joint  Consolidated List or cause a temporary delay in  departure from Cuba. The Cuban government may  decide at the last moment to deny permission to exit.  Also, new information of a security nature might  result in a last minute turndown by American authorities. Simple errors in spelling of a name, or other  mistakes in identification, may occur at the last  moment and delay or cancel departure. Every effort  is made to overcome the possibility of these last  moment disappointments.  A person cannot be in the Miami/Dade County 							41671736 Bytes	2533	5481	809399790	RGB	8	600	chc02180000810008001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/101	101	102.jp2	/chc0218/image/102.jp2
Page 9																											chc0218000081	chc02180000810009001		Family Reunions Daily  area without noting some of the results of this new  influx of Cuban refugees. The federal government  assured the community that the Cuban refugee problem is viewed as a national problem. Every effort is  being made, through the good offices of the four  Voluntary Agencies working with the federal government, to resettle the incoming refugee to a community  other than Miami. This resettlement program, as in  the past, assists greatly in relieving Miami of bearing  the brunt of the refugee impact. While we must admit  that it is difficult to counsel a person whose claimant  is living in Miami to move off to another community,  there is no intention on the part of the government  to introduce any element of "forced relocation." This  would not be in the American tradition. When an  incoming refugee, joining Miami relatives, requires  welfare assistance on an emergency-compassionate  basis, his Voluntary Agency points out the employment  possibilities and assistances which exist in other areas.  Cuban Refugee Program offices, both in Washington  and in Miami, have been overwhelmed by the rate in  which job offers come in. The fact that we are in the  midst of a booming economy can best be illustrated by  the letters, the visits, the telephone calls we receive  about job openings.  CUBANS HELP OTHER CUBANS  Another encouraging aspect is the desire on the part  of claimants around the country for their relatives  5 							41733504 Bytes	2528	5500	1318160218	RGB	8	600	chc02180000810009001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/102	102	103.jp2	/chc0218/image/103.jp2
Page 10																											chc0218000081	chc02180000810010001		to join them immediately after arrival. Should we go  to Miami to meet our relatives? Will the government  move them quickly and not subject them to days of  questioning? Can our parents join us in this city where  our foster parents live, right away? We are happy to  report that there is little delay due to governmental  red tape in the processing. We recognize the psychological value of moving a person on to his father, his  mother, his children and into a normal situation as  quickly as it is possible, and feasible, with the recognition that there may be instances in which a visit  with relatives in Miami, not the claimant, may be of  psychological advantage.  We have been pleased to note the encouraging  actions which have been taking place around the  country through newly developed Cuban nationality  groups. For example, a key group has been established  in Miami. This is the Cuban Sertoma Club which is  linked up nationally with other Sertoma clubs. Their  approach is non-political and one of service to their  fellow nationals. We are not, as we were during the  early days of the program, without strong Cuban  communities to call upon for assistance.  Still another development which has strengthened  our work might be dealt with in two parts. Soon after  the initial announcement on the new influx of Cubans,  President Johnson named an Interdepartmental Task  Force, under the chairmanship of HEW Secretary  Gardner, to seek ways in which the federal government might initiate programs, in cooperation with  local agencies, designed to meet some of the community problems in Miami/Dade County. The success of such efforts has been helpful.  Many times in this Program we have faced the  problem created by the necessity to establish training  programs and similar projects to help Cubans prepare  themselves for gainful employment in this country.  We were handicapped by the fear of doing more for  Cuban refugees than was being done for Americans  in need.  The possible impact of additional refugees in  Miami brought that community to the point of seeing  the need for increased federal assistance in establishing projects to service the Negroes, the Puerto Ricans  and the "welfare whites". The Dade County Community Task Force, working in conjunction with the  Washington Task Force, has helped the Miami/Dade  County area to alleviate the crush of poverty.  As of December 31, 1969, the number of cases of  Cuban refugees receiving public assistance in Miami  was 14,205. That is a far cry from the peak load of  over 21,281 cases. Of the current cases which involve  medical problems, a large proportion is comprised of  persons over 65. We are continuing our English language training programs and are pleased that most 							41232136 Bytes	2509	5475	2310484796	RGB	8	600	chc02180000810010001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/103	103	104.jp2	/chc0218/image/104.jp2
Page 11																											chc0218000081	chc02180000810011001		Help To Learn English  persons in the difficult employment ages of 56 to 64  are learning English.  One of our most difficult groups was the single  unaccompanied women (many of the latter with small  children) who did not have the training to become  employed. In one year, through our training programs, the motivation on the part of the women and  the generous aid of the Resettlement Agencies, we  were able to reduce this group.  The Resettlement Agencies, pressed as they are by  the continuing influx, are not overlooking the cases of  persons who arrived several years ago. Each has  reviewed the earlier cases, as the result of which many  of the refugees have been revitalized through effective  counseling and resettled to a new life.  RATE OF RESETTLEMENT HIGH  As of December 31, 1969, 175,901 refugees have  arrived in Miami by the airlift that started December  1, 1965. Of this number 125,277 refugees have been  resettled. Since registration at the Miami Center is voluntary, not all of the refugees destined to join relatives  in Miami are registered. On an overall basis our figures show that each week we are consistently moving  out of Miami,over the resettlement route, nearly as  many refugees as the number who register with the  Center. From the start of the airlift December 1, 1965,  on through the year 1969, refugees registered numbered 173,288. Refugees resettled in that period numbered 141,291, or 82 percent of those registered. The  figures in detail: REGISTRATIONS    RESETTLEMENTS  Dec. 1,'65-  Since  Dec. '69  Dec. 31, '69  Dec. '69  Dec. 1, "65-  On arrival  3,231  129,682  2,131  110,128  At Center  29  28,126  191  15,149  Other  485  15,480  144  16,014  3,745      173,288      2,466      141,291  Such a pattern proves that no community has anything serious to worry about from this Cuban influx. 							40966904 Bytes	2491	5479	3108988747	RGB	8	600	chc02180000810011001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/104	104	105.jp2	/chc0218/image/105.jp2
Page 12																											chc0218000081	chc02180000810012001		Since the inception of the airlift, through 1969, we  have moved 236,199 refugees from Miami. These  refugees went to almost 3,000 cities throughout the  United States, a remarkable distribution. With _the  United States economy booming, with Cuban and  other community groups showing such good will, we  know this current influx of Cuban refugees is one of  the smoothest movements of a refugee group in modern days.  One word about American repatriates. There is a  repatriation program, funded through authorization  from Congress, first in 1961 and renewed each year  thereafter. Many of the families coming out contain  Americans who are not the head of the family. In cases  in which the head of the family is a Cuban national,  the responsibility for the processing and handling of  the case rests with the Cuban Refugee Program. In  these cases the Voluntary Agencies are concerned just  as they are with the normal refugee cases entering via  the airlift. In cases in which the head of the family is  an American, the responsibility for assistance rests  with the Repatriate Office of HEW, which works  through state welfare offices. As the Cuban government has permitted, more than 686 Americans have  taken advantage of this means of escape from Cuba.  WELFARE CASES IN RESETTLEMENT LOW  One measurement of success in adjustment of the  Cuban refugee in the United States is the low number  of cases needing welfare assistance after resettlement.  Resettlement Agency representatives are urged to  encourage constituents to do everything possible to  help the refugee in the initial stage of resettlement.  Encouraging to refugees who aspire to full use of  their talents, and also to communities seeking to have  them participate more fully in the freedom to which  they have fled, is the 1966 law that eases steps necessary for them to become permanent residents. Thousands have applied to the Immigration and Naturalization Service for change-of-status from parolee (temporary guest) to resident, from which point they can  advance toward citizenship. Particularly in the professions and top trades these steps can move refugees  to higher service and greater income.  THE EARLIER YEARS OF THE PROGRAM  A glance backward to a "record of which Americans  can be proud" is needed to round out this review.  In February, 1961, President Kennedy charged  the Honorable Abraham Ribicoff, then Secretary of  Health, Education, and Welfare, with the responsibility of establishing a program to carry out a nine-  point outline advanced by the President to assist in  meeting the needs of the Cuban refugees who were  coming into this country at the rate of 1,800 per week. 							41139488 Bytes	2492	5500	651176986	RGB	8	600	chc02180000810012001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/105	105	106.jp2	/chc0218/image/106.jp2
Page 13																											chc0218000081	chc02180000810013001		In this emergency situation, the Department of  Health, Education, and Welfare naturally turned to  existing public and voluntary agencies to carry out  various aspects of the refugee program. In fact, several  voluntary agencies were already active in Miami.  On the federal side, the Department called upon  several of its own units: the Children's Bureau, in  connection with Cuban children who were arriving  without parents or relatives; the Public Health Service,  for formulation of a program of medical services; the  Bureau of Family Services, with respect to financial  assistance; and the Office of Education, in relation to  the education of both children and adults. Also, it  turned to the Department of Labor for aid in job  placement of refugees in other localities; and to the  Department of Agriculture for surplus commodities.  STATE AND LOCAL AGENCIES INVOLVED  In Florida, at the State and local level, the involvement of a number of public agencies was sought: The  Florida Department of Public Welfare, the Dade  County Board of Public Instruction, and the Dade  County Health Department.  Four national Voluntary Agencies agreed to carry  out the resettlement program, under contract with  the federal government. They were: Catholic Relief  Services, of the National Catholic Welfare Conference, now known as U.S. Catholic Conference;  Church World Service, of the National Council of  Churches, a Protestant organization; the Hebrew  Immigrant Aid Society (HIAS), which has been  concerned with the relatively small number of Jewish  persons among the refugees; and, the non-sectarian  International Rescue Committee. All four agencies  have experience in the international resettlement of  refugees.  Throughout the nation, cooperating agencies and  institutions include: state and local welfare depart-  *«*  Miami i   3il;i  'There s Our New Home Town"  9 							41949196 Bytes	2536	5511	777515827	RGB	8	600	chc02180000810013001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/106	106	107.jp2	/chc0218/image/107.jp2
