Title	Translated Title	Watch Video	Speakers	Host	Summary	Note	Subjects	Genre	Publisher	Date	Physical Description	Language	Full Text	Web Site	Repository	Collection Title	Collection No.	Series	Container	Program	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Date Digital	Type	Format	Original Source	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Program													The Cuban Heritage Collection is pleased to invite you to a book presentation by  Architect and author Hermes Mallea gives an insider’s tour of Havana’s architectural gems. His book, Great Houses of Havana: A Century of Cuban Style (The Monacelli Press, November 2011), brings the reader inside some of Havana’s most important homes built between 1860 and 1960, presenting their fascinating personal histories alongside Havana’s architectural patrimony.  Image courtesy Hermes Mallea  2011  Thursday  pm  Cuban Heritage Collection  Roberto C. Goizueta Pavilion, 2nd floor  Otto G. Richter Library  Please R.S.V.P. by December 12 to  chc@miami.edu or (305)284-4900.  University of Miami  1300 Memorial Drive  Coral Gables, FL  6:30pm Lecture  6:00pm Reception												chc5229000014	chc52290000140001001					application/pdf		chc5229000014.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/79	79	81.pdf	/chc5229/image/81.pdf
Great Houses of Havana: A Century of Cuban Style			Mallea, Hermes	University of Miami Libraries. Cuban Heritage Collection.		Architect and author Hermes Mallea gives an insider’s tour of Havana’s architectural gems. His book, Great Houses of Havana: A Century of Cuban Style (The Monacelli Press, November 2011), brings the reader inside some of Havana’s most important homes built between 1860 and 1960, presenting their fascinating personal histories alongside Havana’s architectural patrimony.	Mallea, Hermes; Architecture -- Cuba -- Havana	Public speaking		2011-12-15	1 streaming video (01:03:21 hr.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000014			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/81	81	83.cpd	/chc5229/image/83.cpd
Watch the Video																											CHC5229000014				video/mp4	Betacam	3.url		2012-09-06	2012-09-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/82	82		
Program													a lecture by José Quiroga  Professor of Spanish and Comparative Literature at Emory University  Virgilio Unbound: The Piñera Reality Show  and opening reception for the exhibition  A Theatrical Thunderbolt: Cuban Playwright Virgilio Piñera in his Centenary  Cuban Heritage Collection, Roberto C. Goizueta Pavilion  Otto G. Richter Library, University of Miami  1300 Memorial Drive, Coral Gables, Florida 33146  Reception  6:00 p.m.  Lecture  7:00 p.m.  Sponsored by  Cuban Heritage Collection, University of Miami Libraries  Department of Modern Languages & Literatures  Program in Women’s and Gender Studies  R.S.V.P. by August 27th to chc@miami.edu or (305) 284-4900  Cllick here for directions and parking information »  This lecture opens the conference  “Sexual and Cultural Politics in Virgilio Piñera’s Theater”  at the University of Miami from 8/31-9/2, 2012. Read more »  Photograph by Korda, 1960.  Courtesy of Norge Espinosa.  Thursday, August 30, 2012  José Quiroga will introduce Virgilio Piñera, the man  and the artist, focusing on his relevance to Cuban and  Latin American literature, as well as his importance  to contemporary issues of gender and queer studies,  dissidence and ethics. He will also speak about the  impact of Piñera’s life and work on future generations  of artists and scholars.														chc5229000015	chc52290000010015001			application/pdf		chc5229000015.pdf		2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/83	83	85.pdf	/chc5229/image/85.pdf
Virgilio Piñera: The Piñera Reality Show			Quiroga, José	University of Miami Libraries. Cuban Heritage Collection.		José Quiroga is professor of Spanish and comparative literature at Emory University.  He will introduce Virgilio Piñera, the man and the artist, focusing on his relevance to Cuban and Latin American literature, as well as his importance to contemporary issues of gender and queer studies, dissidence and ethics. He will also speak about the impact of Piñera’s life and work on future generations of artists and scholars.	Piñera, Virgilio, 1912-1979; Theater -- Cuba	Public speaking		2012-08-30	1 streaming video (34:29 min.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000015			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/85	85	87.cpd	/chc5229/image/87.cpd
Watch the Video, CHC5229000015																											CHC5229000015				video/mp4	Betacam	0.url		2013-02-15	2013-02-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/86	86		
Online Interview																											chc5229000012	chc52290000120001001			application/pdf		chc5229000012.pdf		2013-04-29	2013-04-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/87	87	89.pdf	/chc5229/image/89.pdf
Pedro Pan Exodus Presentation				University of Miami Libraries. Cuban Heritage Collection.		Pedro Pan Exodus Presentation featured several guest speakers who discussed the impact of the program as well as their personal experiences as Pedro Pans.	Operation Pedro Pan; Cuban Americans -- Cultural assimilation; Cuba -- History -- 1959-1990 -- Sources;	Public speaking		2011-03-08	1 streaming video (51:44 min.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000012			Moving Image; Sound; Text	video/mp4; application/pdf				2013-04-29	2013-04-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/89	89	91.cpd	/chc5229/image/91.cpd
Watch the Video																											CHC5229000012				video/mp4	Betacam	0.url		2013-04-29	2013-04-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/90	90		
Program													The Cuban Heritage Collection and  the Center for Latin American Studies invite you to  ‘Above All Politics’? : The Virgin of  Charity and Cuban Streets,  1951-1961  Cuban Heritage Collection  Roberto C. Goizueta Pavilion  Otto G. Richter Library, Second Floor  Both events are free and open to the public. Please R.S.V.P. by April 10 to chc@miami.edu.  Made possible with funding by The Goizueta Foundation.  A lecture by Jalane Schmidt  Associate Professor of Religious Studies  at the University of Virginia  Tuesday, April 16th, 2013  Reception 4:30 p.m.  Lecture 5:00 p.m.  Wednesday, April 17th, 2013  10:00 a.m. - 12:00 p.m.  11:30 a.m. - Discussion  Jalane Schmidt, Associate Professor of Religious Studies at the  University of Virginia  10:30 a.m. - Student Presentations  Introduction by Dr. Michelle Gónzalez Maldonado, Associate  Professor of Religious Studies  Thomas Terrill: “Criminalization of Afro-Cuban Reli-gions:  Urban versus Rural”  Elaine Penagos: “Female Archetypes and Stereotypes of  Santeria Deities”  Elena Díaz-Verson Amos Conference Room  Roberto C. Goizueta Pavilion  Otto G. Richter Library, Second Floor  Afro-Cuban Religion: Race, Gender, and Politics  Highlighting the research of Undergraduate Scholars  Undergraduate Scholars Symposium  10:00 a.m. - Continental Breakfast  10:15 a.m. - Welcome Remarks  María R. Estorino, Cuban Heritage Collection  Dr. Ariel Armony, Center for Latin American Studies														chc5229000017	chc52290000170001001			application/pdf		jalane-FINAL.pdf		2013-06-27	2013-06-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/91	91	94.pdf	/chc5229/image/94.pdf
"Above all politics"? : the Virgin of Charity and Cuban streets, 1951-1961			Schmidt, Jalane	University of Miami Libraries. Cuban Heritage Collection		Jalane Schmidt, professor of Religious Studies at the University of Virginia, presented the lecture "Above all politics"? : the Virgin of Charity and Cuban streets, 1951-1961.	Schmidt, Jalane; Blacks -- Cuba; Cuba -- Religion	Public speaking		2013-04-16	1 streaming video (41:23 min.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection	Cuban Heritage Collection Lectures and Presentations	CHC5229						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000017			MovingImage; Sound; Text	video/mp4; application/pdf				2013-06-27	2013-06-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/93	93	96.cpd	/chc5229/image/96.cpd
Blog Post													Cuban blogger Yoani Sánchez visits CHC Cuban blogger Yoani Sánchez visits CHC Cuban blogger Yoani Sánchez visits CHC Cuban blogger Yoani Sánchez visits CHCCuban blogger Yoani Sánchez visits CHCCuban blogger Yoani Sánchez visits CHC Cuban blogger Yoani Sánchez visits CHCCuban blogger Yoani Sánchez visits CHCCuban blogger Yoani Sánchez visits CHC Cuban blogger Yoani Sánchez visits CHC  April 2, 2013 Cuban Heritage Collection Blog post This afternoon, Cuban blogger Yoani Sánchez visited us for a private tour of the Cuban Heritage Collection and an interview session with University of Miami student media. In this picture, Deputy Chair María R. Estorino is giving her an overview of our website, search tools, and digital collections while UM President Donna E. Shalala looks on. Ms. Sánchez has repeatedly indicated that technology tools and access to information as two of the most important things that Cubans on the island need. We did our part to answer this call by giving her 10 flash drives loaded with a selection of materials digitized from the CHC’s holdings, including four of the over 100 interviews we have conducted as part of our Luis J. Botifoll Oral History Project. Ms. Sánchez has been on a whirlwind tour of various countries since she was allowed to leave Cuba in February. After stops in Brazil, the Czech Republic, Spain, and New York, she arrived in Miami last week and spoke yesterday at Miami Dade College’s Freedom Tower and at Florida International University. You can read about her tour in her own words and pictures on her blog Generación Y (or translated into English on Generation Y), on Twitter @yoanisanchez, and Instagram.														chc5229000016	chc52290000160001001			application/pdf		chc5229000016.pdf		2013-05-29	2013-05-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/94	94	97.pdf	/chc5229/image/97.pdf
A conversation with Cuban blogger Yoani Sánchez			Sánchez, Yoani, 1975-	University of Miami Libraries. Cuban Heritage Collection		During her visit to the CHC, Yoani Sánchez was interviewed in the Elena Díaz-Versón Amos Conference Room by a group of UM students that included representatives from the Miami Hurricane newspaper, WVUM, UMTV, and the Federation of Cuban Students.	Sánchez, Yoani, 1975 -; Human rights -- Cuba; Cuban Heritage Collection; Technology -- Cuba	Public speaking		2013-04-02	1 streaming video (21:18 min.); 1 PDF, 2 pages	spa			University of Miami Libraries. Cuban Heritage Collection	Cuban Heritage Collection Lectures and Presentations	CHC5229						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000016			MovingImage; Sound; Text	video/mp4; application/pdf				2013-05-29	2013-05-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/96	96	99.cpd	/chc5229/image/99.cpd
Watch the Video																											CHC5229000017				video/mp4	Betacam	1.url		2013-05-29	2013-05-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/97	97		
Watch the Video																											CHC5229000016				video/mp4	Betacam	0.url		2013-05-29	2013-05-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/98	98		
