Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	Full Text	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Extracts from minutes, 1900 (page 10)					Written on front: "1900"; "July 5"; "July 19"; "Aug 2"; Stamped on front: "10"				1900	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170010001			92114764 Bytes	5011	6126	466682265	RGB	8	600	asm04000000170010001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/973	973	974.jp2	/asm0400/image/974.jp2
Extracts from minutes, 1900 (page 11)					Written on front: "1900"; "Sep 20"; Stamped on front: "11"				1900-09-20	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170011001			91976652 Bytes	5047	6073	4167111560	RGB	8	600	asm04000000170011001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/974	974	975.jp2	/asm0400/image/975.jp2
Extracts from minutes, 1900 (page 12)					Written on front: "1900"; "Oct 4"; "Oct 18"; Stamped on front: "12"				1900-10	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170012001			90943520 Bytes	4940	6135	1408325048	RGB	8	600	asm04000000170012001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/975	975	976.jp2	/asm0400/image/976.jp2
Extracts from minutes, 1900 (page 13)					Written on front: "1900"; "Nov 1"; "Nov 8"; "Nov 15"; Stamped on front: "13"				1900-11	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170013001			91621320 Bytes	5056	6039	4125563136	RGB	8	600	asm04000000170013001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/976	976	977.jp2	/asm0400/image/977.jp2
Extracts from minutes, 1900 (page 14)					Written on front: "1900"; "Nov 22"; "Dec 6"; Stamped on front: "14"				1900	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170014001			90765880 Bytes	4936	6128	2943045898	RGB	8	600	asm04000000170014001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/977	977	978.jp2	/asm0400/image/978.jp2
Extracts from minutes, 1900; Miami in other days (page 15)					Written on front: "1900"; "Dec 13"; "clipping Nov 1, 1913"; Stamped on front: "15"					1900-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170015001			91339724 Bytes	5023	6060	350959932	RGB	8	600	asm04000000170015001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/978	978	979.jp2	/asm0400/image/979.jp2
Extracts from minutes, 1901 (page 25)					Written on front: "1901"; "Jan 3"; "Jan 24"; Stamped on front: "25"				1901-01	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170016001			90364084 Bytes	4999	6024	537078209	RGB	8	600	asm04000000170016001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/979	979	980.jp2	/asm0400/image/980.jp2
Extracts from minutes, 1901 (page 26)					Written on front: "1901"; "Feb 7"; "Feb 21"; Stamped on front: "26"				1901-02	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170017001			92772764 Bytes	5032	6144	3265952076	RGB	8	600	asm04000000170017001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/980	980	981.jp2	/asm0400/image/981.jp2
Extracts from minutes, 1901 (page 27)					Written on front: "1901"; "March 7"; Stamped on front: "27"				1901-03-07	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170018001			92170168 Bytes	5072	6056	203941669	RGB	8	600	asm04000000170018001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/981	981	982.jp2	/asm0400/image/982.jp2
Extracts from minutes, 1901 (page 28)					Written on front: "1901"; "March 28"; Stamped on front: "28"				1901-03-28	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170019001			92572312 Bytes	5008	6160	1702226364	RGB	8	600	asm04000000170019001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/982	982	983.jp2	/asm0400/image/983.jp2
Extracts from minutes, 1901 (page 29)					Written on front: "1901"; "April 4"; "April 18"; Stamped on front: "29"				1901-04	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170020001			93165660 Bytes	5120	6064	533487142	RGB	8	600	asm04000000170020001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/983	983	984.jp2	/asm0400/image/984.jp2
Extracts from minutes, 1901 (page 30)					Written on front: "1901"; "May 2"; "May 16"; Stamped on front: "30"				1901-05	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170021001			92581872 Bytes	5048	6112	950487684	RGB	8	600	asm04000000170021001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/984	984	985.jp2	/asm0400/image/985.jp2
Extracts from minutes, 1901 (page 31)					Written on front: "1901"; "May 30"; Stamped on front: "31"				1901-05-30	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170022001			91903316 Bytes	5064	6048	1989394002	RGB	8	600	asm04000000170022001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/985	985	986.jp2	/asm0400/image/986.jp2
Extracts from minutes, 1901 (page 32)					Written on front: "1901"; "June 6"; "July 18"; "Aug 1"; "Aug 15"; Stamped on front: "32"				1901	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170023001			92236064 Bytes	5016	6128	2480137929	RGB	8	600	asm04000000170023001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/986	986	987.jp2	/asm0400/image/987.jp2
Extracts from minutes, 1901 (page 33)					Written on front: "1901"; "Oct 3"; "Nov 7"; "Nov 21"; Stamped on front: "33"				1901	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170024001			92920108 Bytes	5120	6048	4117091356	RGB	8	600	asm04000000170024001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/987	987	988.jp2	/asm0400/image/988.jp2
Extracts from minutes, 1901 (page 34)					Written on front: "1901"; "Nov 26"; "Dec 5"; Stamped on front: "34"				1901	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170025001			93180984 Bytes	5028	6176	2007534166	RGB	8	600	asm04000000170025001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/988	988	989.jp2	/asm0400/image/989.jp2
Extracts from minutes, 1901 (page 35)					Written on front: "1901"; "Dec 12"; "Dec 19"; Stamped on front: "35"				1901-12	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170026001			91256896 Bytes	5006	6075	3534926776	RGB	8	600	asm04000000170026001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/989	989	990.jp2	/asm0400/image/990.jp2
Extracts from minutes, 1901 (page 36)		Dearborn, E.C., Mrs.			Written on front: "1901"; "Dec 26"; "Mrs. Dearborn, Sec. Pro tem"; Stamped on front: "36"				1901-12-26	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170027001			92999580 Bytes	5037	6153	3076834094	RGB	8	600	asm04000000170027001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/990	990	991.jp2	/asm0400/image/991.jp2
Death of Mrs. E.H. Bolton (page 37)					Written on front: "1901"; "obituary prepared by club, Nov 26, 1901"; Printed on clipping: "Anna K. Dearborn, Pres., Florence P. Haden, Sec."; Stamped on front: "37"				1901	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170028001			91307996 Bytes	4999	6087	4138768877	RGB	8	600	asm04000000170028001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/991	991	992.jp2	/asm0400/image/992.jp2
Seventh annual meeting, State Federation of Woman's Clubs (page 47)					Written on front: "1902"; Stamped on front: "47"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170029001			92171672 Bytes	5072	6056	776754399	RGB	8	600	asm04000000170029001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/992	992	993.jp2	/asm0400/image/993.jp2
Seventh annual meeting, State Federation of Woman's Clubs (page 48)					Stamped on front: "48"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170030001			93497408 Bytes	5032	6192	1755873529	RGB	8	600	asm04000000170030001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/993	993	994.jp2	/asm0400/image/994.jp2
Seventh annual meeting, State Federation of Woman's Clubs (page 49)					Stamped on front: "49"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170031001			92849356 Bytes	5056	6120	2833996554	RGB	8	600	asm04000000170031001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/994	994	995.jp2	/asm0400/image/995.jp2
Extracts from minutes, 1902 (page 51)		Haden, Florence P.			Written on front: "1902"; "Jan 2"; "F.P.H. Sec."; "Jan 9"; Stamped on front: "51"				1902-01	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170032001			92834404 Bytes	5065	6108	2943432954	RGB	8	600	asm04000000170032001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/995	995	996.jp2	/asm0400/image/996.jp2
Extracts from minutes, 1902 (page 52)		Haden, Florence P.; Munroe, Jessie Wirth, 1875-1940			Written on front: "1902"; "Jan 16"; "F.P.H. Sec."; "Jan 23"; "Jessie Munroe, Sec. Pro tem"; Stamped on front: "52"				1902-01	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170033001			94773664 Bytes	5081	6216	3509033559	RGB	8	600	asm04000000170033001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/996	996	997.jp2	/asm0400/image/997.jp2
Extracts from minutes, 1902 (page 53)		Bush, Alice S.			Written on front: "1902"; "Jan 30"; "Mrs. Alice Bush, Sec. Pro tem"; "Feb 6"; "A.S.B."; Stamped on front: "53"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170034001			91071900 Bytes	5000	6070	314561958	RGB	8	600	asm04000000170034001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/997	997	998.jp2	/asm0400/image/998.jp2
Extracts from minutes, 1902 (page 54)		Carpenter, S.V.R., Mrs.			Written on front: "1902"; "Feb 13"; "Mrs. Carpenter, Sec. Pro tem"; "Feb 20"; "Mrs. Carpenter, Sec. Pro tem"; Stamped on front: "54"				1902-02	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170035001			92633440 Bytes	5064	6096	3124419512	RGB	8	600	asm04000000170035001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/998	998	999.jp2	/asm0400/image/999.jp2
Extracts from minutes, 1902 (page 55)					Written on front: "1902"; "Feb 27"; "Mar 6"; Stamped on front: "55"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170036001			92147492 Bytes	5030	6105	2609426777	RGB	8	600	asm04000000170036001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/999	999	1000.jp2	/asm0400/image/1000.jp2
Extracts from minutes, 1902 (page 56)		Carpenter, S.V.R., Mrs.			Written on front: "1902"; "Mar 13"; "Mrs. Carpenter, Sec."; "Mar 20"; "Mrs. Carpenter, Sec."; Stamped on front: "56"				1902-03	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170037001			92678468 Bytes	5040	6128	2204528972	RGB	8	600	asm04000000170037001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1000	1000	1001.jp2	/asm0400/image/1001.jp2
Extracts from minutes, 1902 (page 57)		Carpenter, S.V.R., Mrs.			Written on front: "Mar 27"; "S.V.R.C. Sec."; "April 3"; "S.V.R.C. Sec."; Stamped on front: "57"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170038001			94372620 Bytes	5112	6152	3128628925	RGB	8	600	asm04000000170038001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1001	1001	1002.jp2	/asm0400/image/1002.jp2
Extracts from minutes, 1902 (page 58)		Crockett, K.M.			Written on front: "1902"; "April 10"; "Mrs. Crockett, Sec. Pro tem"; "April 24"; Stamped on front: "58"				1902-04	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170039001			94369304 Bytes	5112	6152	2604761222	RGB	8	600	asm04000000170039001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1002	1002	1003.jp2	/asm0400/image/1003.jp2
Extracts from minutes, 1902 (page 59)		Moore, Jessie S.			Written on front: "1902"; "May 1"; "J. Moore, Sec. Pro tem"; "May 8"; Stamped on front: "59"				1902-05	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170040001			94372680 Bytes	5112	6152	3045232869	RGB	8	600	asm04000000170040001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1003	1003	1004.jp2	/asm0400/image/1004.jp2
Extracts from minutes, 1902 (page 60)					Written on front: "1902"; "May 15"; "May 22"; "May 29"; Stamped on front: "60"				1902-05	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170041001			94373688 Bytes	5112	6152	975759290	RGB	8	600	asm04000000170041001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1004	1004	1005.jp2	/asm0400/image/1005.jp2
Extracts from minutes, 1902 (page 61)					Written on front: "1902"; "June 5"; "July 3"; Stamped on front: "61"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170042001			94370472 Bytes	5112	6152	425711771	RGB	8	600	asm04000000170042001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1005	1005	1006.jp2	/asm0400/image/1006.jp2
Extracts from minutes, 1902 (page 62)					Written on front: "1902"; "Aug 7"; "Sep 4"; Stamped on front: "62"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170043001			94369400 Bytes	5112	6152	3006157564	RGB	8	600	asm04000000170043001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1006	1006	1007.jp2	/asm0400/image/1007.jp2
Extracts from minutes, 1902 (page 63)					Written on front: "1902"; "Oct 2"; "Oct 9"; Stamped on front: "63"				1902-10	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170044001			94368560 Bytes	5112	6152	2457287677	RGB	8	600	asm04000000170044001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1007	1007	1008.jp2	/asm0400/image/1008.jp2
Extracts from minutes, 1902 (page 64)					Written on front: "1902"; "Oct 16"; "Oct 24"; Stamped on front: "64"				1902-10	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170045001			94369092 Bytes	5112	6152	2909887755	RGB	8	600	asm04000000170045001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1008	1008	1009.jp2	/asm0400/image/1009.jp2
Extracts from minutes, 1902 (page 65)		Carpenter, S.V.R., Mrs.			Written on front: "1902"; "Oct 30"; "S.V.R.C. Sec."; "Nov 6"; Stamped on front: "65"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170046001			94368780 Bytes	5112	6152	3745824731	RGB	8	600	asm04000000170046001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1009	1009	1010.jp2	/asm0400/image/1010.jp2
Extracts from minutes, 1902 (page 66)					Written on front: "1902"; "Nov 13"; "Nov 20"; Stamped on front: "66"				1902-11	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170047001			95724816 Bytes	5152	6192	819594809	RGB	8	600	asm04000000170047001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1010	1010	1011.jp2	/asm0400/image/1011.jp2
Extracts from minutes, 1902 (page 67)					Written on front: "1902"; "Nov 27"; "Dec 4"; Stamped on front: "67"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170048001			94368444 Bytes	5112	6152	428749933	RGB	8	600	asm04000000170048001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1011	1011	1012.jp2	/asm0400/image/1012.jp2
Extracts from minutes, 1902 (page 68)		McDonald, May			Written on front: "1902"; "Dec 11"; "May McDonald, Sec. Pro tem"; "Dec 18"; Stamped on front: "68"				1902-12	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170049001			95104892 Bytes	5112	6200	3592459931	RGB	8	600	asm04000000170049001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1012	1012	1013.jp2	/asm0400/image/1013.jp2
Ninth annual meeting of the National Household Economic Association (page 70)					Meeting program, "Ninth annual meeting of the National Household Economic Association" pasted on page 70 of the scrapbook; Written on front: "1902"; Stamped on front: "70"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170050001			93608492 Bytes	5104	6112	3694824189	RGB	8	600	asm04000000170050001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1013	1013	1014.jp2	/asm0400/image/1014.jp2
Ninth annual meeting of the National Household Economic Association					Meeting program, "Ninth annual meeting of the National Household Economic Association" pasted on page 70 of the scrapbook		Leaflets		1901	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170050011			79226748 Bytes	6120	4314	2947455370	RGB	8	600	asm04000000170050011.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1014	1014	1015.jp2	/asm0400/image/1015.jp2
Letter from Elizabeth M. Bogart to the Housekeepers Club (page 71)					Letter from Elizabeth M. Bogart, chairman of the Education Committee to the Housekeepers Club, dated March 15, 1902; Written on front: "1902"; Stamped on front: "71"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170051001			94369588 Bytes	5112	6152	693394108	RGB	8	600	asm04000000170051001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1015	1015	1016.jp2	/asm0400/image/1016.jp2
Letter to Mrs. Dearborn (page 72)					Most parts of the letter missing; Written on front: "1902"; Stamped on front: "72"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170052001			93950588 Bytes	5096	6144	1328640391	RGB	8	600	asm04000000170052001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1016	1016	1017.jp2	/asm0400/image/1017.jp2
Letter from A.R. Torrey to Mrs. Carpenter (page 73)					Letter from A.R. Torrey to Mrs. Carpenter, dated March 12, 1902; Written on front: "1902"; Stamped on front: "73"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170053001			88110560 Bytes	4920	5968	2172270967	RGB	8	600	asm04000000170053001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1017	1017	1018.jp2	/asm0400/image/1018.jp2
Picture of W.A. Mozart (page 74)					Written on front: "1902"; Stamped on front: "74"				1902	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170054001			95673928 Bytes	5176	6160	2373037806	RGB	8	600	asm04000000170054001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1018	1018	1019.jp2	/asm0400/image/1019.jp2
Florida State Federation of Women's Clubs (page 84)					Booklet, "Florida State Federation of Women's Clubs" pasted on page 84 of the scrapbook; Written on front: "1903"; Stamped on front: "84"				1903	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170055001			95578804 Bytes	5144	6192	558125003	RGB	8	600	asm04000000170055001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1019	1019	1020.jp2	/asm0400/image/1020.jp2
Florida State Federation of Women's Clubs					Booklet, "Florida State Federation of Women's Clubs" pasted on page 84 of the scrapbook; Some pages missing.		Books			1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170055011			119058912 Bytes	7558	5250	2667806637	RGB	8	600	asm04000000170055011.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1020	1020	1021.jp2	/asm0400/image/1021.jp2
Eighth annual convention of the Florida State Federation of Women's Clubs (page 85)					Convention program, "Eighth annual convention of the Florida State Federation of Women's Clubs" pasted on page 85 of the scrapbook; Written on front: "1903"; Stamped on front: "85"				1903	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170056001			89777156 Bytes	4960	6032	203426172	RGB	8	600	asm04000000170056001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1021	1021	1022.jp2	/asm0400/image/1022.jp2
Eighth annual convention of the Florida State Federation of Women's Clubs					Convention program, "Eighth annual convention of the Florida State Federation of Women's Clubs" pasted on page 85 of the scrapbook		Leaflets		1903	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170056011			68662320 Bytes	5080	4504	285998685	RGB	8	600	asm04000000170056011.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1022	1022	1023.jp2	/asm0400/image/1023.jp2
Extracts from minutes, 1903 (page 87)		Carpenter, S.V.R., Mrs.			Written on front: "1903"; "Jan 1, 1903"; "S.V.R.C. Sec."; Stamped on front: "87"				1903-01-01	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170057001			91222112 Bytes	5000	6080	1324267785	RGB	8	600	asm04000000170057001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1023	1023	1024.jp2	/asm0400/image/1024.jp2
Extracts from minutes, 1903 (page 88)		Moore, Jessie S.			Written on front: "1903"; "Jan 8"; "Jessie S. Moore, Sec. Pro tem"; "Jan 22"; "Jessie Moore, Sec. Pro tem"; Stamped on front: "88"				1903-01	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170058001			95223272 Bytes	5192	6112	3679303003	RGB	8	600	asm04000000170058001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1024	1024	1025.jp2	/asm0400/image/1025.jp2
Extracts from minutes, 1903 (page 89)		Moore, Jessie S.			Written on front: "1903"; "Jan 29"; "Jessie S. Moore, Sec. Pro tem"; "Feb 12"; "Jessie S. Moore, Sec. Pro tem"; Stamped on front: "89"				1903	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170059001			90826468 Bytes	4966	6095	3628946757	RGB	8	600	asm04000000170059001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1025	1025	1026.jp2	/asm0400/image/1026.jp2
Extracts from minutes, 1903 (page 90)		Moore, Jessie S.			Written on front: "1903"; "Feb 19"; "Jessie S. Moore, Sec. Pro tem"; "Feb 26"; Stamped on front: "90"				1903-02	1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000017						asm04000000170060001			96983072 Bytes	5240	6168	1799557838	RGB	8	600	asm04000000170060001.tif		2013-02-27	2013-02-27	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1026	1026	1027.jp2	/asm0400/image/1027.jp2
