Title	Translated Title	CTDA Link	Creator	Photographer	Costume Designer	Set Designer	Poster Designer	Production Title	Play Title	Note	Genre	Subject	Publisher	Date	Theater Venue	Theater Company	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Summary	Copyright	Object ID	Digital ID	Type	Date Digital	Format	Hardware	Software	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Scene from the production, "Una mujer muy decente"	Scene from the production, "A very proper woman"			Torres, Asela				Una mujer muy decente		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1976			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005800001001	Image		image/tiff			22997240 Bytes	3357	2281	2767614415	RGB	8	2400	chc52770005800001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/38	38	43.jp2	/chc5277/image/43.jp2
Scene from the production, "Electra Garrigó"				Torres, Asela				Electrica Garrigó		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006190001001	Image		image/tiff			23734080 Bytes	3423	2309	1082316145	RGB	8	2400	chc52770006190001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/39	39	10.jp2	/chc5277/image/10.jp2
"Estrellas del 74" Award, 1975				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1975-02-17			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005530001001	Image		image/tiff			22927136 Bytes	3384	2256	2302606044	RGB	8	2400	chc52770005530001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/40	40	44.jp2	/chc5277/image/44.jp2
Scene from the production, "Grease"				Torres, Asela				Grease		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1975			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005750001001	Image		image/tiff			22911844 Bytes	2268	3364	3922093021	RGB	8	2400	chc52770005750001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/41	41	59.jp2	/chc5277/image/59.jp2
Scene from the production, "Cómo atrapar al ladrón"	Scene from the production, "How to catch a thief"			Torres, Asela				Cómo atrapar al ladrón		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1973-10-06			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005490001001	Image		image/tiff			23171736 Bytes	3411	2262	2784934643	RGB	8	2400	chc52770005490001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/42	42	61.jp2	/chc5277/image/61.jp2
Scene from the production, "Cecilia Valdés"				Torres, Asela				Cecilia Valdés		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1977			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005990001001	Image		image/tiff			23099828 Bytes	3377	2278	241602111	RGB	8	2400	chc52770005990001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/43	43	5.jp2	/chc5277/image/5.jp2
Scene from the production, "Doña Francisquita"	Scene from the production, "Mrs. Francisquita"			Torres, Asela				Doña Francisquita		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006050001001	Image		image/tiff			22425964 Bytes	3297	2265	245610146	RGB	8	2400	chc52770006050001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/44	44	77.jp2	/chc5277/image/77.jp2
Scene from the production, "Memorias de un director"	Scene from the production, "Memoirs of a director"			Torres, Asela				Memorias de un director		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005710001001	Image		image/tiff			23975396 Bytes	3516	2271	3714800226	RGB	8	2400	chc52770005710001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/45	45	62.jp2	/chc5277/image/62.jp2
Scene from the production, "Cómo atrapar al ladrón"	Scene from the production, "How to catch a thief"			Torres, Asela				Cómo atrapar al ladrón		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1973-10-06			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005480001001	Image		image/tiff			23451096 Bytes	3401	2296	1966239454	RGB	8	2400	chc52770005480001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/46	46	55.jp2	/chc5277/image/55.jp2
Scene from the production, "La malquerida"	Scene from the production, "The unloved woman"			Torres, Asela				La malquerida		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1973-03-14			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005450001001	Image		image/tiff			23344300 Bytes	3414	2277	1020569475	RGB	8	2400	chc52770005450001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/47	47	46.jp2	/chc5277/image/46.jp2
Scene from the production, "Una mujer muy decente"	Scene from the production, "A very proper woman"			Torres, Asela				Una mujer muy decente		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1976			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005780001001	Image		image/tiff			22664380 Bytes	3351	2252	303071443	RGB	8	2400	chc52770005780001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/48	48	22.jp2	/chc5277/image/22.jp2
Scene from the production, "Luisa Fernanda"				Torres, Asela				Luisa Fernanda		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005720001001	Image		image/tiff			23324108 Bytes	3411	2277	2502447236	RGB	8	2400	chc52770005720001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/49	49	12.jp2	/chc5277/image/12.jp2
"A.C.C.A." Awards,  1977				Torres, Asela						Association of Critics and Commentators of the Arts, Inc.  This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1977			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005840001001	Image		image/tiff			22743812 Bytes	3375	2244	2981876423	RGB	8	2400	chc52770005840001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/50	50	63.jp2	/chc5277/image/63.jp2
Explicit language written on blackboard during assault to Teatro Martí				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Damages; Theaters; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005670001001	Image		image/tiff			23194836 Bytes	3379	2286	4280501955	RGB	8	2400	chc52770005670001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/51	51	16.jp2	/chc5277/image/16.jp2
"A.C.C.A." Awards,  1977				Torres, Asela						Association of Critics and Commentators of the Arts, Inc.  This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1977			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005810001001	Image		image/tiff			22532252 Bytes	3357	2235	1192748119	RGB	8	2400	chc52770005810001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/52	52	18.jp2	/chc5277/image/18.jp2
Scene from the production, "El cafetal"	Scene from the production, "The coffee plantation"			Torres, Asela				El cafetal		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005920001001	Image		image/tiff			23072412 Bytes	3389	2267	1482173125	RGB	8	2400	chc52770005920001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/53	53	7.jp2	/chc5277/image/7.jp2
Nati Mistral (third from left), with others				Torres, Asela						Also with Nati Mistral: Horacio Aguirre (fourth from left), Marta Pérez (third from right), and Pili de la Rosa (second from right).  This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Mistral, Nati; Theatrical Productions; Performing arts -- Florida -- Miami		1976			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc; axr		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005570001001	Image		image/tiff			22921880 Bytes	3409	2239	399466754	RGB	8	2400	chc52770005570001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/54	54	74.jp2	/chc5277/image/74.jp2
Sculpture damaged during an assault to Teatro Martí				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Busts; Damages; Theaters; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005650001001	Image		image/tiff			22815788 Bytes	2264	3356	657349048	RGB	8	2400	chc52770005650001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/55	55	20.jp2	/chc5277/image/20.jp2
"Chin de Plata" Award,  1979				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005960001001	Image		image/tiff			22270728 Bytes	3324	2231	1808490501	RGB	8	2400	chc52770005960001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/56	56	70.jp2	/chc5277/image/70.jp2
Scene from the production, "Quinto cielo"	Scene from the production, "Fifth Heaven"			Torres, Asela				Quinto cielo		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005870001001	Image		image/tiff			24644940 Bytes	3497	2347	793911946	RGB	8	2400	chc52770005870001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/57	57	4.jp2	/chc5277/image/4.jp2
Scene from the production, "Picardías de madrugada"	Scene from the production, "Mischevious at night"			Torres, Asela				Picardías de madrugada		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006080001001	Image		image/tiff			23341636 Bytes	3397	2288	328774501	RGB	8	2400	chc52770006080001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/58	58	14.jp2	/chc5277/image/14.jp2
Damaged space during assault to Teatro Martí				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Damages; Theaters; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005660001001	Image		image/tiff			23068304 Bytes	3381	2272	4121719701	RGB	8	2400	chc52770005660001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/59	59	29.jp2	/chc5277/image/29.jp2
Scene from the production, "Cecilia Valdés"				Torres, Asela				Cecilia Valdés		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1977			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006010001001	Image		image/tiff			16762956 Bytes	2270	2458	3494811207	RGB	8	2400	chc52770006010001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/60	60	19.jp2	/chc5277/image/19.jp2
Scene from the production, "El cafetal"	Scene from the production, "The coffee plantation"			Torres, Asela				El cafetal		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005910001001	Image		image/tiff			22484784 Bytes	3385	2212	1678681274	RGB	8	2400	chc52770005910001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/61	61	26.jp2	/chc5277/image/26.jp2
Interior view, "Las Máscaras"				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Theaters; Performing arts -- Florida -- Miami		1973			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005440001001	Image		image/tiff			23691424 Bytes	3405	2317	972619728	RGB	8	2400	chc52770005440001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/62	62	45.jp2	/chc5277/image/45.jp2
Scene from the production, "El cafetal"	Scene from the production, "The coffee plantation"			Torres, Asela				El cafetal		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005940001001	Image		image/tiff			22581824 Bytes	3459	2174	4039321124	RGB	8	2400	chc52770005940001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/63	63	2.jp2	/chc5277/image/2.jp2
Scene from the production, "La verbena de la paloma"	Scene from the production, "Fair of the dove"			Torres, Asela				La verbena de la paloma		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005890001001	Image		image/tiff			24023180 Bytes	3492	2291	2294027098	RGB	8	2400	chc52770005890001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/64	64	67.jp2	/chc5277/image/67.jp2
Scene from the production, "Picnic"				Torres, Asela				Picnic		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1974			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005580001001	Image		image/tiff			22658396 Bytes	3593	2100	1795723198	RGB	8	2400	chc52770005580001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/65	65	71.jp2	/chc5277/image/71.jp2
"Estrellas del 74" Award, 1975				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1975-02-17			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005540001001	Image		image/tiff			23416624 Bytes	3402	2292	3283130838	RGB	8	2400	chc52770005540001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/66	66	21.jp2	/chc5277/image/21.jp2
Scene from the production, "Doña Francisquita"	Scene from the production, "Mrs. Francisquita"			Torres, Asela				Doña Francisquita		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006070001001	Image		image/tiff			22808524 Bytes	3392	2239	2193054101	RGB	8	2400	chc52770006070001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/67	67	58.jp2	/chc5277/image/58.jp2
Scene from the production, "Una mujer muy decente"	Scene from the production, "A very proper woman"			Torres, Asela				Una mujer muy decente		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1976			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005790001001	Image		image/tiff			24268752 Bytes	3461	2335	4102756575	RGB	8	2400	chc52770005790001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/68	68	49.jp2	/chc5277/image/49.jp2
Scene from the production, "Grateli cuenta su historia"	Scene from the production, "Grateli tells its history"			Torres, Asela				Grateli cuenta su historia		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1975			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006030001001	Image		image/tiff			21940156 Bytes	3403	2147	4060686634	RGB	8	2400	chc52770006030001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/69	69	57.jp2	/chc5277/image/57.jp2
Scene from the production, "Luisa Fernanda"				Torres, Asela				Luisa Fernanda		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005740001001	Image		image/tiff			22323648 Bytes	2231	3332	1803417595	RGB	8	2400	chc52770005740001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/70	70	69.jp2	/chc5277/image/69.jp2
Scene from the production, "Electra Garrigó"				Torres, Asela				Electrica Garrigó		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006160001001	Image		image/tiff			24146812 Bytes	3419	2352	1326929435	RGB	8	2400	chc52770006160001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/71	71	76.jp2	/chc5277/image/76.jp2
Scene from the production, "Memorias de un director"	Scene from the production, "Memoirs of a director"			Torres, Asela				Memorias de un director		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005690001001	Image		image/tiff			25375272 Bytes	3557	2376	456746192	RGB	8	2400	chc52770005690001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/72	72	73.jp2	/chc5277/image/73.jp2
Nati Mistral				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Mistral, Nati; Actors; Theatrical productions; Performing arts -- Florida -- Miami		1976			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005610001001	Image		image/tiff			21970856 Bytes	3209	2280	2127893818	RGB	8	2400	chc52770005610001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/73	73	23.jp2	/chc5277/image/23.jp2
Scene from the production, "La verbena de la paloma"	Scene from the production, "Fair of the dove"			Torres, Asela				La verbena de la paloma		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005900001001	Image		image/tiff			23597412 Bytes	3415	2301	893196788	RGB	8	2400	chc52770005900001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/74	74	41.jp2	/chc5277/image/41.jp2
"A.C.C.A." Awards,  1977				Torres, Asela						Association of Critics and Commentators of the Arts, Inc.  This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1977			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005830001001	Image		image/tiff			23166428 Bytes	3388	2277	4163007263	RGB	8	2400	chc52770005830001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/75	75	27.jp2	/chc5277/image/27.jp2
