Title	Translated Title	Variation of Title	Uniform Title	IBISWEB Catalog Link	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Call Number	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 2																														chc0364000015		chc03640000150002001							58595348 Bytes	5138	3800	3732456830	RGB	8	600	chc03640000150002001.tif		2011-07-29	2011-07-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/394	394	395.jp2	/chc0364/image/395.jp2
Page 3																														chc0364000015		chc03640000150003001							58559952 Bytes	5104	3823	997890863	RGB	8	600	chc03640000150003001.tif		2011-07-29	2011-07-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/395	395	396.jp2	/chc0364/image/396.jp2
Page 4																														chc0364000015		chc03640000150004001							58919804 Bytes	5145	3816	170594286	RGB	8	600	chc03640000150004001.tif		2011-07-29	2011-07-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/396	396	397.jp2	/chc0364/image/397.jp2
Notas históricas																														chc0364000015		chc03640000150005001							59109812 Bytes	5121	3846	958180907	RGB	8	600	chc03640000150005001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/397	397	398.jp2	/chc0364/image/398.jp2
Page 6																														chc0364000015		chc03640000150006001							59501700 Bytes	5163	3840	3566756818	RGB	8	600	chc03640000150006001.tif		2011-07-29	2011-07-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/398	398	399.jp2	/chc0364/image/399.jp2
La Fachada	The Front																													chc0364000015		chc03640000150007001							58880076 Bytes	3840	5109	4020409352	RGB	8	600	chc03640000150007001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/399	399	400.jp2	/chc0364/image/400.jp2
Alta Mayor, cúpula y parte del crucero	High Altar, dome and part of the crosswalk																													chc0364000015		chc03640000150008001							58971996 Bytes	3846	5109	2639425503	RGB	8	600	chc03640000150008001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/400	400	401.jp2	/chc0364/image/401.jp2
Nave central, vista desde el Altar Mayor	Central aisle, view from the High Altar																													chc0364000015		chc03640000150009001							58772120 Bytes	3833	5109	2384820044	RGB	8	600	chc03640000150009001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/401	401	402.jp2	/chc0364/image/402.jp2
Detalles del sub-coro	Parts of the sub-choir																													chc0364000015		chc03640000150010001							59479640 Bytes	5145	3852	1004559634	RGB	8	600	chc03640000150010001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/402	402	403.jp2	/chc0364/image/403.jp2
Detalles de las arcadas de las naves	Parts of the arches of the naves																													chc0364000015		chc03640000150011001							58787620 Bytes	3834	5109	1152563141	RGB	8	600	chc03640000150011001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/403	403	404.jp2	/chc0364/image/404.jp2
Nave lateral de la parte del Evangelio y Nave lateral de la parte de la Epístola	Aisle of the gospel side and Aisle of the epistle-part																													chc0364000015		chc03640000150012001							59571088 Bytes	5169	3840	3996768900	RGB	8	600	chc03640000150012001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/404	404	405.jp2	/chc0364/image/405.jp2
Entrada a la Capilla de Nuestra Señora de Lourdes y Sacristía de la Iglesia	Entrance at the chapel of Our Lady de Lourdes and Vestry of the church																													chc0364000015		chc03640000150013001							58488488 Bytes	5091	3828	1622996362	RGB	8	600	chc03640000150013001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/405	405	406.jp2	/chc0364/image/406.jp2
Presbiterio - Parte del Evangelio	Choir-part of the gospel-side																													chc0364000015		chc03640000150014001							58680312 Bytes	3827	5109	2131591508	RGB	8	600	chc03640000150014001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/406	406	407.jp2	/chc0364/image/407.jp2
Presbiterio - Parte de la Epístola	Choir-part of the epistle-side																													chc0364000015		chc03640000150015001							58443244 Bytes	3834	5079	4273032781	RGB	8	600	chc03640000150015001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/407	407	408.jp2	/chc0364/image/408.jp2
Tumba para los funerales solemnes	Tomb for the obsequies																													chc0364000015		chc03640000150016001							58903084 Bytes	3828	5127	601911684	RGB	8	600	chc03640000150016001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/408	408	409.jp2	/chc0364/image/409.jp2
El Altar de la Virgen de la Milagrosa	The altar of the Virgin de la Milagrosa																													chc0364000015		chc03640000150017001							58671708 Bytes	3840	5091	2157195703	RGB	8	600	chc03640000150017001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/409	409	410.jp2	/chc0364/image/410.jp2
Otros detalles pictóricos de la Capilla de Lourdes	Other parts of the paintings in the Chapel de Lourdes																													chc0364000015		chc03640000150018001							59225252 Bytes	5139	3840	4212332718	RGB	8	600	chc03640000150018001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/410	410	411.jp2	/chc0364/image/411.jp2
Paisages de la Capilla de Lourdes	Sceneries of the Chapel de Lourdes																													chc0364000015		chc03640000150019001							58466072 Bytes	5097	3822	673395329	RGB	8	600	chc03640000150019001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/411	411	412.jp2	/chc0364/image/412.jp2
Page 20																														chc0364000015		chc03640000150020001							59293460 Bytes	5121	3858	1637427779	RGB	8	600	chc03640000150020001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/412	412	413.jp2	/chc0364/image/413.jp2
Uno de los púlpitos y Una de las bodas aristocráticas en La Merced	One of the pulpits and One of the aristocratic weddings in The Merced																													chc0364000015		chc03640000150021001							58366096 Bytes	5067	3838	110916290	RGB	8	600	chc03640000150021001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/413	413	414.jp2	/chc0364/image/414.jp2
Altar de la Capilla del Santísimo Sacramento y Altar de Nuestra Señora de Lourdes	Altar of the Chapel of the Holy Sacrament and Altar of Our Virgin de Lourdes																													chc0364000015		chc03640000150022001							59033428 Bytes	5133	3832	1912759746	RGB	8	600	chc03640000150022001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/414	414	415.jp2	/chc0364/image/415.jp2
Uno de los cuadros de la serie que adorna la Iglesia	One of the pictures of the series, adorning the church																													chc0364000015		chc03640000150023001							58731172 Bytes	3844	5091	801416905	RGB	8	600	chc03640000150023001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/415	415	416.jp2	/chc0364/image/416.jp2
Detalles pictóricos de los frescos de la bóveda de la nave central	Pictorial details of fresco-paintings in the arch of the crosswalk																													chc0364000015		chc03640000150024001							61497360 Bytes	3915	5234	3775664589	RGB	8	600	chc03640000150024001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/416	416	417.jp2	/chc0364/image/417.jp2
Fresco del Nacimiento en la parte superior del Presbítero - Parte de la Epístola	Fresco paintings of the Christmas in upper part of choir - Part of the epistle-side																													chc0364000015		chc03640000150025001							57259800 Bytes	4971	3838	188110655	RGB	8	600	chc03640000150025001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/417	417	418.jp2	/chc0364/image/418.jp2
Bóveda de uno de los brazos del crucero	Arch of one of the arms of the crosswalk																													chc0364000015		chc03640000150026001							58664868 Bytes	5109	3826	3373103126	RGB	8	600	chc03640000150026001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/418	418	419.jp2	/chc0364/image/419.jp2
Bóveda de otro de los brazos del crucero	Arch of the other arm of the crosswalk																													chc0364000015		chc03640000150027001							58664092 Bytes	5085	3844	784353595	RGB	8	600	chc03640000150027001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/419	419	420.jp2	/chc0364/image/420.jp2
Comunidad de los Padres Paules que sirven a la Iglesia de La Merced, 1922	Congregation of Fathers Pauls serving at the church of The Merced, 1922																													chc0364000015		chc03640000150028001							58986128 Bytes	5121	3838	74504501	RGB	8	600	chc03640000150028001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/420	420	421.jp2	/chc0364/image/421.jp2
Jardín y arcadas del claustro	Garden and arches of monastery																													chc0364000015		chc03640000150029001							58458408 Bytes	5091	3826	1917323228	RGB	8	600	chc03640000150029001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/421	421	422.jp2	/chc0364/image/422.jp2
Interior del claustro	Interior of the monastery																													chc0364000015		chc03640000150030001							58710740 Bytes	3838	5097	131253797	RGB	8	600	chc03640000150030001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/422	422	423.jp2	/chc0364/image/423.jp2
Arcadas del claustro interior	Arches of the interior part of the monastery																													chc0364000015		chc03640000150031001							59010252 Bytes	3844	5115	1163285190	RGB	8	600	chc03640000150031001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/423	423	424.jp2	/chc0364/image/424.jp2
Tablero con una inscripción latina que atestigua la fecha en que se edificó el templo	Table with a latin inscription testifying the date, when the Temple was edified																													chc0364000015		chc03640000150032001							58801084 Bytes	5097	3844	1182433585	RGB	8	600	chc03640000150032001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/424	424	425.jp2	/chc0364/image/425.jp2
Page 33																														chc0364000015		chc03640000150033001							58844980 Bytes	5109	3838	1237447935	RGB	8	600	chc03640000150033001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/425	425	426.jp2	/chc0364/image/426.jp2
Page 34																														chc0364000015		chc03640000150034001							59328688 Bytes	5151	3838	3942287333	RGB	8	600	chc03640000150034001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/426	426	427.jp2	/chc0364/image/427.jp2
Page 35																														chc0364000015		chc03640000150035001							58421336 Bytes	5100	3817	2025475770	RGB	8	600	chc03640000150035001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/427	427	428.jp2	/chc0364/image/428.jp2
Page 36																														chc0364000015		chc03640000150036001							58988080 Bytes	5140	3824	686051323	RGB	8	600	chc03640000150036001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/428	428	429.jp2	/chc0364/image/429.jp2
Album de la Iglesia de La Merced: La Habana Cuba	Album of the Merced Church: La Habana, Cuba.			http://ibisweb.miami.edu/record=b1282483~S11				Spanish and English. Paper covers	Catholic church buildings -- Pictorial works	Viewbooks; Photographs	[La Habana: s.n., 1922]			Havana (Cuba)	CHC Viewbooks Collection 0364 no. 027	30 p. : ill.; 16 x 21 cm	eng; spa	 University of Miami Libraries. Cuban Heritage Collection	Viewbooks Collection	CHC0364		Box No. 3				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc0364000015			Image		image/tiff													2011-10-12	2011-10-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/429	429	430.cpd	/chc0364/supp/429/index.pdf
Page 1																														chc0364000006		chc03640000060001001							94319744 Bytes	6323	4971	2431679876	RGB	8	600	chc03640000060001001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/430	430	431.jp2	/chc0364/image/431.jp2
Havana, Cuba																														chc0364000006		chc03640000060002001							93475252 Bytes	6307	4939	2683768638	RGB	8	600	chc03640000060002001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/431	431	432.jp2	/chc0364/image/432.jp2
Malecón, Castillo del Morro y de La Punta	Malecon, Morro Castle and La Punta Fort																													chc0364000006		chc03640000060003001							94652648 Bytes	6315	4995	1746509933	RGB	8	600	chc03640000060003001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/432	432	433.jp2	/chc0364/image/433.jp2
Plaza de Armas, Ayuntamiento y el Senado	Plaza de Armas, City Hall and Senate																													chc0364000006		chc03640000060004001							93922208 Bytes	6280	4984	355553678	RGB	8	600	chc03640000060004001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/433	433	434.jp2	/chc0364/image/434.jp2
El Templete	Columbus Memorial Chapel																													chc0364000006		chc03640000060005001							93805488 Bytes	6281	4977	1193723112	RGB	8	600	chc03640000060005001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/434	434	435.jp2	/chc0364/image/435.jp2
La Catedral	The Cathedral																													chc0364000006		chc03640000060006001							94176000 Bytes	6297	4984	3290687401	RGB	8	600	chc03640000060006001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/435	435	436.jp2	/chc0364/image/436.jp2
Castillo de La Fuerza	La Fuerza Fort (1540, First stone building in Cuba)																													chc0364000006		chc03640000060007001							94761728 Bytes	6326	4992	1345447737	RGB	8	600	chc03640000060007001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/436	436	437.jp2	/chc0364/image/437.jp2
Paseo de Martí o Prado	Marti or Prado Promenade																													chc0364000006		chc03640000060008001							94553636 Bytes	6302	5000	29309694	RGB	8	600	chc03640000060008001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/437	437	438.jp2	/chc0364/image/438.jp2
Nuevo Palacio Presidencial	New President's House																													chc0364000006		chc03640000060009001							94793112 Bytes	6318	5000	621119838	RGB	8	600	chc03640000060009001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/438	438	439.jp2	/chc0364/image/439.jp2
Fuente y Parque de La India	India Park and Monument																													chc0364000006		chc03640000060010001							94140756 Bytes	6277	4998	898528634	RGB	8	600	chc03640000060010001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/439	439	440.jp2	/chc0364/image/440.jp2
Monumento al General Maceo	General Maceo Statue																													chc0364000006		chc03640000060011001							93957668 Bytes	4982	6285	1787678460	RGB	8	600	chc03640000060011001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/440	440	441.jp2	/chc0364/image/441.jp2
Parque Central, Teatro Nacional y Hotel Inglaterra	Central Park, Opera House and Inglaterra Hotel																													chc0364000006		chc03640000060012001							94861124 Bytes	6325	4998	3644017758	RGB	8	600	chc03640000060012001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/441	441	442.jp2	/chc0364/image/442.jp2
Entrada al Castillo del Morro y Subida al Castillo del Morro	Entrance to Morro Castle and Way up to Morro Castle																													chc0364000006		chc03640000060013001							94073464 Bytes	5000	6270	3084321227	RGB	8	600	chc03640000060013001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/442	442	443.jp2	/chc0364/image/443.jp2
Entrada a la fortaleza La Cabaña y Batería antigua en La Cabaña	Entrance to La Cabaña fortress and Old cannons at Cabaña																													chc0364000006		chc03640000060014001							95180332 Bytes	5003	6340	4188336994	RGB	8	600	chc03640000060014001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/443	443	444.jp2	/chc0364/image/444.jp2
Calle San Rafael	San Rafael Street																													chc0364000006		chc03640000060015001							93777276 Bytes	6264	4989	4278398946	RGB	8	600	chc03640000060015001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/444	444	445.jp2	/chc0364/image/445.jp2
Calle Pimargall u Obispo	Pimargall or Obispo Street																													chc0364000006		chc03640000060016001							94016516 Bytes	4989	6280	3707593305	RGB	8	600	chc03640000060016001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/445	445	446.jp2	/chc0364/image/446.jp2
Estación Terminal	Central Railway Station																													chc0364000006		chc03640000060017001							92784416 Bytes	6234	4960	2641731857	RGB	8	600	chc03640000060017001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/446	446	447.jp2	/chc0364/image/447.jp2
Lonja del Comercio	Produce Exchange																													chc0364000006		chc03640000060018001							92760036 Bytes	6221	4969	1507658124	RGB	8	600	chc03640000060018001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/447	447	448.jp2	/chc0364/image/448.jp2
Interior de la bahía vista desde Casablanca	Harbor view from Casablanca																													chc0364000006		chc03640000060019001							93625764 Bytes	6269	4977	2316261999	RGB	8	600	chc03640000060019001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/448	448	449.jp2	/chc0364/image/449.jp2
Residencias en el Paseo de Martí o Prado	Residences at Marti or Prado Promenade																													chc0364000006		chc03640000060020001							92641900 Bytes	6213	4969	3601514820	RGB	8	600	chc03640000060020001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/449	449	450.jp2	/chc0364/image/450.jp2
Hipódromo Oriental Carreras de Caballos	Oriental Park Races																													chc0364000006		chc03640000060021001							93177748 Bytes	4985	6229	1769970543	RGB	8	600	chc03640000060021001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/450	450	451.jp2	/chc0364/image/451.jp2
Jardín Botánico Quinta de los Molinos	Botanical Garden																													chc0364000006		chc03640000060022001							95824476 Bytes	6341	5036	2985744277	RGB	8	600	chc03640000060022001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/451	451	452.jp2	/chc0364/image/452.jp2
Avenida de Bolívar, antes Reina y Paseo de Carlos III	Bolivar Avenue and Charles III Promenade																													chc0364000006		chc03640000060023001							94322260 Bytes	5006	6279	2498214676	RGB	8	600	chc03640000060023001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/452	452	453.jp2	/chc0364/image/453.jp2
El Morro desde La Punta y Entrada al puerto desde La Cabaña	Morro castle seen from La Punta Fort and Entrance to the bay from Cabaña Fortress																													chc0364000006		chc03640000060024001							94803376 Bytes	5038	6271	766233840	RGB	8	600	chc03640000060024001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/453	453	454.jp2	/chc0364/image/454.jp2
Vega de tabaco y Cultivo de tabaco a la sombra	Tobacco plantation and Tobacco grown under shade (cheese cloth)																													chc0364000006		chc03640000060025001							94120444 Bytes	5008	6263	1455155575	RGB	8	600	chc03640000060025001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/454	454	455.jp2	/chc0364/image/455.jp2
Calle de Palmas y Paisaje cubano	Avenue of Royal Palms and Cuban landscape																													chc0364000006		chc03640000060026001							94928096 Bytes	6303	5019	727205347	RGB	8	600	chc03640000060026001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/455	455	456.jp2	/chc0364/image/456.jp2
Parque Central, Hotel Plaza y Manzana de Gómez	Central Park, Plaza Hotel and Gomez Building																													chc0364000006		chc03640000060027001							94776256 Bytes	6303	5011	1569288010	RGB	8	600	chc03640000060027001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/456	456	457.jp2	/chc0364/image/457.jp2
Monumento a Martí, Centro Gallego y Teatro Nacional. Paseo del Prado, Monumento a Zenea	Marti Statue, Opera House and Gallego's Club. Prado Promenade, Zenea Statue																													chc0364000006		chc03640000060028001							94908876 Bytes	5018	6303	3356230751	RGB	8	600	chc03640000060028001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/457	457	458.jp2	/chc0364/image/458.jp2
Habana Yacht Club en la Playa de Marianao and Baños de la Playa de Marianao	Havana Yacht Club at Marianao Beach and Bathing Scene. Marianao Beach																													chc0364000006		chc03640000060029001							94832836 Bytes	4995	6327	2084482279	RGB	8	600	chc03640000060029001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/458	458	459.jp2	/chc0364/image/459.jp2
Entrada al Cementerio y Monumento a los bomberos	Entrance to Cemetery and Firemen's Monument																													chc0364000006		chc03640000060030001							94727652 Bytes	4995	6320	2223617860	RGB	8	600	chc03640000060030001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/459	459	460.jp2	/chc0364/image/460.jp2
Farola del Morro and Castillito de La Chorrera	Light House in Morro Castle and Chorrera Fort																													chc0364000006		chc03640000060031001							94337196 Bytes	6304	4987	4226526327	RGB	8	600	chc03640000060031001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/460	460	461.jp2	/chc0364/image/461.jp2
Residencias en el Vedado Calle O y Monumento a Estrada Palma en la Calle G y Calzada	Residences at Vedado O Street and Estrada Palma Statue at Vedado																													chc0364000006		chc03640000060032001							93978772 Bytes	6280	4987	3167941453	RGB	8	600	chc03640000060032001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/461	461	462.jp2	/chc0364/image/462.jp2
Calle 17 en el Vedado y Avenida Wilson (Línea) en el Vedado	17th Street at Vedado and Wilson Avenue at Vedado																													chc0364000006		chc03640000060033001							94066440 Bytes	4979	6296	1347635735	RGB	8	600	chc03640000060033001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/462	462	463.jp2	/chc0364/image/463.jp2
Fronton Jai-Alai y Casino de la Playa	Jai-Alai Spanish Basket Ball Game and Casino at Marianao Beach																													chc0364000006		chc03640000060034001							94128968 Bytes	4995	6280	769319810	RGB	8	600	chc03640000060034001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/463	463	464.jp2	/chc0364/image/464.jp2
La Habana, Capital de la República de Cuba																														chc0364000006		chc03640000060035001							93595868 Bytes	6296	4954	1881985664	RGB	8	600	chc03640000060035001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/464	464	465.jp2	/chc0364/image/465.jp2
Page 36																														chc0364000006		chc03640000060036001							94404928 Bytes	6343	4960	3395373446	RGB	8	600	chc03640000060036001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/465	465	466.jp2	/chc0364/image/466.jp2
Recuerdo de La Habana	Souvenir of Havana, Cuba			http://ibisweb.miami.edu/record=b2941976~S11				Cover title. Text and captions in English and Spanish	Havana (Cuba) -- Pictorial works	Viewbooks; Photographs	Havana, Cuba: Edición Jordi, [between 1921 and 1935]			Havana (Cuba)	CHC Viewbooks Collection 0364 no. 015	1 volume, 36 pages (includes 2 cover pages); 21 x 26 cm	spa; eng	 University of Miami Libraries. Cuban Heritage Collection	Viewbooks Collection	CHC0364		Box No. 2				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc0364000006			Image		image/tiff													2011-10-12	2011-10-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/466	466	467.cpd	/chc0364/supp/466/index.pdf
Page 1																														chc0364000014		chc03640000140001001							13066232 Bytes	1848	2352	4005274462	RGB	8	600	chc03640000140001001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/467	467	468.jp2	/chc0364/image/468.jp2
Souvenir playing cards of Cuba [game] : 53 interesting views of Havana and the island.																														chc0364000014		chc03640000140002001							13198020 Bytes	1839	2388	3862481907	RGB	8	600	chc03640000140002001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/468	468	469.jp2	/chc0364/image/469.jp2
Page 3																														chc0364000014		chc03640000140003001							11815920 Bytes	1712	2296	2616415243	RGB	8	600	chc03640000140003001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/469	469	470.jp2	/chc0364/image/470.jp2
Havana, Morro Castle.																														chc0364000014		chc03640000140004001							9930888 Bytes	1544	2139	4033008249	RGB	8	600	chc03640000140004001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/470	470	471.jp2	/chc0364/image/471.jp2
Havana, Terminal Railway Station.																														chc0364000014		chc03640000140005001							9938552 Bytes	1545	2139	3746427139	RGB	8	600	chc03640000140005001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/471	471	472.jp2	/chc0364/image/472.jp2
Havana, Telephone Building.																														chc0364000014		chc03640000140006001							9952368 Bytes	1545	2142	3475142810	RGB	8	600	chc03640000140006001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/472	472	473.jp2	/chc0364/image/473.jp2
Havana, The Capitol.																														chc0364000014		chc03640000140007001							9974036 Bytes	1547	2144	3599537135	RGB	8	600	chc03640000140007001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/473	473	474.jp2	/chc0364/image/474.jp2
Havana, Lonja de Comercio Building.																														chc0364000014		chc03640000140008001							9936780 Bytes	1539	2147	3966035527	RGB	8	600	chc03640000140008001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/474	474	475.jp2	/chc0364/image/475.jp2
Havana, Fountain of the Casino.																														chc0364000014		chc03640000140009001							9832492 Bytes	1525	2144	2073812982	RGB	8	600	chc03640000140009001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/475	475	476.jp2	/chc0364/image/476.jp2
Havana, night view of Capitol.																														chc0364000014		chc03640000140010001							9769488 Bytes	1531	2122	1325915268	RGB	8	600	chc03640000140010001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/476	476	477.jp2	/chc0364/image/477.jp2
Havana, The Prado																														chc0364000014		chc03640000140011001							9973936 Bytes	1544	2148	1484821263	RGB	8	600	chc03640000140011001.tif		2011-09-15	2011-09-15	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/477	477	478.jp2	/chc0364/image/478.jp2
