Title	Translated Title	Creator	Recipient	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Web Site	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html							asm00750002600001001.tif	image/tiff	16578.956 KB	5200	8502	0xA3357761	RGB	24-bit depth	600 dpi	asm00750002600001001.tif		2008-05-18	2008-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/910	910	911.jp2	/asm0075/image/911.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html							asm00750002600002001.tif	image/tiff	14964.369 KB	5200	8502	0x81FBC0F9	RGB	24-bit depth	600 dpi	asm00750002600002001.tif		2008-05-18	2008-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/911	911	912.jp2	/asm0075/image/912.jp2
Letter from T.T. Reese to Alfred Minsos, February 3, 1923, regarding a Norwegian colony in the Lake Worth District		Reese, T. T.	Minsos, Alfred	T.T. Reese, President of the Farmers Bank & Trust Company of West Palm Beach, writes to Alfred Minsos, who proposed creating a Norwegian colony in the Lake Worth District. Reese urges him to find Norwegians who will want to settle in the area and goes on to praise the climate and the land as perfect for farming.		Land use; Agriculture	Commercial correspondence		1923-02-13	1923		2 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 39, Folder Title: Norwegian colony: Lake Worth District, 1923 (Special file 1257).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000260	Text				000260		image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/912	912	913.cpd	/asm0075/image/913.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000222						asm00750002220001001.tif	image/tiff	10641.619 KB	4882	6403	0xA2E6530D	RGB	24-bit depth	600 dpi	asm00750002220001001.tif		2008-05-18	2008-05-21	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/913	913	914.jp2	/asm0075/image/914.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000222						asm00750002220002001.tif	image/tiff	9786.208 KB	4882	6403	0x6BC52B51	RGB	24-bit depth	600 dpi	asm00750002220002001.tif		2008-05-18	2008-05-21	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/914	914	915.jp2	/asm0075/image/915.jp2
List of real estate agents appointed through FECR Chicago office, 1917		Florida East Coast Railway		List of real estate agents appointed through the Florida East Coast Railway Chicago office, with agent names, addresses, and territories in North Dakota, Colorado, Iowa, Minnesota, Michigan, Illinois, Indiana, New Jersey, and elsewhere.		Florida East Coast Railway; Land use	Memorandums; Commercial correspondence		1917	1917		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 8, Folder Title: Inquiries: 4, 5--53-41, real estate agents appointed through FECR Chicago office, 1917  (Special file 304).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000222	Text				000222		image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/915	915	916.cpd	/asm0075/image/916.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000253						asm00750002530001001.tif	image/tiff	16894.128 KB	5167	6703	0x7542030D	RGB	24-bit depth	600 dpi	asm00750002530001001.tif		2008-05-18	2008-05-21	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/916	916	917.jp2	/asm0075/image/917.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000253						asm00750002530002001.tif	image/tiff	9578.24 KB	5167	4945	0x9C175AAC	RGB	24-bit depth	600 dpi	asm00750002530002001.tif		2008-05-18	2008-05-21	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/917	917	918.jp2	/asm0075/image/918.jp2
John J. Hinson contract		Pepper, Frank J., b. 1880; Potter, Burr S.	Ingraham, J. E. (James E.)	Letter from Model Land Company sales agents Frank Pepper and Burr Potter to president J.E. Ingraham concerning County Commissioner John Hinson's sale of his interest in a contract to Mr. S. J. Bethea of Kendal, and discuss the payments and taxes on the property.		Land use; Hinson, John J., d. ca. 1929	Commercial correspondence		1921-06-22	1921		2 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 32, Folder Title: Deed Kendall, 1915-1922 (Special file 971).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000253	Text				000253		image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/918	918	919.cpd	/asm0075/image/919.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000035					000035	asm00750000350001001.tif	image/tiff	38407.237 KB	5069	6638	0x751FA698	RGB	24-bit depth	600 dpi	asm00750000350001001.tif		2008-05-18	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/919	919	920.jp2	/asm0075/image/920.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000035					000035	asm00750000350002001.tif	image/tiff	45659 KB	6592	5073	0x65936C7B	RGB	24-bit depth	600 dpi	asm00750000350002001.tif		2008-05-18	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/920	920	921.jp2	/asm0075/image/921.jp2
Perrine Grant Land Company correspondence: Wietzer to Morse		Wietzer, Frederick	Morse, Frederick S., 1859-1920	Letter from Frederick Wietzer to Frederick S. Morse, February 7, 1913: "I have a letter of introduction to you from Mr. J. E. Ingraham and intend to look over the Perrine Grant. As I will be delayed here a few days I will probably not reach Miami before Monday or Tuesday."		Land use	Commercial correspondence		1913-02-07-1913-02-07	1913		1 handwritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 3, Folder Title: Assigned contract: 11-56-39, 1912 (Special file 81).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000035	Text				000035		image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/921	921	922.cpd	/asm0075/image/922.cpd
Letter from Frank Pepper to Preston Lee, March 16, 1917		Pepper, Frank J., b. 1880	Lee, Preston	Model Land Company sales agent Frank Pepper writes to Dade County Commissioner Preston Lee concerning a tract of land the County purchased for rock pit purposes, and about the neighbors there.		Land use	Commercial correspondence		1917-03-16	1917	Florida. Miami-Dade county.				University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 2, Folder Title: Deeds: to Board of County Commissioners of Dade County for rock pits, 1911-1917 (Special file 52).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001150001001	image/tiff	15031.931 KB	5242	6793	0x6C45570	RGB	24-bit depth	600 dpi	asm00750001150001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/922	922	1024.jp2	/asm0075/image/1024.jp2
Memo from Milo Coffrin to Frank Pepper regarding road construction		Coffrin, Milo O.	Pepper, Frank J., b. 1880	Model Land Company sales agent Milo Coffrin writes to his associate, Frank Pepper, about a petition by Dade County residents W.E. Ormsby, John Opsahl, John Ramsey, Mr. Snowball, Mr. Wedemyer, Mr. Goforth, and Mr. Baxley, for construction of a road that would connect Fort Lonesome Road and Sunset Road.		Land use; Roads	Commercial correspondence		1921-02-02	1921	Florida. Miami-Dade county.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 16, Folder Title: Donations: company policy of contributing to road funds, 1920 (Special file 500.5).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002330001001	image/tiff	15868.204 KB	5182	6688	0x337568E8	RGB	24-bit depth	600 dpi	asm00750002330001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/923	923	1121.jp2	/asm0075/image/1121.jp2
Letter from Pepper to Boles concerning timber cutting on Model Land Company property		Pepper, Frank J., b. 1880	Boles, Gus	Letter from the Model Land Company to Augustus Bolles acknowledging receipt of a letter and check for cordwood he removed from Perrine Grant Land Company and warning him not to cut any more wood without a timber permit.		Land use	Commercial correspondence		1922-04-27	1922		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 16, Folder Title: Trespassers on timber lands, 1922 (Special file 505).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002370001001	image/tiff	13794.852 KB	5167	6703	0xAF125E3D	RGB	24-bit depth	600 dpi	asm00750002370001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/924	924	1125.jp2	/asm0075/image/1125.jp2
Letter from Frederick S. Morse to James E. Ingraham, April 14, 1911, concerning John S. Collins's desire to purchase a bayfront mangrove swamp		Morse, Frederick S., 1859-1920	Ingraham, J. E. (James E.)	Letter from Frederick S. Morse to James E. Ingraham, April 14, 1911, concerning Miami Beach pioneer John S. Collins's desire to purchase a bayfront mangrove swamp.		Collins, John S. (John Stiles), 1837-1928; Land use	Commercial correspondence		1911-04-14	1911		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 1, Folder Title: Inquiry: bay front property, 1911 (Special file 14).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000560001001	image/tiff	14209.781 KB	5107	6628	0x8FC8F2C3	RGB	24-bit depth	600 dpi	asm00750000560001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/925	925	968.jp2	/asm0075/image/968.jp2
Letter from Frederick Morse to R.H. Martin, July 18, 1917		Morse, Frederick S., 1859-1920	Martin, R. H.	Model Land Company sales agent Frederick Morse writes to valuation engineer R.H. Martin of the Florida East Coast Railway Company that he mailed the land deed assigning Jackson and Mary Peacock's Coconut Grove property to the Railway to FECRC President J.R. Parrott on September 12, 1913.		Land use; Peacock, Jackson, 1872-1925; Peacock, Mary Elizabeth Rink, 1879-1965	Commercial correspondence		1917-07-18	1917	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001620001001	image/tiff	15302.412 KB	5257	6703	0xA7FA019	RGB	24-bit depth	600 dpi	asm00750001620001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/926	926	1063.jp2	/asm0075/image/1063.jp2
Letter from Frederick Morse to W.H. Chambers, August 30, 1913, concerning property for a Coconut Grove road		Morse, Frederick S., 1859-1920	Chambers, W. H.			Land use; Railroads; Peacock, Jackson, 1872-1925	Commercial correspondence		1913-08-30	1913	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001540001001	image/tiff	14313.072 KB	5152	6718	0xA1E3A737	RGB	24-bit depth	600 dpi	asm00750001540001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/927	927	1055.jp2	/asm0075/image/1055.jp2
Acid phosphate in Kendal Grove		Ingraham, James Edmundson, 1850-1924	Pepper, Frank J.	Letter from James E. Ingraham to Frank J. Pepper, October 15, 1917: "Appended please find copy of a letter from Prof. Rolf's in re use of acid phosphate in excess, which kindly take up and discuss with Mr. Hinson, showing him this copy of the Gainesville pathologist's letter." The folder includes thirteen additional letters.	John J. Hinson was a foreman for the Florida East Coast Railway when the line was extended from Miami to Homestead in 1903, and later became the first Dade County Commissioner.	Agriculture	Commercial correspondence		1917	1917		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 17, Folder Title: Kendal Grove: use of acid phosphate, 1917 (Special file 525).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000380001001	image/tiff	33929.381 KB	4789	6337	0x677F87B0	RGB	24-bit depth	600 dpi	asm00750000380001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/928	928	958.jp2	/asm0075/image/958.jp2
Plat showing section 15-56-39			Morse, Frederick S., 1859-1920; Brewer, Thomas	Model Land Company plat showing divisions of land in Dade County, designated Section 15-56-39. The plat was sent from sales agent Frederick Morse to Dade County Commissioner Thomas Brewer to show areas with rock pits available for purchase.		Land use	Plats				Florida. Miami-Dade county.	1 plat			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 2, Folder Title: Deeds: to Board of County Commissioners of Dade County for rock pits, 1911-1917 (Special file 52).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000880001001	image/tiff	12771.991 KB	7240	5801	0x189A221A	RGB	24-bit depth	600 dpi	asm00750000880001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/929	929	998.jp2	/asm0075/image/998.jp2
Letter from Sidney Harrison to Frederick Morse, January 12, 1914, concerning timber permits		Harrison, Sidney	Morse, Frederick S., 1859-1920	Letter to Model Land Company sales agent Frederick Morse from secretary Sidney Harrison concerning a timber permit for Mr. D. N. Carpenter to cut ties [i.e., transverse supports to which railroad rails are fastened to keep them in line] on Model Land Company property.		Land use; Railroads	Commercial correspondence		1914-01-12	1914		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Timber permit, 1913-1918 (Special file 188).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001890001001	image/tiff	9586.763 KB	4852	6388	0x678D76D3	RGB	24-bit depth	600 dpi	asm00750001890001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/930	930	1087.jp2	/asm0075/image/1087.jp2
Letter from Frank Pepper to R. H. Martin, August 20, 1917		Pepper, Frank J., b. 1880	Martin, R. H.	Model Land Company sales agent Frank Pepper writes to valuation engineer R.H. Martin of the Florida East Coast Railway Company concerning the land deed assigning Jackson and Mary Peacock's Coconut Grove property to the Railway.		Land use; Florida East Coast Railway; Peacock, Jackson, 1872-1925; Peacock, Mary Elizabeth Rink, 1879-1965	Commercial correspondence		1917-08-20-1917-08-20	1917		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001650001001	image/tiff	15355.851 KB	5242	6793	0x6F7F6884	RGB	24-bit depth	600 dpi	asm00750001650001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/931	931	1066.jp2	/asm0075/image/1066.jp2
Letter from Frederick Morse to A.H. Sawyer, December 26, 1911			Morse, Frederick S., 1859-1920; Sawyer, Albert H.	Letter from Model Land Company sales agent Frederick Morse to Albert Sawyer, president of the Boston and Florida Atlantic Coast Land Company, regarding the cutting of timber by William M. Bivans and R.N. Parker in Florida.		Land use; Parker, R. N. (Richard Neville); Bivans, William M.	Commercial correspondence		1911-12-26	1911		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 2, Folder Title: Timber permit for R.N. Parker (Special File 44).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000690001001	image/tiff	14701.651 KB	5107	6613	0x44B0CC6	RGB	24-bit depth	600 dpi	asm00750000690001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/932	932	980.jp2	/asm0075/image/980.jp2
Letter from Frederick Morse to George W. Allen, May 17, 1911, regarding right-of-way deed from the Key West Realty Company to the Florida East Coast Railway Company		Morse, Frederick S., 1859-1920	Allen, George W.	Model Land Company sales agent Frederick Morse writes to George W. Allen of the First National Bank of Key West about drainage of the land deeded to the Florida East Coast Railway Company.		Land use; Florida East Coast Railway	Commercial correspondence		1911-05-17	1911	Florida. Monroe county. Florida Keys. Key West.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 2, Folder Title: Florida East Coast Railway (Special File 54).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001200001001	image/tiff	12705.504 KB	4882	6418	0xB00C3E84	RGB	24-bit depth	600 dpi	asm00750001200001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/933	933	1028.jp2	/asm0075/image/1028.jp2
Pencil drawing of the Royal Palm Hotel grounds				Model Land Company map of the property on the ground which the City of Miami wished to acquire across the West end of the Royal Palm Hotel Property, for the purpose of extending Southeast Second Avenue across the River to connect with Brickell Avenue. Featured are South Bayshore Drive, the downtown park and bandshell, Flagler Street, and the marina.		Royal Palm Hotel (Miami, Fla.); Land use	Commercial correspondence		1927	1927	Florida. Miami-Dade county. Miami.	1 map			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 61, Folder Title: Royal Palm Hotel (Special File 1678).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002940001001	image/tiff	27817.057 KB	13003	8578	0xD18FE5B7	RGB	24-bit depth	600 dpi	asm00750002940001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/934	934	1158.jp2	/asm0075/image/1158.jp2
Blueprint, Packing house lot at Homestead		Model Land Company		Blueprint showing Captain M. C. Hardee's packing house lot and surrounding areas, including Flagler Avenue, Mowry Street, the Homestead Athletic Association property, and the line of the Florida East Coast Railway tracks. Hardee's original packing house (shown in yellow) was destroyed by the hurricane of September 18, 1926.		Land use	Plats		1924	1924	Florida. Miami-Dade County. Homestead.	1 plat			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 46, Folder Title: Packing house lot at Homestead (Special File 1445).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002760001001	image/tiff	26981.012 KB	12630	7179	0x7DF848F3	RGB	24-bit depth	600 dpi	asm00750002760001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/935	935	1148.jp2	/asm0075/image/1148.jp2
Fort Dallas Company property sold to Eureka Properties Inc.		Coffrin, Milo O.	Pepper, Frank J., b. 1880	Model Land Company sales agent Milo Coffrin writes to Frank Pepper that J. W. Church and Annie Church are interested in purchasing a lot in Miami.		Land use	Commercial correspondence		1928-09-11	1928	Florida. Miami-Dade County. Miami.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 49, Folder Title: Sale: Fort Dallas Company property sold to Eureka Properties Inc., 1926-1936 (Special file 1519).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002860001001	image/tiff	13681.548 KB	5152	6703	0x353133E6	RGB	24-bit depth	600 dpi	asm00750002860001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/936	936	1157.jp2	/asm0075/image/1157.jp2
Letter to Frederick Morse from R.H. Martin, August 18, 1917, concerning deed for the Peacocks		Martin, R. H.	Morse, Frederick S., 1859-1920	Valuation engineer R.H. Martin of the Florida East Coast Railway Company writes to Model Land Company sales agent Frederick Morse that he has been unable to locate a requested deed assigning Coconut Grove property to Mary E. Peacock and her husband Jackson Peacock.		Land use; Florida East Coast Railway; Peacock, Jackson, 1872-1925; Peacock, Mary Elizabeth Rink, 1879-1965	Commercial correspondence		1917-08-18	1917	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001640001001	image/tiff	10331.96 KB	4897	6403	0xF6A3447	RGB	24-bit depth	600 dpi	asm00750001640001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/937	937	1065.jp2	/asm0075/image/1065.jp2
Letter from J.E. Ingraham to Frederick Morse about visitors to Dade, 1919		Ingraham, James Edmundson, 1850-1924	Morse, Frederick S., 1859-1920	J.E. Ingraham, president of the Model Land Company, writes in part: "We wired you on the 26th instant asking that you arrange to meet a Mr. Brasch and a Mr. Vendig, who were then en route to Miami, to look over our company lands in the neighborhood of Homestead, etc. We also called you over the telephone and had a conversation with your Mr. Potter, who promised to meet these gentlemen at the train and to show them over the lands. ... As advised you, they were there in the interest of the Trustees of the estate of Mrs. Henry M. Flagler Bingham, for the purpose of establishing a value per acre on the company holdings."	Mary Lily Kenan was married to Florida entrepreneur Henry M. Flagler, and after his death she married Judge Robert Worth Bingham. She died in 1917.	Land use	Commercial correspondence		1919	1919		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 20, Folder Title: FEC in receivership, 1919 (Special file 634).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000430001001	image/tiff	38609.061 KB	5009	6577	0x3D11C589	RGB	24-bit depth	600 dpi	asm00750000430001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/938	938	960.jp2	/asm0075/image/960.jp2
Timber permit		Morse, Frederick S., 1859-1920	McCrimmon, D. Frank	Timber permit certifying that the Model Land Company granted to D. Frank McCrimmon of Miami the right to cut stumpage in the Perrine Land Grant lands. It is signed by Company vice-president J. E. Ingraham.		Land use; McCrimmon, D. Frank	Forms (Documents)		1911-12-20	1911	Florida. Miami-Dade county. Perrine.	1 typewritten document			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 2, Folder Title: Timber permit for Frank McCrimmon (Special File 45).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000720001001	image/tiff	15435.299 KB	5200	8457	0xDFD09761	RGB	24-bit depth	600 dpi	asm00750000720001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/939	939	982.jp2	/asm0075/image/982.jp2
Letter from Pepper to Hinson, August 10, 1920, regarding Kendal Grove contract		Pepper, Frank J., b. 1880	Hinson, John J., d. ca. 1929			Land use; Hinson, John J., d. ca. 1929	Commercial correspondence		1920-08-10	1920		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 32, Folder Title: Deed Kendall, 1915-1922 (Special file 971).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002590001001	image/tiff	14067.53 KB	5167	6718	0x7F6AD59D	RGB	24-bit depth	600 dpi	asm00750002590001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/940	940	1138.jp2	/asm0075/image/1138.jp2
Letter from Morse to Burkhart, August 10, 1912		Morse, Frederick S., 1859-1920	Burkhart, W. S.	Responding to Dr. Burkhart's stated wish to see Model Land Company vice-president James Ingraham, Morse informs him that Ingraham is away, with Chief Clerk Sidney Harrison in charge, and that perhaps he should postpone his trip to the Saint Augustine company headquarters.		Burkhart, W. S.; Land use	Commercial correspondence		1912-08-10	1912	Florida.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 3, Folder Title: Assigned contract: 11-56-39, 1912 (Special file 81).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001330001001	image/tiff	13601.834 KB	5122	6643	0x63A4CC45	RGB	24-bit depth	600 dpi	asm00750001330001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/941	941	1037.jp2	/asm0075/image/1037.jp2
Letter from Sidney Harrison to Frederick Morse, August 18, 1913		Harrison, Sidney	Morse, Frederick S., 1859-1920	Model Land Company Secretary Sidney Harrison replies to sales agent Frederick Morse's letter about the Cocoa Plum Thimble Club and informs him that Vice-President James Ingraham will be arriving in Miami shortly.		Cocoa Plum Thimble Club	Commercial correspondence		1913-08-13	1913	Florida. Miami-Dade county. Larkins.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Donation: Coco Plum Thimble Club, Clubhouse site, 1913-1920. (Special file 168).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001380001001	image/tiff	9764.333 KB	4897	6403	0x96D8473B	RGB	24-bit depth	600 dpi	asm00750001380001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/942	942	1040.jp2	/asm0075/image/1040.jp2
Letter from Carter to Morse, September 19, 1914, concerning deeds of Coconut Grove lands		Carter, E. Ben	Morse, Frederick S., 1859-1920	E. Ben Carter, Superintendant of the Florida East Coast Railway Company Maintenance of Way Office, writes to Model Land Company sales agent Frederick Morse concerning sale of about 24 acres to A.T. Carter in Coconut Grove. Carter says he is enclosing a quit-claim and the original, faulty, warranty deed.		Land use	Commercial correspondence		1914-09-19	1914	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 7, Folder Title: Sale: Coconut Grove, 1914. Plat: Coconut Grove (Special file 234).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002060001001	image/tiff	10948.556 KB	4927	6418	0xE7562CA5	RGB	24-bit depth	600 dpi	asm00750002060001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/943	943	1104.jp2	/asm0075/image/1104.jp2
Letter from Beckwith to Morse, July 13, 1914, regarding sale of land to A.T. Carter		Beckwith, John P.		Florida East Coast Railway Company vice-president John P. Beckwith writes to Model Land Company sales agent Frederick Morse concerning sale of about 24 acres to A.T. Carter in Coconut Grove. Beckwith promises to have the FECRC Maintenance of Way Department to write a new description of the land and to draw up a new deed.		Land use	Commercial correspondence		1914-07-13	1914		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 7, Folder Title: Sale: Coconut Grove, 1914. Plat: Coconut Grove (Special file 234).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002070001001	image/tiff	11072.256 KB	5212	6718	0x2060BCCE	RGB	24-bit depth	600 dpi	asm00750002070001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/944	944	1105.jp2	/asm0075/image/1105.jp2
