Title	Translated title	Creator	Contributors	Production Title	Summary	Note	Subject	Genre	Publisher	Date	Theater Venue	Theater Company	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
(Left to right) Johnny and Víctor Rivera				Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000600001001	image/tiff	87356448 Bytes	6041	4819	947309723	RGB	8	600	chc04870000600001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/376	376	359.jp2	/chc0487/image/359.jp2
"Paráfrasis sobre el himno nacional"	"Paraphrasis on the national anthem"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000460001001	image/tiff	87828328 Bytes	6061	4829	320331160	RGB	8	600	chc04870000460001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/377	377	335.jp2	/chc0487/image/335.jp2
Envelope, Arts Center of America		Ochoa, Sofia				Hand-written note, "Our first address in America"		Correspondence		1970			1970-1980	Miami (Florida)	1 envelope	eng; spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 2; Folder Title: Miami Performing Arts Center Project, 1970			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000280001001	image/tiff	43623180 Bytes	5754	2526	1048066837	RGB	8	600	chc04870000280001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/378	378	364.jp2	/chc0487/image/364.jp2
Scene from the production, "La del Soto del Parral"	Scene from the production, "Her from Soto del Parral"			La del Soto del Parral				Photographs		1973-06-23	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1973			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000130001001	image/tiff	88556956 Bytes	6100	4838	2695538342	RGB	8	600	chc04870000130001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/379	379	372.jp2	/chc0487/image/372.jp2
Carlos Montaner interpreting a scene from, "Marina"		César		Marina				Photographs		1972-10-13	Miami-Dade County Auditorium		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000040001001	image/tiff	175721464 Bytes	4845	6044	3444866087	RGB	16	600	chc04870000040001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/380	380	349.jp2	/chc0487/image/349.jp2
Mara González and the Coro de Madrigalistas				Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000510001001	image/tiff	87017196 Bytes	6020	4817	4241029671	RGB	8	600	chc04870000510001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/381	381	340.jp2	/chc0487/image/340.jp2
Scene from the production, "Marina"		César		Marina				Photographs		1972-10-13	Miami-Dade County Auditorium		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000060001001	image/tiff	88082896 Bytes	6061	4843	2830517391	RGB	8	600	chc04870000060001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/382	382	386.jp2	/chc0487/image/386.jp2
María Teresa Carrillo interpreting a scene from, "Marina"		César		Marina				Photographs		1973-06-30	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000050001001	image/tiff	87592004 Bytes	4848	6021	882588387	RGB	8	600	chc04870000050001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/383	383	381.jp2	/chc0487/image/381.jp2
Scene from the production, "Las Leandras"	Scene from the production, "The Leandras"	Rosy		Las Leandras				Photographs		1976-01-10	Gusman Center for the Performing Arts		1970-1980	Miami (Florida)	1 color photograph; 12.5 x 8.5 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1976			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000240001001	image/tiff	19047396 Bytes	3037	2088	4123442538	RGB	8	600	chc04870000240001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/384	384	353.jp2	/chc0487/image/353.jp2
Article on the Hispanic-American Art Company		Lescano-Abella, Edgardo						Clippings		1972-09-03			1970-1980	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000710001001	image/tiff	178014548 Bytes	6766	8769	607053113	RGB	8	600	chc04870000710001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/385	385	356.jp2	/chc0487/image/356.jp2
"Damisela encantadora"	"Charming lady"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000540001001	image/tiff	87187420 Bytes	6038	4812	2890821881	RGB	8	600	chc04870000540001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/386	386	361.jp2	/chc0487/image/361.jp2
Article on the production, "De Belén a Bayamo"	Article on the production, "From Bethelem to  Bayamo"	Pena-Monte, Gustavo		De Belén a Bayamo				Clippings		1969-01-03			1960-1970	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1968			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000660001001	image/tiff	223770004 Bytes	6813	10947	970766044	RGB	8	600	chc04870000660001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/387	387	344.jp2	/chc0487/image/344.jp2
Page 1																			Manuel Ochoa Papers	CHC0487										chc0487000032						chc04870000320001001	image/tiff	61431852 Bytes	3713	5513	3905743132	RGB	8	600	chc04870000320001001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/388	388	389.jp2	/chc0487/image/389.jp2
Page 2																			Manuel Ochoa Papers	CHC0487										chc0487000032						chc04870000320002001	image/tiff	60522840 Bytes	3695	5458	2258683003	RGB	8	600	chc04870000320002001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/389	389	390.jp2	/chc0487/image/390.jp2
Manuscript, "Equipos de H.F...."	Manuscript, "H.F.  Sound systems..."							Manuscripts		1970			1970-1980	Miami (Florida)	1manuscript; 1 page	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 2; Folder Title: Miami Performing Arts Center Project, 1970			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html		chc0487000032	Text						image/tiff										2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/390	390	391.cpd	/chc0487/image/391.cpd
Page 1																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020001001	image/tiff	98339068 Bytes	4895	6695	316535373	RGB	8	600	chc04870000020001001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/391	391	392.jp2	/chc0487/image/392.jp2
Page 2																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020002001	image/tiff	98204232 Bytes	4909	6667	2823617145	RGB	8	600	chc04870000020002001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/392	392	393.jp2	/chc0487/image/393.jp2
Page 3																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020003001	image/tiff	99236568 Bytes	4956	6673	1509568016	RGB	8	600	chc04870000020003001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/393	393	394.jp2	/chc0487/image/394.jp2
Page 4																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020004001	image/tiff	98593304 Bytes	4929	6666	1845160550	RGB	8	600	chc04870000020004001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/394	394	395.jp2	/chc0487/image/395.jp2
Page 5																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020005001	image/tiff	100134392 Bytes	4977	6705	1730784605	RGB	8	600	chc04870000020005001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/395	395	396.jp2	/chc0487/image/396.jp2
Page 6																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020006001	image/tiff	98788600 Bytes	4930	6678	3057223164	RGB	8	600	chc04870000020006001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/396	396	397.jp2	/chc0487/image/397.jp2
Page 7																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020007001	image/tiff	99282716 Bytes	4945	6691	3122120024	RGB	8	600	chc04870000020007001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/397	397	398.jp2	/chc0487/image/398.jp2
Page 8																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020008001	image/tiff	98723076 Bytes	4920	6687	2979826964	RGB	8	600	chc04870000020008001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/398	398	399.jp2	/chc0487/image/399.jp2
Page 9																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020009001	image/tiff	100123196 Bytes	4969	6715	833502359	RGB	8	600	chc04870000020009001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/399	399	400.jp2	/chc0487/image/400.jp2
Page 10																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020010001	image/tiff	99972444 Bytes	4977	6694	1019457696	RGB	8	600	chc04870000020010001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/400	400	401.jp2	/chc0487/image/401.jp2
Page 11																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020011001	image/tiff	99343064 Bytes	4960	6675	2663292602	RGB	8	600	chc04870000020011001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/401	401	402.jp2	/chc0487/image/402.jp2
Page 12																			Manuel Ochoa Papers	CHC0487										chc0487000002						chc04870000020012001	image/tiff	98619196 Bytes	4915	6687	2906097533	RGB	8	600	chc04870000020012001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/402	402	403.jp2	/chc0487/image/403.jp2
Program for the production, "Marina"				Marina				Programs		1973-06-30	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 program	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html		chc0487000002	Still image						image/tiff										2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/403	403	404.cpd	/chc0487/image/404.cpd
Page 1																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160001001	image/tiff	104673596 Bytes	5240	6657	3152656942	RGB	8	600	chc04870000160001001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/404	404	405.jp2	/chc0487/image/405.jp2
Page 2																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160002001	image/tiff	104460920 Bytes	5235	6650	3146085314	RGB	8	600	chc04870000160002001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/405	405	406.jp2	/chc0487/image/406.jp2
Page 3																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160003001	image/tiff	105258368 Bytes	5260	6669	1975536640	RGB	8	600	chc04870000160003001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/406	406	407.jp2	/chc0487/image/407.jp2
Page 4																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160004001	image/tiff	103999376 Bytes	5230	6627	2233047939	RGB	8	600	chc04870000160004001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/407	407	408.jp2	/chc0487/image/408.jp2
Page 5																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160005001	image/tiff	104746844 Bytes	5232	6672	1048868545	RGB	8	600	chc04870000160005001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/408	408	409.jp2	/chc0487/image/409.jp2
Page 6																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160006001	image/tiff	103486532 Bytes	5190	6645	2051438798	RGB	8	600	chc04870000160006001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/409	409	410.jp2	/chc0487/image/410.jp2
Page 7																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160007001	image/tiff	104864340 Bytes	5245	6663	1418082289	RGB	8	600	chc04870000160007001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/410	410	411.jp2	/chc0487/image/411.jp2
Page 8																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160008001	image/tiff	104910108 Bytes	5252	6657	3260785432	RGB	8	600	chc04870000160008001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/411	411	412.jp2	/chc0487/image/412.jp2
Page 9																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160009001	image/tiff	104353648 Bytes	5203	6684	3623297218	RGB	8	600	chc04870000160009001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/412	412	413.jp2	/chc0487/image/413.jp2
Page 10																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160010001	image/tiff	104135904 Bytes	5232	6633	368847863	RGB	8	600	chc04870000160010001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/413	413	414.jp2	/chc0487/image/414.jp2
Page 11																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160011001	image/tiff	105599872 Bytes	5266	6683	3754284819	RGB	8	600	chc04870000160011001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/414	414	415.jp2	/chc0487/image/415.jp2
Page 12																			Manuel Ochoa Papers	CHC0487										chc0487000016						chc04870000160012001	image/tiff	104508152 Bytes	5228	6662	2594834636	RGB	8	600	chc04870000160012001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/415	415	416.jp2	/chc0487/image/416.jp2
Program for the production, "Gigantes y cabezudos"	Program for the production,"Giants and big-headed men"			Gigantes y cabezudos				Programs		1974-04-06	Miami Senior High School Auditorium		1970-1980	Miami (Florida)	1 program	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html		chc0487000016	Text; Image						image/tiff										2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/416	416	417.cpd	/chc0487/image/417.cpd
Page 1																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390001001	image/tiff	140649984 Bytes	6019	7788	3431415323	RGB	8	600	chc04870000390001001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/417	417	418.jp2	/chc0487/image/418.jp2
Page 2																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390002001	image/tiff	136004516 Bytes	5830	7775	1477864019	RGB	8	600	chc04870000390002001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/418	418	419.jp2	/chc0487/image/419.jp2
Page 3																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390003001	image/tiff	141417244 Bytes	6069	7766	2014026535	RGB	8	600	chc04870000390003001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/419	419	420.jp2	/chc0487/image/420.jp2
Page 4																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390004001	image/tiff	137303332 Bytes	5923	7726	2061771700	RGB	8	600	chc04870000390004001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/420	420	421.jp2	/chc0487/image/421.jp2
Page 5																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390005001	image/tiff	137647020 Bytes	5920	7749	2288837774	RGB	8	600	chc04870000390005001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/421	421	422.jp2	/chc0487/image/422.jp2
Page 6																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390006001	image/tiff	137897968 Bytes	5943	7733	2182519975	RGB	8	600	chc04870000390006001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/422	422	423.jp2	/chc0487/image/423.jp2
Page 7																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390007001	image/tiff	142581456 Bytes	6107	7781	1021273562	RGB	8	600	chc04870000390007001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/423	423	424.jp2	/chc0487/image/424.jp2
Page 8																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390008001	image/tiff	139816968 Bytes	5994	7774	1418878933	RGB	8	600	chc04870000390008001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/424	424	425.jp2	/chc0487/image/425.jp2
Page 9																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390009001	image/tiff	137481776 Bytes	5919	7741	3532334034	RGB	8	600	chc04870000390009001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/425	425	426.jp2	/chc0487/image/426.jp2
Page 10																			Manuel Ochoa Papers	CHC0487										chc0487000039						chc04870000390010001	image/tiff	138452916 Bytes	5985	7710	2205615526	RGB	8	600	chc04870000390010001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/426	426	427.jp2	/chc0487/image/427.jp2
Music score, "Marina"		Unión Musical Española Editores		Marina		Front cover and inside pages signed by Manuel Ochoa		Sheet music covers					1960-1980		musical score pages	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 16; Folder Title:  Manuel Ochoa			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html		chc0487000039	Text																2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/427	427	428.cpd	/chc0487/image/428.cpd
Page 1																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300001001	image/tiff	66583580 Bytes	4293	5168	1815013952	RGB	8	600	chc04870000300001001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/428	428	429.jp2	/chc0487/image/429.jp2
Page 2																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300002001	image/tiff	66553792 Bytes	4312	5143	1305813778	RGB	8	600	chc04870000300002001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/429	429	430.jp2	/chc0487/image/430.jp2
Page 3																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300003001	image/tiff	67411260 Bytes	4370	5140	1500943309	RGB	8	600	chc04870000300003001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/430	430	431.jp2	/chc0487/image/431.jp2
Page 4																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300004001	image/tiff	68376956 Bytes	4438	5134	2788885273	RGB	8	600	chc04870000300004001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/431	431	432.jp2	/chc0487/image/432.jp2
Page 5																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300005001	image/tiff	66205460 Bytes	4281	5153	2237848064	RGB	8	600	chc04870000300005001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/432	432	433.jp2	/chc0487/image/433.jp2
Page 6																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300006001	image/tiff	66770740 Bytes	4325	5144	731487165	RGB	8	600	chc04870000300006001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/433	433	434.jp2	/chc0487/image/434.jp2
Page 7																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300007001	image/tiff	66595420 Bytes	4303	5157	2513951215	RGB	8	600	chc04870000300007001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/434	434	435.jp2	/chc0487/image/435.jp2
Page 8																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300008001	image/tiff	66632980 Bytes	4307	5155	2100299739	RGB	8	600	chc04870000300008001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/435	435	436.jp2	/chc0487/image/436.jp2
Page 9																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300009001	image/tiff	66521508 Bytes	4294	5162	3776306201	RGB	8	600	chc04870000300009001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/436	436	437.jp2	/chc0487/image/437.jp2
Page 10																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300010001	image/tiff	67154384 Bytes	4335	5162	617199167	RGB	8	600	chc04870000300010001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/437	437	438.jp2	/chc0487/image/438.jp2
Page 11																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300011001	image/tiff	66920740 Bytes	4320	5162	4238774064	RGB	8	600	chc04870000300011001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/438	438	439.jp2	/chc0487/image/439.jp2
Page 12																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300012001	image/tiff	66872796 Bytes	4330	5146	1348113992	RGB	8	600	chc04870000300012001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/439	439	440.jp2	/chc0487/image/440.jp2
Page 13																			Manuel Ochoa Papers	CHC0487										chc0487000030						chc04870000300013001	image/tiff	65895200 Bytes	4270	5142	2045660646	RGB	8	600	chc04870000300013001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/440	440	441.jp2	/chc0487/image/441.jp2
Manuscript, "Locales comerciales..."	Manuscript, "Commercial buildings..."							Manuscripts		1970			1970-1980	Miami (Florida)	1notebook; 11 pages	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 2; Folder Title: Miami Performing Arts Center Project, 1970			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html		chc0487000030	Text						image/tiff										2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/441	441	442.cpd	/chc0487/image/442.cpd
Page 1																			Manuel Ochoa Papers	CHC0487										chc0487000020						chc04870000200001001	image/tiff	99715396 Bytes	5110	6503	2771592779	RGB	8	600	chc04870000200001001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/442	442	443.jp2	/chc0487/image/443.jp2
Page 2																			Manuel Ochoa Papers	CHC0487										chc0487000020						chc04870000200002001	image/tiff	99997940 Bytes	5116	6514	3193295245	RGB	8	600	chc04870000200002001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/443	443	444.jp2	/chc0487/image/444.jp2
Page 3																			Manuel Ochoa Papers	CHC0487										chc0487000020						chc04870000200003001	image/tiff	100323276 Bytes	5109	6544	3383852464	RGB	8	600	chc04870000200003001.tif		2011-12-08	2011-12-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/444	444	445.jp2	/chc0487/image/445.jp2
Page 4																			Manuel Ochoa Papers	CHC0487										chc0487000020						chc04870000200004001	image/tiff	198714468 Bytes	5079	6520	2174066137	RGB	16	600	chc04870000200004001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/445	445	446.jp2	/chc0487/image/446.jp2
Page 5																			Manuel Ochoa Papers	CHC0487										chc0487000020						chc04870000200005001	image/tiff	99538032 Bytes	5094	6512	3167309024	RGB	8	600	chc04870000200005001.tif		2012-01-17	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/446	446	447.jp2	/chc0487/image/447.jp2
