Título	Translated Title	Creator	Sender	Contributors	Recipient	Resumen	Summary	Nota	Note	Tema	Subject	Género	Genre	Publisher	Date	Time Period	Geographic Subject	Geo Point	Geo Box	Descripción Física	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Type	Format	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Segunda carta, página 2	Second letter, page 2																																			chc5298000060	chc52980000600003001								62212208 Bytes	3981	5207	1761363432	RGB	8	600	chc52980000600003001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/196	196	219.jp2	/chc5298/image/219.jp2
Segunda carta, página 3	Second letter, page 3																																			chc5298000060	chc52980000600004001								63535676 Bytes	4055	5221	2247259767	RGB	8	600	chc52980000600004001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/197	197	220.jp2	/chc5298/image/220.jp2
Cartas relacionadas a la detención del patrocinado Federico Lombal en el Depósito Municipal en la provincia de Santa Clara, marzo de 1883	Letters regarding the detention of the patrocinado Federico Lombal at the Depósito Municipal of the province of Santa Clara, March 1883							Este caso se había también documentado en la caja 1, carpetas 52, 59 y 59.1. Santa Clara era el nombre antiguo de la actual provincia de Villa Clara. Su territorio también incluía parte de las provincias de Sancti Spíritus y Matanzas.	Case is also documented in box 1, folders 52, 59, and 59.1. Santa Clara was the former name of the present-day province of Villa Clara. Its territory also included part of the provinces of Sancti Spíritus and Matanzas.	Lombal, Federico; Esclavos fugitivos -- Cuba -- Matanzas (Provincia); Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Ingenio Conformidad (Matanzas, Cuba); Jovellanos (Cuba). Alcaldía Municipal; Santa Clara (Cuba : Provincia). Depósito de Cimarrones; Santa Clara (Cuba : Provincia). Gobernador	Lombal, Federico; Fugitive slaves -- Cuba -- Matanzas (Province); Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Ingenio Conformidad (Matanzas, Cuba); Jovellanos (Cuba). Alcaldía Municipal; Santa Clara (Cuba : Province). Depósito de Cimarrones; Santa Clara (Cuba : Province). Governor	manuscritos; correspondencia	manuscripts (document genre); correspondence		1883-03	1880-1890	Villa Clara (Cuba : Province)	east=22.4; north=-79.96667; name=http://www.geonames.org/3534168/provincia-de-villa-clara.html		4 páginas; 21.7 x 16.3 cm	4 pages; 21.7 x 16.3 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 1; Folder No. 58; Folder Title: 1883 March 5				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000060			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/198	198	221.cpd	/chc5298/supp/198/index.pdf
Carta de Manuel Benitez al presidente de la Junta Provincial de Patronato de Matanzas referente a los registros de libertos y patrocinados del municipio de Cárdenas, 15 de enero de 1883	Manuel Benitez letter to the president of the Junta Provincial de Patronato de Matanzas regarding registers of freedmen and patrocinados in the municipality of Cárdenas, January 15, 1883		Benitez, Manuel; Cárdenas (Cuba : Municipio). Junta Local de Patronato		Matanzas (Cuba : Province). Junta Provincial de Patronato										1883-01-15	1880-1890																				chc5298000149	chc52980001490001001								63311396 Bytes	4032	5232	1405923289	RGB	8	600	chc52980001490001001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/199	199	222.jp2	/chc5298/image/222.jp2
Carta, página 2	Letter, page 2																																			chc5298000149	chc52980001490002001								63396864 Bytes	4039	5230	182730685	RGB	8	600	chc52980001490002001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/200	200	223.jp2	/chc5298/image/223.jp2
Carta, página 3	Letter, page 3																																			chc5298000149	chc52980001490003001								62529552 Bytes	3986	5227	678165936	RGB	8	600	chc52980001490003001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/201	201	224.jp2	/chc5298/image/224.jp2
Carta, página 4	Letter, page 4																																			chc5298000149	chc52980001490004001								62456084 Bytes	3992	5213	188511454	RGB	8	600	chc52980001490004001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/202	202	225.jp2	/chc5298/image/225.jp2
Carta, página 5	Letter, page 5																																			chc5298000149	chc52980001490005001								62838656 Bytes	4008	5224	2548655384	RGB	8	600	chc52980001490005001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/203	203	226.jp2	/chc5298/image/226.jp2
Carta, página 6	Letter, page 6																																			chc5298000149	chc52980001490006001								63631084 Bytes	4040	5248	4227516149	RGB	8	600	chc52980001490006001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/204	204	227.jp2	/chc5298/image/227.jp2
Carta, página 7	Letter, page 7																																			chc5298000149	chc52980001490007001								64133384 Bytes	4072	5248	1104205351	RGB	8	600	chc52980001490007001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/205	205	228.jp2	/chc5298/image/228.jp2
Oficio que certifica la veracidad del registro de libertos y patrocinados del municipio de Cárdenas, 15 de enero de 1883	Official document certifying the veracity of the register of freedmen and patrocinados in the municipality of Cárdenas, January 15, 1883	Benitez, Manuel; Cárdenas (Cuba : Municipio). Junta Local de Patronato													1883-01-15	1880-1890																				chc5298000149	chc52980001490008001								124080036 Bytes	5351	7728	1016190174	RGB	8	600	chc52980001490008001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/206	206	229.jp2	/chc5298/image/229.jp2
Oficio, página 2	Official document, page 2																																			chc5298000149	chc52980001490009001								126105960 Bytes	5341	7869	1475269019	RGB	8	600	chc52980001490009001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/207	207	230.jp2	/chc5298/image/230.jp2
Registro de libertos y patrocinados pertenecientes al municipio de Cárdenas en el período del 8 de diciembre de 1882 al 7 de enero de 1883	Table of freedmen and patrocinados residing in the municipality of Cárdenas between December 8 and January 7, 1883	Benitez, Manuel; Cárdenas (Cuba : Municipio). Junta Local de Patronato													1883-01-07	1880-1890																				chc5298000149	chc52980001490010001								248224316 Bytes	10696	7735	2775728559	RGB	8	600	chc52980001490010001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/208	208	231.jp2	/chc5298/image/231.jp2
Tabla, página 2	Table, page 2																																			chc5298000149	chc52980001490011001								251131120 Bytes	10738	7795	1169476987	RGB	8	600	chc52980001490011001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/209	209	232.jp2	/chc5298/image/232.jp2
Tabla, página 3	Table, page 3																																			chc5298000149	chc52980001490012001								247939576 Bytes	10681	7737	288142272	RGB	8	600	chc52980001490012001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/210	210	233.jp2	/chc5298/image/233.jp2
Tabla, página 4	Table, page 4																																			chc5298000149	chc52980001490013001								251207192 Bytes	10722	7809	2000664382	RGB	8	600	chc52980001490013001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/211	211	234.jp2	/chc5298/image/234.jp2
Tabla, página 5	Table, page 5																																			chc5298000149	chc52980001490014001								248397268 Bytes	10748	7703	373159246	RGB	8	600	chc52980001490014001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/212	212	235.jp2	/chc5298/image/235.jp2
Documentos relacionados a los registros de libertos y patrocinados del municipio de Cárdenas, enero de 1883	Documents regarding registers of freedmen and patrocinados in the municipality of Cárdenas, January 1883	Benitez, Manuel; Cárdenas (Cuba : Municipio). Junta Local de Patronato								Libertos -- Cuba -- Matanzas (Provincia); Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Cárdenas (Cuba : Municipio). Junta Local de Patronato; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Freedmen -- Cuba -- Matanzas (Province); Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Cárdenas (Cuba : Municipio). Junta Local de Patronato; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia; documentos oficiales; tablas (documento)	manuscripts (document genre); correspondence; official documents; tables (documents)		1883-01	1880-1890	Cárdenas (Cuba : Municipio)	east=23.0375; north=-81.20472; name=http://www.geonames.org/3565432/cardenas.html		7 páginas, 2 páginas, 3 láminas; 31.7 x 44.5 cm	7 pages, 2 pages, 3 sheets; 31.7 x 44.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 3; Folder No. 9; Folder Title: 1883 January 16				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000149			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/213	213	236.cpd	/chc5298/supp/213/index.pdf
Página 1	Page 1																																			chc5298000077	chc52980000770001001								62219428 Bytes	3955	5242	2672149247	RGB	8	600	chc52980000770001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/214	214	237.jp2	/chc5298/image/237.jp2
Página 2	Page 2																																			chc5298000077	chc52980000770002001								61915052 Bytes	3941	5235	2265291453	RGB	8	600	chc52980000770002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/215	215	238.jp2	/chc5298/image/238.jp2
Carta de José Maribona al presidente de la Junta Provincial de Patronato de Matanzas en relación al trámite de las cédulas de libre de un grupo de patrocinados mayores de 47 años de edad, 18 de marzo de 1884	José Maribona letter to the president of the Junta Provincial de Patronato de Matanzas regarding the issuance of the certificates of freedom of a group of patrocinados over the age of 47, March 18, 1884		Maribona, José; Cárdenas (Cuba : Municipio). Junta Local de Patronato		Matanzas (Cuba : Province). Junta Provincial de Patronato					Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Cárdenas (Cuba : Municipio). Junta Local de Patronato; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Cárdenas (Cuba : Municipio). Junta Local de Patronato; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia	manuscripts (document genre); correspondence		1884-03-18	1880-1890	Cárdenas (Cuba : Municipio)	east=23.0375; north=-81.20472; name=http://www.geonames.org/3565432/cardenas.html		2 páginas; 21.6 x 32.6 cm	2 pages; 21.6 x 32.6 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 4; Folder Title: 1884 March 19				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000077			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/216	216	239.cpd	/chc5298/supp/216/index.pdf
Carta enviada a la Junta Provincial de Patronato de Matanzas sobre los patrocinados que escaparon, 11 de noviembre de 1880	Letter sent to the Junta Provincial de Patronato de Matanzas regarding escaped patrocinados, November 11, 1880		Jovellanos (Cuba). Junta Local de Patronato		Matanzas (Cuba : Province). Junta Provincial de Patronato										1880-11-11	1880-1890																				chc5298000011	chc52980000110001001								63346260 Bytes	4049	5213	3718652982	RGB	8	600	chc52980000110001001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/217	217	240.jp2	/chc5298/image/240.jp2
Inventario que muestra los nombres de los patrocinados que escaparon, 1 de noviembre de 1880	Table containing the names of escaped patrocinados, November 1, 1880														1880-11-01	1880-1890																				chc5298000011	chc52980000110002001								121779020 Bytes	7672	5290	275014266	RGB	8	600	chc52980000110002001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/218	218	241.jp2	/chc5298/image/241.jp2
Carta y inventario de patrocinados que se escaparon, noviembre de 1880	Letter and table reporting escaped patrocinados, November 1880	Jovellanos (Cuba). Junta Local de Patronato								Esclavos fugitivos -- Cuba -- Matanzas (Provincia); Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Jovellanos (Cuba). Junta Local de Patronato; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Fugitive slaves -- Cuba -- Matanzas (Province); Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Jovellanos (Cuba). Junta Local de Patronato; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia; tablas (documento)	manuscripts (document genre); correspondence; tables (documents)		1880-11	1880-1890	Jovellanos (Cuba)	east=22.80444; north=-81.19444; name=http://www.geonames.org/3555907/jovellanos.html		2 hojas; 21.6 x 32.8 cm	2 leaves; 21.6 x 32.8 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 1; Folder No. 11; Folder Title: 1880 November 1				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000011			Text	image/tiff														2013-07-28	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/219	219	242.cpd	/chc5298/supp/219/index.pdf
Página 1	Page 1																																			chc5298000089	chc52980000890001001								58672784 Bytes	3743	5223	1164937668	RGB	8	600	chc52980000890001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/220	220	243.jp2	/chc5298/image/243.jp2
Página 2	Page 2																																			chc5298000089	chc52980000890002001								58746628 Bytes	3750	5220	720753029	RGB	8	600	chc52980000890002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/221	221	244.jp2	/chc5298/image/244.jp2
Carta de Ventura Mantecón al presidente de la Junta Provincial de Patronato de Matanzas referente a la otorgación de libertad de patrocinados bajo la tutela de Yndalecio Fernández, 12 de julio de 1884	Ventura Mantecón letter to the president of the Junta Provincial de Patronato de Matanzas in reference to the granting of freedom to the patrocinados of Yndalecio Fernández, July 12, 1884		Mantecón, Ventura; Macuriges (Cuba). Junta Local de Patronato		Matanzas (Cuba : Province). Junta Provincial de Patronato					Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Macuriges (Cuba). Junta Local de Patronato; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Macuriges (Cuba). Junta Local de Patronato; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia	manuscripts (document genre); correspondence		1884-07-12	1880-1890	Güira de Macurijes (Cuba)	east=22.74194; north=-81.395; name=http://www.geonames.org/3557348/gueira-de-macurijes.html		2 páginas; 21.7 x 30.7 cm	2 pages; 21.7 x 30.7 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 15; Folder Title: 1884 July 15				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000089			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/222	222	245.cpd	/chc5298/supp/222/index.pdf
Carta que acompaña el informe de patrocinados que fallecieron en junio de 1884 en el municipio de Palmillas, 8 de julio 1884	Letter accompanying the report on patrocinados deceased in June 1884 in the municipality of Palmillas, July 8, 1884		Sánchez, Serafín; Palmillas (Cuba). Junta Local de Patronato												1884-07-08	1880-1890																				chc5298000087	chc52980000870001001								61772992 Bytes	3880	5305	3015665830	RGB	8	600	chc52980000870001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/223	223	246.jp2	/chc5298/image/246.jp2
Carta, página 2	Letter, page 2																																			chc5298000087	chc52980000870002001								62604752 Bytes	3908	5338	102230297	RGB	8	600	chc52980000870002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/224	224	247.jp2	/chc5298/image/247.jp2
Tabla que muestra los patrocinados que fallecieron en junio de 1884 en el municipio de Palmillas, 7 de julio 1884	Table showing the patrocinados deceased in June 1884 in the municipality of Palmillas, July 7, 1884	Sánchez, Serafín; Palmillas (Cuba). Junta Local de Patronato													1884-07-07	1880-1890																				chc5298000087	chc52980000870003001								120300688 Bytes	5316	7542	1682273672	RGB	8	600	chc52980000870003001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/225	225	248.jp2	/chc5298/image/248.jp2
Carta y informe sobre los patrocinados fallecidos durante el mes de junio de 1884 en el municipio matancero de Palmillas, 7 de julio 1884	Letter and table reporting patrocinados deceased during the month of June 1884 in the municipality of Palmillas in Matanzas, July 7, 1884	Sánchez, Serafín; Palmillas (Cuba). Junta Local de Patronato								Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Palmillas (Cuba). Junta Local de Patronato; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Palmillas (Cuba). Junta Local de Patronato; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia; tablas (documento)	manuscripts (document genre); correspondence; tables (documents)		1884-07-07	1880-1890	Palmillas (Cuba)	east=22.62583; north=-80.78; name=http://www.geonames.org/3545050/palmillas.html		2 páginas, 1 hoja; 22 x 31.5 cm	2 pages, 1 leaf; 22 x 31.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 13; Folder Title: 1884 July 10				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000087			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/226	226	249.cpd	/chc5298/supp/226/index.pdf
Página 1	Page 1																																			chc5298000098	chc52980000980001001								62977540 Bytes	3894	5389	2494911649	RGB	8	600	chc52980000980001001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/227	227	250.jp2	/chc5298/image/250.jp2
Página 2	Page 2																																			chc5298000098	chc52980000980002001								62660428 Bytes	3878	5384	799021424	RGB	8	600	chc52980000980002001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/228	228	251.jp2	/chc5298/image/251.jp2
Página 3	Page 3																																			chc5298000098	chc52980000980003001								63117288 Bytes	3902	5390	3929036544	RGB	8	600	chc52980000980003001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/229	229	252.jp2	/chc5298/image/252.jp2
Carta enviada al presidente de la Junta Provincial de Patronato de Matanzas en relación a un cambio de dirección de un patrono y sus patrocinados, 5 de febrero de 1885	Letter sent to the Junta Provincial de Patronato de Matanzas regarding the change of address of a patrono and his patrocinados, February 5, 1885		Esponda, Federico; Santa Clara (Cuba : Province). Junta Provincial de Patronato		Matanzas (Cuba : Province). Junta Provincial de Patronato			Santa Clara era el nombre antiguo de la actual provincia de Villa Clara. Su territorio también incluía parte de las provincias de Sancti Spíritus y Matanzas.	Santa Clara was the former name of the present-day province of Villa Clara. Its territory also included part of the provinces of Sancti Spíritus and Matanzas.	Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Matanzas (Cuba : Provincia). Junta Provincial de Patronato; Santa Clara (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Matanzas (Cuba : Province). Junta Provincial de Patronato; Santa Clara (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia	manuscripts (document genre); correspondence		1885-02-05	1880-1890	Villa Clara (Cuba : Province)	east=22.4; north=-79.96667; name=http://www.geonames.org/3534168/provincia-de-villa-clara.html		3 páginas; 22.2 x 31.6 cm	3 pages; 22.2 x 31.6 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 24; Folder Title: 1885 February 7				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000098			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/230	230	253.cpd	/chc5298/supp/230/index.pdf
Página 1	Page 1																																			chc5298000101	chc52980001010001001								62558308 Bytes	3908	5334	2798608373	RGB	8	600	chc52980001010001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/231	231	254.jp2	/chc5298/image/254.jp2
Página 2	Page 2																																			chc5298000101	chc52980001010002001								61967944 Bytes	3877	5326	3337860469	RGB	8	600	chc52980001010002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/232	232	255.jp2	/chc5298/image/255.jp2
Carta de Federico Esponda al presidente de la Junta Provincial de Patronato de Matanzas referente al cambio de dirección de un patrocinado a cargo de Manuel Giménez Quevedo, 23 de febrero de 1885	Federico Esponda letter to the president of the Junta Provincial de Patronato de Matanzas regarding the change of address of a patrocinado of Manuel Giménez Quevedo, February 23, 1885		Esponda, Federico; Santa Clara (Cuba : Province). Junta Provincial de Patronato		Matanzas (Cuba : Province). Junta Provincial de Patronato			Santa Clara era el nombre antiguo de la actual provincia de Villa Clara. Su territorio también incluía parte de las provincias de Sancti Spíritus y Matanzas.	Santa Clara was the former name of the present-day province of Villa Clara. Its territory also included part of the provinces of Sancti Spíritus and Matanzas.	Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Santa Clara (Cuba : Provincia). Junta Provincial de Patronato; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Santa Clara (Cuba : Province). Junta Provincial de Patronato; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia	manuscripts (document genre); correspondence		1885-02-23	1880-1890	Villa Clara (Cuba : Province)	east=22.4; north=-79.96667; name=http://www.geonames.org/3534168/provincia-de-villa-clara.html		2 páginas; 22.2 x 31.8 cm	2 pages; 22.2 x 31.8 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 27; Folder Title: 1885 February 24				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000101			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/233	233	256.cpd	/chc5298/supp/233/index.pdf
Carta enviada al inspector de policía en relación al caso de Daniel Betancourt y su petición para casarse con la patrocinada Lugarda Hernández y liberarla de su patronato, 10 de febrero 1883	Letter sent to the police inspector regarding the case of Daniel Betancourt and his petition to marry the patrocinada Lugarda Hernández and free her from patronato, February 10, 1883							La carta incluye la contestación del inspector de policía hecha el 16 de febrero de 1883, y comentarios de Francisco Gutiérrez con fecha del 18 de febrero de 1883.	The letter includes the inspector's reply of February 16, 1883, and comments by Francisco Gutiérrez dated February 18.						1883-02	1880-1890																				chc5298000062	chc52980000620001001								61768092 Bytes	3939	5225	2426198137	RGB	8	600	chc52980000620001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/234	234	257.jp2	/chc5298/image/257.jp2
Primera carta, página 2	First letter, page 2																																			chc5298000062	chc52980000620002001								61928732 Bytes	3960	5211	1839946954	RGB	8	600	chc52980000620002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/235	235	258.jp2	/chc5298/image/258.jp2
Constestación del inspector de policía, 16 de febrero de 1883	Reply from the police inspector, February 16, 1883															1880-1890																				chc5298000062	chc52980000620003001								62520688 Bytes	3984	5229	4032089203	RGB	8	600	chc52980000620003001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/236	236	259.jp2	/chc5298/image/259.jp2
Comentario de Francisco Gutiérrez, 18 de febrero de 1883	Comment by Francisco Gutiérrez, February 18, 1883															1880-1890																				chc5298000062	chc52980000620004001								61730692 Bytes	3942	5218	3743596200	RGB	8	600	chc52980000620004001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/237	237	260.jp2	/chc5298/image/260.jp2
Carta enviada al gobernador civil de la provincia de Matanzas en relación al caso del patrocinado Federico Lombal, 26 de marzo de 1883	Letter to the governor of Matanzas regarding the case of the patrocinado Federico Lombal, March 26, 1883				Matanzas (Cuba : Province). Governor										1883-03-26	1880-1890																				chc5298000062	chc52980000620005001								63011044 Bytes	3999	5250	2078242306	RGB	8	600	chc52980000620005001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/238	238	261.jp2	/chc5298/image/261.jp2
Segunda carta, página 2	Second letter, page 2																																			chc5298000062	chc52980000620006001								63500780 Bytes	4031	5249	4060201338	RGB	8	600	chc52980000620006001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/239	239	262.jp2	/chc5298/image/262.jp2
Carta enviada al gobernador civil de Santa Clara en relación al caso del patrocinado Federico Lombal, 29 de marzo de 1883	Letter to the governor of Santa Clara regarding the case of the patrocinado Federico Lombal, March 29, 1883				Santa Clara (Cuba : Province). Governor										1883-03-29	1880-1890																				chc5298000062	chc52980000620007001								58360652 Bytes	3815	5097	2754555275	RGB	8	600	chc52980000620007001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/240	240	263.jp2	/chc5298/image/263.jp2
Tercera carta, página 2	Third letter, page 2																																			chc5298000062	chc52980000620008001								58669512 Bytes	3824	5112	2000639907	RGB	8	600	chc52980000620008001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/241	241	264.jp2	/chc5298/image/264.jp2
