Title	Translated Title	Play Title	Original Title	Production Title	Festival Title	CTDA Link	Creator	Author	Translator	Director	Producer	Photographer	Videographer	Theater Company	Theater Venue	Cast	Costume Designer	Set Designer	Poster Designer	Summary	Note	Subject	Genre	Publisher	Date Published	Date Created	Time Period	Geographic Subject	Geo Point	Geo Box	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Finding Aid	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Availability	Tape No.	Object ID	Digital ID	Upload ID	Full Text	Type	Format	Original Format	Tape Format	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
chc51410000560007001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141														chc51410000560007001.tif			Text	image/tiff							69529924 Bytes	5950	3894	3242422613	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000560007001.tif		2010-06-03	2010-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/221	221	222.jp2	/theater/image/222.jp2
chc51410000560008001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141														chc51410000560008001.tif			Text	image/tiff							69231004 Bytes	5946	3880	2448264098	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000560008001.tif		2010-06-03	2010-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/222	222	223.jp2	/theater/image/223.jp2
Program for the productions "La taza de café" and "Su esposo" ("The coffee mug" and "Your husband")																					Rolando Ferrer wrote "La taza de café, and George Bernard Shaw wrote "Su esposo"	Theater -- Cuba; Plays	Theater programs			1959	1950-1970	Havana, Cuba			1 program, 8 pages; 24. 5 x 16 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 8; Folder No. 5; Folder Title: Su esposo (Shaw, Bernard): programs, n.d.					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000056				Text	image/tiff																2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/223	223	224.cpd	/theater/image/224.cpd
chc51410000590001001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141														chc51410000590001001.tif			Text	image/tiff							56779028 Bytes	6093	3105	3233258152	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000590001001.tif		2010-06-03	2010-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/224	224	225.jp2	/theater/image/225.jp2
chc51410000590002001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141														chc51410000590002001.tif			Text	image/tiff							151664232 Bytes	8227	6144	4163995915	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000590002001.tif		2010-06-03	2010-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/225	225	226.jp2	/theater/image/226.jp2
chc51410000590003001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141														chc51410000590003001.tif			Text	image/tiff							57358996 Bytes	6120	3123	600564515	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000590003001.tif		2010-06-03	2010-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/226	226	227.jp2	/theater/image/227.jp2
chc51410000590004001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141														chc51410000590004001.tif			Text	image/tiff							56476080 Bytes	6104	3083	238590958	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000590004001.tif		2010-06-03	2010-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/227	227	228.jp2	/theater/image/228.jp2
chc51410000590005001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141														chc51410000590005001.tif			Text	image/tiff							56992040 Bytes	6112	3107	1609382737	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000590005001.tif		2010-06-03	2010-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/228	228	229.jp2	/theater/image/229.jp2
Program for the productions "Los fusiles" and "Los santos" ("The Rifles" and "The Saints")							Ayala, E.															Theater -- Cuba; Plays	Theater programs			1960-08	1960-1970	Havana, Cuba			1 program, 5 pages; 25.4 x 12.9 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 4; Folder No. 16; Folder Title: Los fusiles de la madre Carrar: programs, 1960					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000059				Text	image/tiff			2010-07-19													2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/229	229	230.cpd	/theater/image/230.cpd
chc51410000600001001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000060	chc51410000600001001			Text	image/tiff							60658392 Bytes	3685	5485	3129552811	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000600001001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/230	230	231.jp2	/theater/image/231.jp2
chc51410000600002001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000060	chc51410000600002001			Text	image/tiff							62382972 Bytes	3765	5521	3787794810	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000600002001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/231	231	232.jp2	/theater/image/232.jp2
chc51410000600003001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000060	chc51410000600003001			Text	image/tiff							61100372 Bytes	3693	5513	3841750723	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000600003001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/232	232	233.jp2	/theater/image/233.jp2
chc51410000600004001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000060	chc51410000600004001			Text	image/tiff							90870495 Bytes	4579	6615	3717217363	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000600004001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/233	233	234.jp2	/theater/image/234.jp2
Theater program of plays "Los fusiles" and "Los santos"																						Theater -- Cuba	Theater programs;			1960-10	1960-1970	Havana (Cuba);			1 program, 4 pages; 15.2 x 23 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 4; Folder No. 16; Folder Title: Los fusiles de la madre Carrar: programs, 1960					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000060				Text	image/tiff			2010-07-19													2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/234	234	235.cpd	/theater/image/235.cpd
chc51410000710001001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710001001			Text	image/tiff							46248792 Bytes	2791	5521	2052003946	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710001001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/235	235	236.jp2	/theater/image/236.jp2
chc51410000710002001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710002001			Text	image/tiff							47142112 Bytes	2825	5560	491176650	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710002001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/236	236	237.jp2	/theater/image/237.jp2
chc51410000710003001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710003001			Text	image/tiff							46201812 Bytes	2769	5559	1248648044	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710003001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/237	237	238.jp2	/theater/image/238.jp2
chc51410000710004001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710004001			Text	image/tiff							46509292 Bytes	2796	5542	1285258637	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710004001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/238	238	239.jp2	/theater/image/239.jp2
chc51410000710005001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710005001			Text	image/tiff							46584016 Bytes	2788	5567	3105521163	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710005001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/239	239	240.jp2	/theater/image/240.jp2
chc51410000710006001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710006001			Text	image/tiff							46850580 Bytes	2812	5551	2737262877	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710006001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/240	240	241.jp2	/theater/image/241.jp2
chc51410000710007001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710007001			Text	image/tiff							45851408 Bytes	2748	5559	2976458693	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710007001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/241	241	242.jp2	/theater/image/242.jp2
chc51410000710008001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710008001			Text	image/tiff							47585764 Bytes	2852	5559	2505204713	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710008001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/242	242	243.jp2	/theater/image/243.jp2
chc51410000710009001																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000071	chc51410000710009001			Text	image/tiff							46247920 Bytes	2784	5535	2579419473	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000710009001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/243	243	244.jp2	/theater/image/244.jp2
Program for the production "Mulato"																						Theater -- Cuba; Plays	Theater programs;			1963	1960-1970	Cuba			1 program, 9 pages; 11.4 x 23.2 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 6; Folder No. 10; Folder Title: Mulato: programs, 1963					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000071				Text	image/tiff																2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/244	244	245.cpd	/theater/image/245.cpd
Page 1																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000063	chc51410000630001001			Text	image/tiff							73308044 Bytes	4288	5697	3607218459	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000630001001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/245	245	246.jp2	/theater/image/246.jp2
Page 2																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000063	chc51410000630002001			Text	image/tiff							72929596 Bytes	4280	5678	231964825	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000630002001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/246	246	247.jp2	/theater/image/247.jp2
Page 3																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000063	chc51410000630003001			Text	image/tiff							73543296 Bytes	4304	5694	2081313258	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000630003001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/247	247	248.jp2	/theater/image/248.jp2
Page 4																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000063	chc51410000630004001			Text	image/tiff							73150412 Bytes	4287	5686	1154670410	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000630004001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/248	248	249.jp2	/theater/image/249.jp2
Program for the production "Candida," 1965							Vidal, M.															Theater -- Cuba; Plays	Theater programs;			1965	1960-1970	Havana (Cuba);			1 program, 4 pages; 17.8 x 23.8 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 1; Folder No. 20; Folder Title: Candida (Cuba): programs, 1953, 1964					DPR; SR;AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000063				Text	image/tiff																2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/249	249	250.cpd	/theater/image/250.cpd
Page 1																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000062	chc51410000620001001			Text	image/tiff							46040932 Bytes	5828	2632	4095382039	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000620001001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/250	250	251.jp2	/theater/image/251.jp2
Page 2																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000062	chc51410000620002001			Text	image/tiff							45628896 Bytes	5863	2593	1722022547	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000620002001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/251	251	252.jp2	/theater/image/252.jp2
Page 3																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000062	chc51410000620003001			Text	image/tiff							46422788 Bytes	5839	2649	561286020	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000620003001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/252	252	253.jp2	/theater/image/253.jp2
Page 4																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000062	chc51410000620004001			Text	image/tiff							47357152 Bytes	5903	2673	3339448384	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000620004001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/253	253	254.jp2	/theater/image/254.jp2
Page 5																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000062	chc51410000620005001			Text	image/tiff							47219020 Bytes	5799	2713	579202432	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000620005001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/254	254	255.jp2	/theater/image/255.jp2
Page 6																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000062	chc51410000620006001			Text	image/tiff							54243252 Bytes	6055	2985	1933246330	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000620006001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/255	255	256.jp2	/theater/image/256.jp2
Page 7																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000062	chc51410000620007001			Text	image/tiff							44727664 Bytes	5647	2639	1018401676	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000620007001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/256	256	257.jp2	/theater/image/257.jp2
Page 8																																		University of Miami Libraries. Cuban Heritage Collection.	Herberto Dumé Papers	CHC5141													chc5141000062	chc51410000620008001			Text	image/tiff							47922256 Bytes	5903	2705	348341156	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000620008001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/257	257	258.jp2	/theater/image/258.jp2
Program for the production "Candida," 1964																						Theater -- Cuba; Plays	Theater programs;			1964-09	1960-1970	Havana (Cuba);			1 program, 8 pages; 24.4 x 10.8 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 1; Folder No. 20; Folder Title: Candida (Cuba): programs, 1953, 1964					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000062				Text	image/tiff																2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/258	258	259.cpd	/theater/image/259.cpd
Scene from the play, "El que dijo sí y El que dijo no" ( The one who said yes and the one who said no)																						Theater -- Cuba; Plays	Photographs			1961-05-13	1960-1970	Havana, Cuba			1 b&w photograph; 20.4 x 25.4 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 10; Folder Title: El que dijo sí y el que dijo no: photographs (Cuba), 1961					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000520001001			Image	image/tiff							90054184 Bytes	4940	6075	2240595613	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000520001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/259	259	260.jp2	/theater/image/260.jp2
Scene from the play, "El mago de Oz" (The Wizard of Oz)												Mayito									Written on verso: "Foto por Mayito; Teatro Nacional de Cuba"; Play was adapted by Abelardo Estorino based on the book written by Frank Baum.	Theater -- Cuba; Plays	Photographs			1961	1960-1970	Cuba			1 b&w photograph; 25.4 x 20.4 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 2; Folder Title: El mago de Oz (Cuba), 1961					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000420001001			Image	image/tiff							89864836 Bytes	6088	4919	4044128333	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000420001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/260	260	261.jp2	/theater/image/261.jp2
Scene from the play, "Recuerdos de Tulipa" (Remembering Tulipa)																						Theater -- Cuba; Plays	Photographs			1964	1960-1970	Cuba			1 b&w photograph; 13 x 20.3 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 11; Folder Title: Recuerdos de Tulipa: photographs, 1964					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000750001001			Image	image/tiff							46286780 Bytes	3177	4854	4273206498	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000750001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/261	261	262.jp2	/theater/image/262.jp2
Scene from the play, "Recuerdos de Tulipa" (Remembering Tulipa)																						Theater -- Cuba; Plays	Photographs			1964	1960-1970	Cuba			1 b&w photograph; 13.2 x 20.2 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 11; Folder Title: Recuerdos de Tulipa: photographs, 1964					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000740001001			Image	image/tiff							46797340 Bytes	3220	4842	1935697769	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000740001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/262	262	263.jp2	/theater/image/263.jp2
Scene from the play, "Recuerdos de Tulipa" (Remembering Tulipa)																					Written on verso: "Recuerdos de Tulipa de Reguera Saumell, Dirección Dumé"	Theater -- Cuba; Plays	Photographs			1964	1960-1970	Cuba			1 b&w photograph; 13.1 x 20.2 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 11; Folder Title: Recuerdos de Tulipa: photographs, 1964					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000780001001			Image	image/tiff							46811288 Bytes	3213	4854	3032981796	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000780001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/263	263	264.jp2	/theater/image/264.jp2
Scene from the play, "El lindo ruiseñor" (The Nightingale)																					"El lindo ruiseñor" was adapted by Rebeca Morales based on José Martí free version of Hans Christian Andersen's "The Nightingale".	Theater -- Cuba; Plays	Photographs			1960-03-10	1960-1970	Havana, Cuba			1 b&w photograph; 25.4 x 20.4 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 1; Folder Title: El lindo ruiseñor, 1960					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000470001001			Image	image/tiff							90588844 Bytes	6136	4920	642054697	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000470001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/264	264	265.jp2	/theater/image/265.jp2
Scene from the play, "Recuerdos de Tulipa" (Remembering Tulipa)																						Theater -- Cuba; Plays	Photographs			1964	1960-1970	Cuba			1 b&w photograph; 20.2 x 13.1 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 11; Folder Title: Recuerdos de Tulipa: photographs, 1964					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000770001001			Image	image/tiff							74869797 Bytes	6053	4123	2253908806	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000770001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/267	267	268.jp2	/theater/image/268.jp2
Scene from the play, "El lindo ruiseñor" (The Nightingale)												Mayito									Written on verso: "Grupo Guernica. El lindo ruiseñor; Foto por Mayito; Consejo Nacional de Cultura"; "El lindo ruiseñor" was adapted by Rebeca Morales based on José Martí free version of Hans Christian Andersen's "The Nightingale".	Theater -- Cuba; Plays	Photographs			1960-03-10	1960-1970	Havana, Cuba			1 b&w photograph; 20 x 25 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 1; Folder Title: El lindo ruiseñor, 1960					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000480001001			Image	image/tiff							85925208 Bytes	4785	5976	2018163570	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000480001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/270	270	271.jp2	/theater/image/271.jp2
Scene from the play, "Candida"																						Theater -- Cuba; Plays	Photographs			1964	1960-1970	Havana, Cuba			1 b&w photograph; 25.4 x 20 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 11; Folder No. 10; Folder Title: Candida: photographs, 1964					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000680001001			Image	image/tiff							87711020 Bytes	6092	4798	1403945008	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000680001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/271	271	272.jp2	/theater/image/272.jp2
Scene from the play, "Candida"																						Theater -- Cuba; Plays	Photographs			1964	1960-1970	Havana, Cuba			1 b&w photograph; 20.26 x 25.4 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 11; Folder No. 10; Folder Title: Candida: photographs, 1964					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000670001001			Image	image/tiff							90947100 Bytes	4975	6092	706797258	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000670001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/278	278	279.jp2	/theater/image/279.jp2
Scene from the play, "Recuerdos de Tulipa" (Remembering Tulipa)																						Theater -- Cuba; Plays	Photographs			1964	1960-1970	Cuba			1 b&w photograph; 20.2 x 25.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 11; Folder Title: Recuerdos de Tulipa: photographs, 1964					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000730001001			Image	image/tiff							89675328 Bytes	4903	6095	3195967393	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000730001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/280	280	281.jp2	/theater/image/281.jp2
Scene from the play, "El mago de Oz" (The Wizard of Oz)												Mayito									Written on verso: "Foto por Mayito; Teatro Nacional de Cuba"; Play was adapted by Abelardo Estorino based on the book written by Frank Baum.	Theater -- Cuba; Plays	Photographs			1961	1960-1970	Havana, Cuba			1 b&w photograph; 25.3 x 20.3 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 2; Folder Title: El mago de Oz (Cuba), 1961					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000430001001			Image	image/tiff							88551076 Bytes	6057	4872	3887617836	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000430001001.tif		2010-06-23	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/282	282	283.jp2	/theater/image/283.jp2
Scene from the play, "Las manos de Eurídice" (Eurídice hands)																				Actor Manuel Pereiro	Written on verso: "Para Dumé: A quien debo mi éxito en ""Las manos de Eurídice"" y porque podamos seguir trabajando juntos mucho tiempo. Pereiro 27/4/59"	Theater -- Cuba; Plays	Photographs			1959-04-27	1950-1960	Cuba			1 b&w photograph; 9 x 13.9 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 14; Folder No. 5; Folder Title: Las manos de Eurídice: photograph, 1959					DPR; SR		© 2007 University of Miami. All rights reserved	http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000580001001			Image	image/tiff							22066812 Bytes	2208	3328	3289850236	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000580001001.tif		2010-06-23	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/284	284	285.jp2	/theater/image/285.jp2
