Title	Translated Title	Photographer	Contributor	Summary	Note	Subject	Theme	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Hotel at El Canet, between Camagüey and Nuevitas						Hotels -- Cuba; Camagüey (Cuba : Province); Nuevitas (Cuba)		Photographs			1900-1920	Camagüey (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 3; Folder No. 11; Folder Title: Camagüey (Province).	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005580001001	Image	image/tiff	Epson	Photoshop		277.088 KB	1023	718	0x954AA37		24 bit	600 dpi	50170005580001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1348	1348	1818.jpg	chc501710\50170005580001001.tif	/chc5017/image/1818.jpg
Men with ox cart						Agriculture -- Cuba; Agricultural laborers; Oxen; Carriages and carts -- Cuba;		Photographs			1900-1930	Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 2; Folder Title: Agriculture, n.d., 1905-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000160001001	Image	image/tiff	Epson	Photoshop		412.018 KB	1023	728	0x391FD3A5		24 bit	600 dpi	50170000160001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1349	1349	1286.jpg	chc50178\50170000160001001.tif	/chc5017/image/1286.jpg
U.S.S. Kentucky						Battleships; Ships -- Cuba; Harbors --Cuba -- Havana; Havana (Cuba);		Photographs		1898	1890-1990	Havana (Cuba)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 13; Folder Title: Ships & Boats, n.d., 1890s-1920s, 1990s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170003320001001	Image	image/tiff	Epson	Photoshop		203.283 KB	975	768	0x82B7FAC7		24 bit	600 dpi	50170003320001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1350	1350	1594.jpg	chc50179\50170003320001001.tif	/chc5017/image/1594.jpg
Public school demonstration on la 'Caridad Drive,' Camagüey, Cuba						School children; Streets -- Cuba; Public schools -- Cuba; Camagüey (Cuba)		Photographs				Camagüey (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 21; Folder Title: Camagüey, n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170003930001001	Image	image/tiff	Epson	Photoshop		245.383 KB	963	768	0x4C394804		24 bit	600 dpi	50170003930001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1351	1351	1654.jpg	chc50179\50170003930001001.tif	/chc5017/image/1654.jpg
Mausoleum at Colón Cemetery, Havana				The American Ambassador Gen. Crowder made an address. President Machado attended these services	Written on verso: "Mausoleum unveiled at Colón Cemetery with official honors on Decoration Day by the American Legion in Havana, Cuba, May 30th, 1926", "From Mary Elizabeth Springer, 97 Wilson Ave, Vedado, Habana."	Necrópolis Cristóbal Colón (Havana, Cuba); Mausoleums; Sepulchral monuments; Cemeteries -- Cuba; Havana (Cuba)		Photographs		1926-05-30	1920-1930	Havana (Cuba)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 22; Folder Title: Cemeteries: Cementerio de Colón, 1920s, 1999.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170001350001001	Image	image/tiff	Epson	Photoshop		369.244 KB	975	768	0x7E54D651		24 bit	600 dpi	50170001350001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1352	1352	1401.jpg	chc50178\50170001350001001.tif	/chc5017/image/1401.jpg
Reina del Carnaval, La Habana, Cuba	Queen of the Carnival, Havana, Cuba				Written on front: "______a del Carnaval. Habana. __een of the Carnival. Havana." Written on verso: "#2", "The Queen of the Carnival with her Maids in the break in which they ride during the Carnival parades. They have stopped for a moment in front of the official reviewing stand located on the Malecon drive. Note the 'serpentinas' which have been thrown at the Queen and her party are hanging on the break." Also, "Used 1919."  Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Carnivals; Parades; Havana (Cuba)		Photographs		1919	1900-1920	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 21; Folder Title: Carnivals and Celebrations, n.d., 1910s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170001300001001	Image	image/tiff	Epson	Photoshop		304.435 KB	977	768	0xBA739A43		24 bit	600 dpi	50170001300001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1353	1353	1396.jpg	chc50178\50170001300001001.tif	/chc5017/image/1396.jpg
Aerial view of El Vedado, Havana					Illegible notations on verso.	Vedado (Havana, Cuba) -- Aerial photographs; Neighborhoods -- Cuba -- Havana		Photographs			1910-1930	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 42; Folder Title: Neighborhoods: Vedado, 1900s-1930s 1999.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170002540001001	Image	image/tiff	Epson	Photoshop		321.231 KB	957	768	0x5B3A3D99		24 bit	600 dpi	50170002540001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1354	1354	1517.jpg	chc50179\50170002540001001.tif	/chc5017/image/1517.jpg
Camino de Palmas en Cayo Bonito, Pinar del Río	Royal Palms road, Cayo Bonito, Pinar del Río				Written on recto: "Camino de Palmas en Cayo Bonito, Cuba." Written on verso: "Palm Avenue on Cayo Bonito Plantation and "Used as cover page March 1909." Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Palms -- Cuba; Trees -- Cuba; Roads -- Cuba;		Photographs		1909	1900-1910	Pinar del Río (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III. Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No.: 26; Folder Title: Cayo Bonito, 1909.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170004230001001	Image	image/tiff	Epson	Photoshop		197.103 KB	621	768	0x5342A7BC		24 bit	600 dpi	50170004230001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1355	1355	1684.jpg	chc50179\50170004230001001.tif	/chc5017/image/1684.jpg
Nodulizing plant					Written on verso: "Nodulizing Plant. Convert ore into nodules."	Factories; Phosphate industry; Ore deposits -- Cuba;		Photographs		1921	1920-1930	Cuba	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 9; Folder Title: Phosphate Industry, 1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000830001001	Image	image/tiff	Epson	Photoshop		383.638 KB	972	768	0xAE48BBC3		24 bit	600 dpi	50170000830001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1356	1356	1350.jpg	chc50178\50170000830001001.tif	/chc5017/image/1350.jpg
Japanese garden in a Vedado private residence, Havana					Photograph of the American Photo Co., Havana. Written on recto: "P. 8511" and  "1923." Embossed stamp on recto: "American Photo Studios, Havana, Cuba." Written on verso: "En ella residió de soltero el Dr. Carlos Manuel de Céspedes, Secretario de Obras Públicas en el Gobierno de Machado. Después Restaurant 1830", "Used 1923."  Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Gardens, Japanese; Dwellings -- Cuba -- Havana; Vedado (Havana, Cuba); Havana, Cuba;		Photographs		1923	1920-1930	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 28; Folder Title: Dwellings, n.d., 1900s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170001700001001	Image	image/tiff	Epson	Photoshop		298.893 KB	964	768	0x75831C5F		24 bit	600 dpi	50170001700001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1357	1357	1434.jpg	chc50178\50170001700001001.tif	/chc5017/image/1434.jpg
Cave in Havana Province					Written on verso: "Scene in Havana Province" and "Used October 1923." Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Caves -- Cuba; Havana (Cuba : Province)		Photographs		1923-10	1920-1930	Havana (Cuba : Province)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series IV: Provinces, n.d., 1906-1920s.	Box No. 3; Folder No. 12; Folder Title: Havana (Province), n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005720001001	Image	image/tiff	Epson	Photoshop		242.862 KB	608	768	0x74C0B9BB		24 bit	600 dpi	50170005720001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1358	1358	1832.jpg	chc501710\50170005720001001.tif	/chc5017/image/1832.jpg
Marcus Morales' house, Havana					Written on recto: "978." Embossed stamp on recto: "Library of Manuel R. Bustamante" (donor). Notation by Manuel R. Bustamante (donor) affixed on verso: "Residencia de la familia Marcos Morales en Monserrate esquina a Habana."	Dwellings -- Cuba -- Havana; Havana (Cuba)		Photographs		1917	1910-1920	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 28; Folder Title: Dwellings, n.d., 1900s-1920s	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170001740001001	Image	image/tiff	Epson	Photoshop		180.855 KB	614	768	0x9DA9D9C8		24 bit	600 dpi	50170001740001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1359	1359	1438.jpg	chc50178\50170001740001001.tif	/chc5017/image/1438.jpg
Scene outside Camagüey, Cuba						Rivers -- Cuba ; Roads -- Cuba; Country life -- Cuba; Camagüey (Cuba : Province); Huts -- Cuba;		Photographs				Camagüey (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 3; Folder No. 11; Folder Title: Camagüey (Province).	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005590001001	Image	image/tiff	Epson	Photoshop		300.71 KB	1009	768	0x76A6790		24 bit	600 dpi	50170005590001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1360	1360	1819.jpg	chc501710\50170005590001001.tif	/chc5017/image/1819.jpg
Deserted Cuban bohío		Potter, C. F.			Written on verso: "Deserted hut, showing construction of palm leaves and a few logs and poles. The side slabs are the palm leaf sheathes. F. Potter."	Dwellings -- Cuba; Huts -- Cuba; Thatched buildings; Country life -- Cuba -- Pictorial works;		Photographs			1900-1930	Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 6; Folder Title: Dwellings, n.d., 1890s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000460001001	Image	image/tiff	Epson	Photoshop		239.16 KB	955	768	0xF0B21517		24 bit	600 dpi	50170000460001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1361	1361	1314.jpg	chc50178\50170000460001001.tif	/chc5017/image/1314.jpg
Almendares River, Havana						Rivers -- Cuba; Almendares River (Cuba); Puentes Grandes (Havana, Cuba); Havana (Cuba);		Landscape photographs				Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries.Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series IV: Provinces, n.d., 1906-1920s.	Box No. 3; Folder No. 12; Folder Title: Havana (Province), n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005640001001	Image	image/tiff	Epson	Photoshop		347.54 KB	974	768	0xE855A490		24 bit	600 dpi	50170005640001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1362	1362	1824.jpg	chc501710\50170005640001001.tif	/chc5017/image/1824.jpg
Bohíos by hills, Cuba						Dwellings -- Cuba; Huts; Thatched roofs; Landscape photographs -- Cuba		Landscape photographs			1900-1930	Cuba	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 8; Folder Title: Landscape Photographs, n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000670001001	Image	image/tiff	Epson	Photoshop		362.186 KB	975	768	0x74664C33		24 bit	600 dpi	50170000670001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1363	1363	1335.jpg	chc50178\50170000670001001.tif	/chc5017/image/1335.jpg
Logs with apiary in the background					Written on verso: "A pile of natioc log heirs ready for use. Note the apiary in the background and to the right", "Used 1920."	Timber -- Cuba; Lumber; Apiaries; Cuba		Landscape photographs		1920	1910-1930	Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 8; Folder Title: Landscape Photographs, n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000590001001	Image	image/tiff	Epson	Photoshop		448.565 KB	1022	745	0xC270A4C6		24 bit	600 dpi	50170000590001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1364	1364	1327.jpg	chc50178\50170000590001001.tif	/chc5017/image/1327.jpg
Town of Mariel, Artemisa Province					Photograph of the American Photo Co., Havana. Written on verso: "Frontispiece, Jan 1923." Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Mariel (Cuba); Aerial photography; Artemisa (Cuba);		Photographs		1923-01	1920-1930	Artemisa (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 49; Folder Title: Mariel,  n.d., 1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170004880001001	Image	image/tiff	Epson	Photoshop		352.866 KB	986	768	0xF51DC078		24 bit	600 dpi	50170004880001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1365	1365	1749.jpg	chc501710\50170004880001001.tif	/chc5017/image/1749.jpg
La Giraldilla, símbolo de la Ciudad de La Habana	Giraldilla, symbol of the city of Havana				Written on verso: "Castillo de la Fuerza" and "Used Oct 1926." Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Castillo de la Real Fuerza (Havana, Cuba); Fortification -- Cuba -- Havana; Giraldilla (Havana, Cuba); Havana (Cuba)		Photographs		1926-10	1920-1930	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 31; Folder Title: Forts and Fortifications: Castillo de la Fuerza, n.d., 1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170001940001001	Image	image/tiff	Epson	Photoshop		180.455 KB	607	768	0x8C30BF74		24 bit	600 dpi	50170001940001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1366	1366	1457.jpg	chc50178\50170001940001001.tif	/chc5017/image/1457.jpg
Native home in the interior					Written on front: "39"	Dwellings -- Cuba; Horses; Country homes; Country Life -- Cuba;		Photographs			1900-1930	Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 6; Folder Title: Dwellings, n.d., 1890s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000410001001	Image	image/tiff	Epson	Photoshop		278.307 KB	966	768	0x55FBA515		24 bit	600 dpi	50170000410001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1367	1367	1309.jpg	chc50178\50170000410001001.tif	/chc5017/image/1309.jpg
Typical Cuban planter					Written on recto: "70." Written on verso: "White mule. 500 - José Pique, Havana."	Farmers; Mules -- Cuba; Havana (Cuba)		Photographs			1900-1920	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 17; Folder Title: Havana, 1900s-1960s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170001160001001	Image	image/tiff	Epson	Photoshop		138.646 KB	544	768	0x4D5A6161		24 bit	600 dpi	50170001160001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1368	1368	1382.jpg	chc50178\50170001160001001.tif	/chc5017/image/1382.jpg
Mule cart in an unidentified street, Camagüey					Written on verso: "Street scene in Camagüey chiefly interesting because it shows the narrow elevated sidewalks, the wooden windows peculiar largely to this old city."	Streets -- Cuba; Carriages and carts; Wagons; Mules -- Cuba; Dwellings -- Cuba; Buildings, structures, etc.; Camagüey (Cuba)		Photographs			1900-1920	Camagüey (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 21; Folder Title: Camagüey, n.d. 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170003850001001	Image	image/tiff	Epson	Photoshop		140.764 KB	480	768	0x1B78B5D8		24 bit	600 dpi	50170003850001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1369	1369	1646.jpg	chc50179\50170003850001001.tif	/chc5017/image/1646.jpg
Horse					Written on verso: "1669." Stamp on verso: "Reproduction permitted with Due Acknowledgement to Bur. Of Agriculture, P.I."	Horses -- Cuba; Animals;		Photographs			1900-1930	Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 1; Folder Title: Animals.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000010001001	Image	image/tiff	Epson	Photoshop		294.215 KB	1023	728	0x20BB2F94		24 bit	600 dpi	50170000010001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1370	1370	1271.jpg	chc50178\50170000010001001.tif	/chc5017/image/1271.jpg
Royal palms by river with bohío in background					Written on verso: "Royal palms by river with bohio in background"	Palms -- Cuba; Huts; Rivers -- Cuba;		Landscape photographs				Cuba	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Serieis I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 8; Folder Title: Landscape Photographs, n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000680001001	Image	image/tiff	Epson	Photoshop		429.36 KB	1023	698	0xE848F703		24 bit	600 dpi	50170000680001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1371	1371	1336.jpg	chc50178\50170000680001001.tif	/chc5017/image/1336.jpg
Two men looking up at cliff by the water, Cuba					Written on verso: "June Cover." Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Cliffs; Waterfronts;		Landscape photographs			1900-1930	Cuba	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 8; Folder Title: Landscape Photographs,  n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000610001001	Image	image/tiff	Epson	Photoshop		208.216 KB	596	768	0x6097887D		24 bit	600 dpi	50170000610001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1372	1372	1329.jpg	chc50178\50170000610001001.tif	/chc5017/image/1329.jpg
Palacio Presidencial, La Habana, Cuba	Presidential Palace, Havana, Cuba				Photograph of the American Photo Co., Havana. Embossed stamp on recto: "Library of Manuel R. Bustamante" (donor). Notation by Manuel R. Bustamante (donor) affixed on verso: "Palacio Presidencial de Cuba, Construido para Gobierno Provincial en 1918, y adaptado para Palacio Presidencial por el Presidente Menocal. El piso superior sobre la azotea fue construido por el Presidente Gral Machado (1925-1933)."	Palacio Presidencial (Havana, Cuba); Official residences -- Cuba; Havana (Cuba)		Photographs		1925	1920-1930	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 2; Folder No. 1; Folder Title: Official Residences: Palacio Presidencial, n.d., 1900s-1930s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170002720001001	Image	image/tiff	Epson	Photoshop		244.757 KB	965	768	0x183EB7A9		24 bit	600 dpi	50170002720001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1373	1373	1535.jpg	chc50179\50170002720001001.tif	/chc5017/image/1535.jpg
Office of the American Consul in Antilla, Holguín						Diplomatic and consular service, American -- Cuba; Antilla (Cuba); Holguín (Cuba);		Photographs			1900-1920	Holguín (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 12; Folder Title: Antilla.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170003490001001	Image	image/tiff	Epson	Photoshop		268.968 KB	1022	745	0xBB9BE655		24 bit	600 dpi	50170003490001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1374	1374	1610.jpg	chc50179\50170003490001001.tif	/chc5017/image/1610.jpg
Estación del Havana Central en Buen Retiro, Havana						Neighborhoods -- Cuba -- Havana; Havana (Cuba)		Photographs			1910-1930	Havana (Cuba)	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 41; Folder Title: Neighborhoods: Buen Retiro.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170002510001001	Image	image/tiff	Epson	Photoshop		235.269 KB	1001	768	0xA4A2D094		24 bit	600 dpi	50170002510001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1375	1375	1514.jpg	chc50179\50170002510001001.tif	/chc5017/image/1514.jpg
Castillo del Morro, Havana					Written on front: "El Morro en Temporal -Habana-." Written on verso: "Used Sept 1926." Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Castillo del Morro (Havana, Cuba); Fortification; Havana (Cuba)		Photographs		1926-09	1920-1930	Havana (Cuba)	1 b&w photographic postcard	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 33; Folder Title: Forts and Fortifications: Castillo del Morro,n.d., 1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170002080001001	Image	image/tiff	Epson	Photoshop		232.796 KB	1022	658	0xDBAC2985		24 bit	600 dpi	50170002080001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1376	1376	1471.jpg	chc50178\50170002080001001.tif	/chc5017/image/1471.jpg
