Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000018						asm00370000180001001	image/tiff	240.739 KB	348	768	0x6EE668DA	RGB	24 bit depth	600 dpi	asm00370000180001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/53	53	57.jpg	Volume4\asm00370000180001001.tif	/asm0037/image/57.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000018						asm00370000180002001	image/tiff	273.991 KB	345	768	0xCF506F32	RGB	24 bit depth	600 dpi	asm00370000180002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/54	54	58.jpg	Volume4\asm00370000180002001.tif	/asm0037/image/58.jpg
Greater Miami's tropic attractions				1 colored map showing some of the tourist attractions in Dade County.		Tourist attractions; City promotion; Tourism	Advertising fliers; Maps				Florida; Miami-Dade County (Florida); Miami (Florida)		eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000018	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/55	55	59.cpd		/asm0037/image/59.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000002						asm00370000020001001	image/tiff	550.445 KB	1021	768	0xEB0F97BB	RGB	24 bit depth	600 dpi	asm00370000020001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/56	56	60.jpg	Volume4\asm00370000020001001.tif	/asm0037/image/60.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000002						asm00370000020002001	image/tiff	502.169 KB	1021	768	0x1B15FA20	RGB	24 bit depth	600 dpi	asm00370000020002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/57	57	61.jpg	Volume4\asm00370000020002001.tif	/asm0037/image/61.jpg
Metropolitan Museum and Art Center, Coral Gables, Florida				Promotional material for the Metropolitan Museum and Art Centers of Coral Gables.		Metropolitan Museum and Art Centers; Tourist attractions	Advertising fliers				Florida; Miami-Dade County (Florida); Coral Gables (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 1; Folder Title: Coral Gables						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000002	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/58	58	62.cpd		/asm0037/image/62.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000015						asm00370000150001001	image/tiff	609.68 KB	1006	768	0xB566A90C	RGB	24 bit depth	600 dpi	asm00370000150001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/59	59	63.jpg	Volume4\asm00370000150001001.tif	/asm0037/image/63.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000015						asm00370000150002001	image/tiff	581.451 KB	1006	768	0xAE49BF4C	RGB	24 bit depth	600 dpi	asm00370000150002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/60	60	64.jpg	Volume4\asm00370000150002001.tif	/asm0037/image/64.jpg
Ancient Spanish Monastery and Mission Gardens				Advertising flier for the Ancient Spanish Monastery in North Miami Beach.		Ancient Spanish Monastery (North Miami Beach, Florida); Church buildings; Tourist attractions	Advertising fliers; Maps				Florida; Miami-Dade County (Florida); North Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000015	Text						image/tiff										2012-05-31	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/61	61	65.cpd		/asm0037/image/65.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000006						asm00370000060001001	image/tiff	322.263 KB	1022	680	0x79FDB47C	RGB	24 bit depth	600 dpi	asm00370000060001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/62	62	66.jpg	Volume4\asm00370000060001001.tif	/asm0037/image/66.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000006						asm00370000060002001	image/tiff	382.471 KB	1023	673	0x370AA5AF	RGB	24 bit depth	600 dpi	asm00370000060002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/63	63	67.jpg	Volume4\asm00370000060002001.tif	/asm0037/image/67.jpg
Fairchild Tropical Garden				Promotional flyer for Fairchild Tropical Botanic Garden, Coral Gables, which opened in 1938.		Botanical gardens; Fairchild Tropical Botanic Garden	Advertising fliers	Fairchild Tropical Botanic Garden			Florida; Miami-Dade County (Florida); Coral Gables (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000006	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/64	64	68.cpd		/asm0037/image/68.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000016						asm00370000160001001	image/tiff	418.291 KB	674	768	0xEC3207B6	RGB	24 bit depth	600 dpi	asm00370000160001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/65	65	69.jpg	Volume4\asm00370000160001001.tif	/asm0037/image/69.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000016						asm00370000160002001	image/tiff	451.193 KB	674	768	0x29E1295A	RGB	24 bit depth	600 dpi	asm00370000160002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/66	66	70.jpg	Volume4\asm00370000160002001.tif	/asm0037/image/70.jpg
Fishing reef and key				Advertising flier for A.G.H. Lines's fishing yacht "Biscayne" and fishing opportunities.		Fishing; Boats and boating	Advertising fliers; Maps	A. G. H. Lines			Florida; Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000016	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/67	67	71.cpd		/asm0037/image/71.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000033						asm00370000330001001	image/tiff	547.442 KB	1022	580	0xD0361580	RGB	24 bit depth	600 dpi	asm00370000330001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/68	68	72.jpg	Volume4\asm00370000330001001.tif	/asm0037/image/72.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000033						asm00370000330002001	image/tiff	539.004 KB	1022	580	0xA6B8E7C2	RGB	24 bit depth	600 dpi	asm00370000330002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/69	69	73.jpg	Volume4\asm00370000330002001.tif	/asm0037/image/73.jpg
Seven Seas sightseeing cruise				Promotional flier advertising the various sightseeing cruises offered by the Albury Boat Lines.		Sightseeing business; Cruise ships	Advertising fliers	Albury Boat Lines			Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000033	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/70	70	74.cpd		/asm0037/image/74.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000019						asm00370000190001001	image/tiff	422.492 KB	676	768	0xF36F4B83	RGB	24 bit depth	600 dpi	asm00370000190001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/71	71	75.jpg	Volume4\asm00370000190001001.tif	/asm0037/image/75.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000019						asm00370000190002001	image/tiff	400.04 KB	676	768	0xC413A1D1	RGB	24 bit depth	600 dpi	asm00370000190002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/72	72	76.jpg	Volume4\asm00370000190002001.tif	/asm0037/image/76.jpg
Wax Museum				Promotional flier advertising the former Wax Museum in Miami. It was built in the 1960s and closed in 1984.		Miami Wax Museum	Advertising fliers	Miami Wax Museum			Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000019	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/73	73	77.cpd		/asm0037/image/77.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000035						asm00370000350001001	image/tiff	448.078 KB	680	768	0xAF0572FE	RGB	24 bit depth	600 dpi	asm00370000350001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/74	74	78.jpg	Volume4\asm00370000350001001.tif	/asm0037/image/78.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000035						asm00370000350002001	image/tiff	402.743 KB	680	768	0x26401520	RGB	24 bit depth	600 dpi	asm00370000350002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/75	75	79.jpg	Volume4\asm00370000350002001.tif	/asm0037/image/79.jpg
Sightseeing boat Nikko II cruising the tropic waters of Biscayne Bay				Promotional flier advertising the sightseeing boat Nikko II and Greyhound Lines.		Cruise ships; Sightseeing business; Greyhound Lines	Advertising fliers				Florida; Miami-Dade County (Florida);  Biscayne Bay (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000035	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/76	76	80.cpd		/asm0037/image/80.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000029						asm00370000290001001	image/tiff	431.86 KB	1022	580	0x680D4752	RGB	24 bit depth	600 dpi	asm00370000290001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/77	77	81.jpg	Volume4\asm00370000290001001.tif	/asm0037/image/81.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000029						asm00370000290002001	image/tiff	301.862 KB	1023	578	0x3E67E5AE	RGB	24 bit depth	600 dpi	asm00370000290002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/78	78	82.jpg	Volume4\asm00370000290002001.tif	/asm0037/image/82.jpg
Fabulous Vizcaya in Miami: house and gardens of the late James Deering		Hoit, Richard B.	City of Miami News Bureau	Promotional flier advertising Vizcaya Museum and Gardens in Miami.		Deering, James, d. 1925 -- Homes and haunts; Vizcaya Museum and Gardens (Miami, Florida); Tourist attractions	Advertising fliers	Vizcaya Museum and Gardens (Miami, Florida)			Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000029	Text						image/tiff										2012-05-31	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/79	79	83.cpd		/asm0037/image/83.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000010						asm00370000100001001	image/tiff	694.387 KB	1022	767	0xCA41E874	RGB	24 bit depth	600 dpi	asm00370000100001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/80	80	84.jpg	Volume4\asm00370000100001001.tif	/asm0037/image/84.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000010						asm00370000100002001	image/tiff	692.735 KB	1021	768	0xD4400645	RGB	24 bit depth	600 dpi	asm00370000100002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/81	81	85.jpg	Volume4\asm00370000100002001.tif	/asm0037/image/85.jpg
Miami's Musa Isle, Florida's finest Seminole Indian Village		Musa Isle Indian Village		Promotional flyer for Musa Isle Indian Village, which was once a tourist attraction.		Musa Isle Indian Village; Seminole Indians; Tourist attractions	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000010	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/82	82	86.cpd		/asm0037/image/86.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000039						asm00370000390001001	image/tiff	469.352 KB	992	768	0xFECB9367	RGB	24 bit depth	600 dpi	asm00370000390001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/83	83	87.jpg	Volume4\asm00370000390001001.tif	/asm0037/image/87.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000039						asm00370000390002001	image/tiff	490.836 KB	1000	768	0x32BB0673	RGB	24 bit depth	600 dpi	asm00370000390002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/84	84	88.jpg	Volume4\asm00370000390002001.tif	/asm0037/image/88.jpg
The Miami Rare Bird Farm Inc.			Hollums, Ellis	Promotional flier advertising the Rare Bird Farm, a working breeding farm as well as tourist attraction, which was located south of Miami on US 1 at Kendall Drive (88th Street).		Rare Bird Farm (Miami, Florida); Tourist attractions; Wildlife-related recreation	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000039	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/85	85	89.cpd		/asm0037/image/89.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000007						asm00370000070001001	image/tiff	242.628 KB	679	768	0xD078C535	RGB	24 bit depth	600 dpi	asm00370000070001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/86	86	90.jpg	Volume4\asm00370000070001001.tif	/asm0037/image/90.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000007						asm00370000070002001	image/tiff	281.223 KB	679	768	0x4C68269A	RGB	24 bit depth	600 dpi	asm00370000070002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/87	87	91.jpg	Volume4\asm00370000070002001.tif	/asm0037/image/91.jpg
Fairchild Tropical Garden				Promotional flyer for Fairchild Tropical Botanic Garden, Coral Gables, which opened in 1938.		Fairchild Tropical Botanic Garden	Advertising fliers	Fairchild Tropical Garden			Florida; Miami-Dade County (Florida); Coral Gables (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000007	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/88	88	92.cpd		/asm0037/image/92.cpd
Air guide for Miami, Florida		Miami (Florida) Bureau of Surveys		This air guide includes tourist attractions as well as landing sites.		Tourist attractions; City promotion; Airways -- maps	Air-pilot guides; Maps		1930	1930-1940	Florida; Miami-Dade County (Florida); Miami (Florida)	1 b&w map	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00370000110001001	image/tiff	314.245 KB	587	768	0x15C1778	RGB	24 bit depth	600 dpi	asm00370000110001001.tif		2008-06-03	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/89	89	4.jpg	Volume4\asm00370000110001001.tif	/asm0037/image/4.jpg
Seven Seas Dreamboat				Promotional flier advertising the sightseeing boat Seven Seas Dreamboat.		Sightseeing business; Cruise ships	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00370000310001001	image/tiff	226.05 KB	345	768	0xE686238	RGB	24 bit depth	600 dpi	asm00370000310001001.tif		2008-06-03	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/90	90	5.jpg	Volume4\asm00370000310001001.tif	/asm0037/image/5.jpg
Yacht Seminole Queen				Promotional flier advertising the sightseeing yacht Seminole Queen, which took tourists to the Musa Isle Seminole Indian Village on the Miami River.		Yacht Seminole Queen (Boat); Sightseeing business; Cruise ships	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00370000320001001	image/tiff	231.536 KB	345	768	0xD1989B38	RGB	24 bit depth	600 dpi	asm00370000320001001.tif		2008-06-03	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/91	91	6.jpg	Volume4\asm00370000320001001.tif	/asm0037/image/6.jpg
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000042						asm00370000420001001	image/tiff	72149.749 KB	8516	4953	0xFEB49924	RGB	24 bit depth	600 dpi	asm00370000420001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/97	97	98.jp2	Volume5\asm00370000420001001.tif	/asm0037/image/98.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000042						asm00370000420002001	image/tiff	60241.656 KB	8476	4953	0xF59EBAAB	RGB	24 bit depth	600 dpi	asm00370000420002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/98	98	99.jp2	Volume5\asm00370000420002001.tif	/asm0037/image/99.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000042						asm00370000420003001	image/tiff	63028.647 KB	8476	4953	0xEDFAB93D	RGB	24 bit depth	600 dpi	asm00370000420003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/99	99	100.jp2	Volume5\asm00370000420003001.tif	/asm0037/image/100.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000042						asm00370000420004001	image/tiff	66930.292 KB	8536	4993	0x73EA6083	RGB	24 bit depth	600 dpi	asm00370000420004001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/100	100	101.jp2	Volume5\asm00370000420004001.tif	/asm0037/image/101.jp2
Miami Beach				Promotional flier advertising the charms of Miami Beach.		City promotion; Tourism	Advertising fliers	Miami Beach (Florida)			Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami-Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000042	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/101	101	102.cpd		/asm0037/image/102.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000034						asm00370000340001001	image/tiff	15784.745 KB	2384	5434	0x99E8B736	RGB	24 bit depth	600 dpi	asm00370000340001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/102	102	103.jp2	Volume5\asm00370000340001001.tif	/asm0037/image/103.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000034						asm00370000340002001	image/tiff	15978.182 KB	2384	5414	0xF5A962DF	RGB	24 bit depth	600 dpi	asm00370000340002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/103	103	104.jp2	Volume5\asm00370000340002001.tif	/asm0037/image/104.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000034						asm00370000340003001	image/tiff	16197.668 KB	2384	5414	0xEB22973B	RGB	24 bit depth	600 dpi	asm00370000340003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/104	104	105.jp2	Volume5\asm00370000340003001.tif	/asm0037/image/105.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000034						asm00370000340004001	image/tiff	16563.816 KB	2424	5414	0x5BCDC80C	RGB	24 bit depth	600 dpi	asm00370000340004001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/105	105	106.jp2	Volume5\asm00370000340004001.tif	/asm0037/image/106.jp2
Facts about Miami Beach, Florida				A brief collection of trivia to introduce the visitor to the city of Miami Beach.		City promotion; Tourism	Books; Advertising fliers	Miami Beach Chamber of Commerce			Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000034	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/106	106	107.cpd		/asm0037/image/107.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000014						asm00370000140001001	image/tiff	34212.149 KB	4789	5635	0xA7671EC1	RGB	24 bit depth	600 dpi	asm00370000140001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/107	107	108.jp2	Volume5\asm00370000140001001.tif	/asm0037/image/108.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000014						asm00370000140002001	image/tiff	79007.993 KB	9598	5695	0xAB1587E1	RGB	24 bit depth	600 dpi	asm00370000140002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/108	108	109.jp2	Volume5\asm00370000140002001.tif	/asm0037/image/109.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000014						asm00370000140003001	image/tiff	17167.396 KB	4829	5715	0x36B5A6D7	RGB	24 bit depth	600 dpi	asm00370000140003001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/109	109	110.jp2	Volume5\asm00370000140003001.tif	/asm0037/image/110.jp2
Hotel Everglades, Miami, Florida				Advertising brochure for the Everglades Hotel in Miami. This 16-story hotel, at 244 Biscayne Boulevard, was built in 1926.		Everglades Hotel (Miami, Florida); Hotels	Advertising fliers				Florida. Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000014	Text						image/tiff										2012-05-31	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/110	110	111.cpd		/asm0037/image/111.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000020						asm00370000200001001	image/tiff	73097.272 KB	9538	5454	0xD851420B	RGB	24 bit depth	600 dpi	asm00370000200001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/111	111	112.jp2	Volume5\asm00370000200001001.tif	/asm0037/image/112.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000020						asm00370000200002001	image/tiff	75492.905 KB	9518	5454	0xCCEDA323	RGB	24 bit depth	600 dpi	asm00370000200002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/112	112	113.jp2	Volume5\asm00370000200002001.tif	/asm0037/image/113.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000020						asm00370000200003001	image/tiff	92932.352 KB	9518	5454	0xFFFCB3CE	RGB	24 bit depth	600 dpi	asm00370000200003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/113	113	114.jp2	Volume5\asm00370000200003001.tif	/asm0037/image/114.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000020						asm00370000200004001	image/tiff	66719.622 KB	9538	5454	0x8F000A35	RGB	24 bit depth	600 dpi	asm00370000200004001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/114	114	115.jp2	Volume5\asm00370000200004001.tif	/asm0037/image/115.jp2
Miami: it's so much nearer than you think!						Outdoor recreation; City promotion; Tourism	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000020	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/115	115	116.cpd		/asm0037/image/116.cpd
