Title	Translated Title	Variant Title	Uniform Title	Creator	Contributor	Summary	Note	Subject	Genre	Publisher	Date	Time Period	Geographic Subject	Geo Point	Geo Box	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	IBISWEB Link	Call No.	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Full Text	Type	Format	Date Digital	Original Source	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
14th Annual City of Miami International Festival						Invitation card from the City of Miami to the 14th International Festival, held 1985 at the Coconut Grove Exhibition Center.		Invitation cards; Festivals	Announcements; Invitations		1985	1980-1990	Florida; Miami-Dade County (Florida); Miami (Florida); Coconut Grove (Miami, Florida)						University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 6; Folder Title: Miami (5).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000115		asm0250_2		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/447	447	448.cpd	/pamphlets/supp/447/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000117	asm02500001170001001		Only Boat Stopping at  Musa Isle Indian  Village  Home of the Seminoles  Only Boat Stopping at  Musa Isle Indian  Village  Home of the Seminoles  I.S&*1  ^0Vfn  MEMBER  MIAMI  CHAMBER OF COMMERCE  6 °fi° LI  Phone  3-2217  P\fc*  OO^  ^:V^  to\e  Oe  c*  Phone  MEMBER  MIAMI CHAMBER OF COMMERCE  3-2217  l°ff' LiH€S 		image/tiff						81007266 Bytes	4882	5531	1722787188	RGB	8	600	asm02500001170001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/448	448	449.jp2	/pamphlets/image/449.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000117	asm02500001170002001		SIGHTSEEING • MIAMI  RIVER  Miami's Premier Cruise  Personally Conducted  %ii  ENTIRE   TRIP   CLOSE   TO   SHORE  •    Bring     Your     Cameras    •  Introductory  To make your sightseeing trip about Miami delightful and thoroughly comfortable, to visit and see all of  the interesting places as well as the representative  section of the city, insist upon the Yachts "Seminole  Queen" I and II.   Glass enclosed.  If your stay is of short duration, this is the only and  logical way to study and see this wonderful, gay, and  captivating city. You have no conception of the beauty  and marvelous scenery until you have made a circuit of  the Magic City aboard the "Seminole Queen" via the  Miami River and Inland Waterways. You can gain a  comprehensive idea of this great trip only by utilizing  the "Seminole Scenic Route," which will enable you to  visualize clearly the attractions of Miami and its environments.  Leaving the City Yacht Basin, we enter beautiful Bay  Biscayne. Cruising south along the shore of Bayfront  Park, we view Miami's magnificent skyline.  As we continue up the Miami River, a Venice-like  waterway, we pass and view many palatial yachts and  houseboats lining the shores. Mammoth cranes and  bridges can be seen in operation. This trip is close to  shore, picturesque, interesting and educational.  Our trip now takes us up the north fork of the Miami  River, a few miles out of the large and pulsing city, to  Musa Isle. The "Seminole Queen" is the only boat  stopping at this point. We dock, alight and relax. Here  we visit the Indian Curio Shop, Alligator Farm, Museum,  Exotic Gardens, etc.  ALLIGATOR  Seminole Scenic Route  The Trip with an Attraction  A Partial List of Points of Interest  BISCAYNE BAY  BAYFRONT PARK  BAND SHELL  MIAMI SKY LINE  MIAMI RIVER  BRICKELL POINT  FORT DALLAS SECTION  DRAW BRIDGES  COUNTY COURT HOUSE  FISHING DOCKS  BOAT LIVERIES  INDUSTRIES  FORT DALLAS  LUMMUS PARK  SCOTTISH RITE TEMPLE  SALEM INN  SEYBOLD CANAL  SNUG HARBOR  U.S.  NAVAL  STATION  SHIP YARDS  MIAMI  COUNTRY  CLUB  RESIDENTIAL SECTION  DURHAM PARK  tLAWRENCE PARK  SOUTH FORK MIAMI  RIVER  YACHT STORAGE  HOUSE BOATS  RIVER BARGES  TUG BOATS  PRIVATE YACHTS  JUST CANAL  NORTH FORK MIAMI  RIVER  MUSA ISLE  .8  2  a  H  W  o  INDIAN VILLAGE  ALLIGATOR FARM  ZOO — MUSEUM  TROPICAL GARDENS  RARE PLANTS—TREES  BAMBOO — PALMS  ALLIGATOR WRESTLING  TROPICAL BIRDS  MONKEYS  ^TRADING POST  TOTAL ADMISSION to MUSA ISLE  Sixty Cents  NO OTHER ADMISSIONS OR EXTRA CHARGES  Alligator Wrestling Each Trip  Large De Luxe Double Deck Boats  GLASS ENCLOSED — DIESEL POWER  Rest  Rooms       •       Refreshments  Government Inspected—Marine Insurance  For Reservations See Your Hotel Clerk or    4%   AA|rt  Travel Agent, or Phone Main Ticket Office    O-/•«**  THREE TRIPS DAILY AND SUNDAY  DEPARTS 10:30 A.M.  2:00 P. M. and 3:30 P. M.  NOTICE—During Sept., Oct., Nov.  ONE TRIP DAILY AND SUNDAY ^  DEPARTS 2:00 P. M.     \JmJ  TWO AND ONE-HALF HOUR CRUISE  RATE: Round Trip—$2.00 Plus Federal Tax  Schedule and rates subject to change without notice     j  WRESTLING 		image/tiff						81007266 Bytes	4882	5531	2575431023	RGB	8	600	asm02500001170002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/449	449	450.jp2	/pamphlets/image/450.jp2
Jungle Cruise: only boat stopping at Musa Isle Indian Village, home of the Seminoles						Promotional flier for a "jungle cruise" aboard the sightseeing boat the Seminole Queen.		Sightseeing business; Boats and boating; Musa Isle Indian Village; Tourist attractions	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 6; Folder Title: Miami (6).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000117		asm0250_2		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/450	450	451.cpd	/pamphlets/supp/450/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000114	asm02500001140001001		Sriterriatlanal&e&tlaal  (£ar&& and (rUereatlan; Q)efet&gt;. Qjirector (oarl^em  festival\fta^  &cecutoh& Q)irector  &char&lt;/uiator  tfladl Q$a//e&ter-  &lt;S/itertamment&gt; Q)trector  SFredGrt/onezs  ^/(&&c&tanl&gt; Q)erector  Q)eai&& &errar&lt;&gt;ri&  Office Jltfasiayer  festival(j(&gt;mmitte& (jkairhtrwm  tflafoA ($a]mer, ^/iternatumal Q)(muriae& ^aurfiamesi//  &Ior€sice&gt; (jAaxist^A/, J/atioes (jo&tum& &lt;SAou&gt;~  &lt;S//esi/ ffleic/ts, ^rUerYiatiariulQ)a/l\f/iauh  ^aann& fflcui& ffloJsAou&er^, Stores &e//isi(f ^rc^ramy  ^Adefa&a/ Jfflartisiez/, (S/itertammesit? (n&mu£mesit&gt;  Jkfcmtys Cramer, ^/itesviational (iBa/l (j/icurmasi/  (oe/uz/ tftasrurexs,   (&iracJ& ffieeruitmeal/  @ar&lt;d& ^/(sivv ^ay/or-, ^aod &lt;Sc bazaar GBovtA& (jAcurman'  Wi/fawv G&i/l\ftirnfe,   &lt;Sarac/& AtarsAa/l  Juv o/iiHtatlafvfiHmv.  The  0  INTERNATIONAL  FESTIVAL 		image/tiff						105947160 Bytes	6714	5260	159863316	RGB	8	600	asm02500001140001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/451	451	452.jp2	/pamphlets/image/452.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000114	asm02500001140002001		fr  &h& Jf^ianti &lt;!^nternati&lt;mal ^estiind  i& presented t^ tA&  ytdw&orif (oommitte&  Miami (jity vonim/ssion/  cor&lt;dia//us tmHte&j^au/ to- attend tA&  fflari/. Jftfmiric& ^erre/  Jf2ayor-  9&*s. ffiv (jcuviio-       9&k. ^. jfi hammer-  Jliiami/ £?nterfixi^^  &lt;Mc& Mayor                                             (Dommis&ioner  (Dommis&ioner                                            (Dommis&ioner  masztjuiet/ and  Sfcd/l/ JfiltAtO &lt;S/lOUh  • • •  Saturday &lt;S(^esiisi(f, Jfficuf //, Ity&S  fflarwv (jaroJ/ch  Qmsw Sriterfia/mrialfflatel, Jfct/aml  ffl&norartf (jAairjber&on  Jl^fiti^ Cramer-  (jAairman  • • •  Jdu&io Ih^  S40.00 per-Jber&on                                ^lec^tion 7.00 J^.rw.  (&a&A&lt;SBar)  (^w^Am^^                     ^ten& &ouzet  9b.&lt;S&&lt;£.                                         $anauet&gt;&.00 fr.nv.  andAi&  @)res&: jVatio& (o(Mtum& or Semi-&ormal)  &lt;!^riterfiati&fi^  (^7cAet& Cty reservation on/y (£rion& 6Wf-22c?3  no- ticAet sa/e& at door)  •7 -t-7  (^FMU^) 		image/tiff						105947160 Bytes	6714	5260	839587121	RGB	8	600	asm02500001140002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/452	452	453.jp2	/pamphlets/image/453.jp2
Invitation from the City of Miami: International Festival						Invitation card from the City of Miami International Festival Advisory Committee to the Miami International Festival, Banquet and Folk Music Show, held 1985 at the Omni International Hotel.		Festivals	Announcements; Invitations	City of Miami International Festival Advisory Committee	1985	1980-1990	Florida; Miami-Dade County (Florida); Miami (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 6; Folder Title: Miami (5).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000114		asm0250_2		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/453	453	454.cpd	/pamphlets/supp/453/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000118	asm02500001180001001		ere hunjanf'dre&lt;aged  \deysrun pitf*  Bebas Sumatran Orangutan  wtmmmmmmmm  Gentle Giant King 		image/tiff						42264384 Bytes	2568	5486	2174695302	RGB	8	600	asm02500001180001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/454	454	455.jp2	/pamphlets/image/455.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000118	asm02500001180002001		■  Browse in our unique gift shop  THEATRE OF THE SEA,  CONCH TOUR TRAIN,  "   KEY WEST  The visitor to Monkey Jungle can  escape in the fascinating and lively  world of primates exhibited in their  own jungle environment. North  America has no native monkeys, but  in our natural South Florida  hammock there live over 500  primates, most running free in a 20  acre reserve. Since its conception in  1933, Monkey Jungle's philosophy  that animals should be displayed in  natural habitats, has been widely  and avidly accepted by many  zoological institutions nationwide.  Our vast collection includes  monkeys and apes from Asia,  Europe, South America, and Africa.  It is now one of the few protected  habitats for endangered primate  species in the U.S.  From the protection of caged  walkways, visitors can walk with  perfect safety into the heart of the  monkey's domain. Members of the  Java monkey colony immediately  welcome the visitor entering our  jungle. The Java monkey is a skillful  skin diver in the wilds of its native  coastal home, Malaysia, and  scheduled feedings at Monkey  Jungle show off these underwater  talents as monkeys dive into their  pool for special foods.  Monkey Jungle also features a  beautiful five acre Amazonian  Rainforest to display some of South  America's primates. The hundreds of  trees, ferns, and palms were hand  collected and brought back to South  florida so that a perfect jungle  recreation could be realized as the  home of many colorful and  intriguing primate species.  Scheduled shows in this section  lure these monkeys from the depths  of the jungle so that visitors may  observe and photograph them  close-up.  LOCATION: 14805 S.W. 216th St.  Miami, Fl. 33170, via US 1 or Turnpike 821 So.  Ticket Office hours: 9:30 AM - 5:00 PM  Group rate available upon request  Further Information: 235-1611 		image/tiff						42627489 Bytes	2583	5501	2482506664	RGB	8	600	asm02500001180002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/455	455	456.jp2	/pamphlets/image/456.jp2
Monkey Jungle						Promotional flier for the Monkey Jungle.		Monkey Jungle (Miami, Florida); Tourist attractions; Wildlife-related recreation	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 6; Folder Title: Miami (7).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000118		asm0250_2		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/456	456	457.cpd	/pamphlets/supp/456/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000123	asm02500001230001001		A.W.O.L&gt;  SWIM—In the exhilarating surf at the world's most famous beach  or plunge in sea'filled pools at ocean'side casinos.  GOLF—On   any   of   eleven   palnvfringed   courses,   down   fairways  where champions have trod, on greens as smooth as velvet.  TENNIS—On   your   choice   of   fifty   courts,   under   smiling   skies  which invite brilliant play.  RIDE—On gaited horses in the bracing air of early morn, along  bridle paths bordered with flowers, palms and pines.  MOTOR—On paved highways which bring new vistas of tropic  wonder at every turn, beside seas of iridescent hues.  SAIL—On the sparkling waters of Biscayne Bay in the southeast  trades which once filled the canvas of Spanish treasure galleons.  FISH—In  the  Gulf  Stream,  two  miles  offshore,  alive  with  600  varieties of game fish waiting to test your skill.  SPEED—In trim craft that churn rainbows aft and fill your lungs  with a cocktail of salty tang, dashed with an unforgettable thrill.  d o' Palms  SHOOT—At  flying  clays  from  skeet and  straight traps,  or join  target teams on the rifle and pistol range.  SEE—Hialeah   Park,   the   world's   most   beautiful   shrine   to   the  thoroughbred, gay with exotic flowers and tropic verdure.  VISIT—The three greyhound race tracks in greater Miami. "Going  to the dogs" is an increasingly popular wintertime diversion.  STOP—At   the   nineteenth   hole   for   something   tall   and   cold.  There'll be one on every corner and coconut milk is plentiful.  DANCE—To the tunes of gay orchestras under the southern moon.  Miami's Casinos and Cabarets are unsurpassed.  PAUSE—For a quiet moment, drink in the warm beauty of the  tropics, escape from the cares you left behind.  REMEMBER—Miss Miami is waiting for you.  Your pals will be  at her party. They'll miss you if you fail to heed the call.  TAKE—Home a coat of tan, a coconut, a new stock of stories and  vivid memories of the best time you'll ever hope to have.  970.  Miami American Legion.     ON  1 leaf, fold, to 16 x Ilk cm.  TO MIAMI!  OCT.   22,   23,   24,  and  25,   1934.    [Miami: 1934]  Promotiis "the biggest and best^Leeion convention ever^stageq.   **.  onto  Miami/, 		image/tiff						124884424 Bytes	11000	3784	822333744	RGB	8	600	asm02500001230001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/457	457	458.jp2	/pamphlets/image/458.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000123	asm02500001230002001		A Rendezvous with the Nation's Hostess  Miami, the nation's hostess, world renowned for her hospitality, recreational facilities and tropic beauty, invites you to  the most elaborate party she has ever planned.  For several months industrious committees have been at work  arranging details for the biggest and best Legion convention  ever staged. Everything is in readiness and you may safely  anticipate the most thrilling and pleasurable event of a lifetime.  In addition to the gayer pleasures of whoopee and wassail  there will be football, baseball, bathing beauty contests, polo,  boating, sailing and speed boat regattas, wrestling, boxing and  hunting, as well as golf, tennis, fishing, archery, trap shooting  and bowling tournaments, for which attractive cash prizes and  trophies have been provided.  MIAMI   -   City  of  Palms  crlVhere the Coconuts Grow9  Miami is located down among the palms on the eastern sea-  coast at the southernmost tip of the Florida peninsula. It is  the metropolis of the only continental tropics in North  America.  To the east is the mysterious Gulf Stream, skirting endless  miles of glistening beach. To the west are the Everglades,  America's last frontier, home of the Seminole Indian, the ibis,  the heron and the alligator. To the north is ^ vast land where  people grow weary of work and wintry blasts and long to  play in the land of eternal springtime. To the south extend  air and sea lanes to Havana, Panama, Rio and Romance.  Miami is truly a city of magic; a magic that lures like the  lotus blossom but gives youth and health and vitality to her  worshipers. Many have said "it's Worth a war to have a rendezvous with this queen of the southern seas."  Whether you come by plane, train, ship, bus or Hispana-Fliv-  ver, you will find the trip a short and interesting prelude to  the pleasures which await you here. Transportation costs, as  your local ticket agent will tell you, have been cut in half.  Upon arrival you will find 350 hotels and more than 1500  apartment buildings prepared for your comfort and convenience. The highest price a Legionnaire can pay, two in a  room, is $3.50 per day. That room will overlook beautiful  Biscayne Bay or the Atlantic Ocean. Other rooms, with vistas  of palms, waterways and tropical foliage, range downward  to 75c.  Eood is good and meals the price you pay at home. Refreshments are the best in the United States, bar none, and even  moie reasonable.  Jor additional information write THE AMERICAN LEGION 1934 CONVENTION CORP., P. O. BOX 1270, MIAMI, FLORIDA  A Continuous Round of Unalloyed Pleasure  Don't miss Miami's party. It will be a continuous round of  unalloyed and everlasting joy.  Remember the dates—October 22, 23, 24 and 25. Come early  ahead of the crowd, and plan to stay for a post-convention  visit.  Be sure and bring the Missus. The Auxiliary is having its  convention too, with an elaborate program arranged. Bring  your summer togs, bathing suit, golf clubs, tennis racquet, and  other sports equipment. Leave your fishing tackle at home.  It would be ineffectual against our deep sea fighters and besides, the charter boats, about 300 of them, provide all necessary equipment. Practically all sports facilities will be free to  registered Legionnaires.  Printed in the U.S.A. 		image/tiff						124024644 Bytes	11000	3758	3508238874	RGB	8	600	asm02500001230002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/458	458	459.jp2	/pamphlets/image/459.jp2
Page 3																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000123	asm02500001230003001		for.; Ay^7 ^ &lt;^Wx/ &lt;§***     //*//f7 		image/tiff						249230680 Bytes	11000	7552	2390249777	RGB	8	600	asm02500001230003001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/459	459	460.jp2	/pamphlets/image/460.jp2
American Legion: On to Miami! Oct. 22, 23, 24, and 25, 1934						Promotional flier inviting American Legion members to visit Miami and enjoy its charms in 1934.		Tourist attractions	Advertising fliers		1934-10-22	1930-1940	Florida; Miami-Dade County (Florida); Miami (Florida)						University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 6; Folder Title: Miami (7).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000123		asm0250_2		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/460	460	461.cpd	/pamphlets/supp/460/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000098	asm02500000980001001		GREATER MIAMI'S  !€§&&gt;  k^vft*  .-«v;' V ;  , W^'  f-ZPVfk9- 		image/tiff						41068204 Bytes	2511	5450	860543242	RGB	8	600	asm02500000980001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/461	461	462.jp2	/pamphlets/image/462.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000098	asm02500000980002001		N     T     R     O     D     U     C  O     N  T7  i rom the oldest building  in America to the nation's  mMLmm      youngest National Register  District, Dade County has a wealth of treasured  historic places. Miami is a relatively young city  incorporated when the railroad came to town in 1896.  The ensuing boom brought developers and  architects, with their dreams and ideas from other  areas, to the Magic City Native materials and tropical themes were used to accent buildings, from  pioneer homes to Art Deco apartments and hotels.  Swamplands were turned into subdivisions,  pineland forests became pioneer homesteads and  hardwood hammocks became high-rise condominiums. Where once there was wilderness now  stands metropolis. Welcome to Greater Miami.  The locations of these noted Greater Miami Historical Places are  arranged in geographical order beginning with number 1 in North  Dade and proceeding south to number 42 in Florida City.  © Spanish Monastery*  © Sunny Isles Pier  © Greynolds Park  0 Arch Creek Park*  © Opa-locka Thematic Resource*  © Hialeah Race Track*  © Miami Springs*  ©Villa Paula  ® Morningside Historic District  © The Alamo*  @ Art Deco District*  © Trinity Episcopal Cathedral*  @ Chapman House  @ Freedom Tower*  © U.S. Post Office & Courthouse  @ Gusman Center*  © DuPont Building  © Ingraham Building  © Dade County Courthouse  © Flagler Workman's Cottage  © Lummus Park District  © Warner Place*  © Dr. Jackson's Office*  @ Vizcaya*  © Miami City Hall  @ The Barnacle*  © Charles Avenue  © Plymouth Congregational Church*  © Coral Gables City Hall*  © Coral Gables House*  © Biltmore Hotel*  @ Venetian Pool*  © Douglas Entrance*  © Cape Florida Lighthouse*  © Amster Block  © Charles Deering Estate*  © Gold Coast Railroad Museum*  © Anderson's Corner*  © Coral Castle*  © Redland Historic District  © Homestead City Hail  © Florida Pioneer Museum*  ""Indicates listingon the  National Register of Historic Places. 		image/tiff						81189728 Bytes	5008	5403	1629763467	RGB	8	600	asm02500000980002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/462	462	463.jp2	/pamphlets/image/463.jp2
Page 3																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000098	asm02500000980003001		Spanish Monastery  1141  Built for the Monastery of St.  Bernard in Sacremenia, Spain, it  was dismantled and shipped to the  US. in 1925 by newspaper publisher William Randolph Hearst,  who planned to use them for a  chapel on his San Simeon California Estate. After more than twenty  years in the warehouse, the stones  were bought and moved to North  Miami Beach and reassembled in  1952. NR 16711 West Dixie Highway, North Miami. (945-1462)  Sunny Isles Pier  1936  Built as a tourist attraction for the  new Sunny Isles development, the  pier measured over 1,000 feet in  length until 1947 when a hurricane  removed the outer portion. Recently  restored after years of neglect,  the pier is now open to visitors and  for fishing. 16701 Collins Avenue,  Sunny Isles. (949-1300)  Greynolds Park  1936  This first county park was formerly  trie locationfor the Ojus Rock Company. The area was landscaped and  it now offers nature trails, picnic  areas and boat rentals. One of the  finest projects built by the Civilian  Conservation Corps in South Florida, this park features many structures built from the coral rock found  on location. The large dirt mound  covers abandoned mining machinery.  17500 West Dixie Highway, North  Miami. (945-3425)  NATURE  SnTwisB*"**.'  Arch Creek Park  Namecjfor the limestone bridge  whkh formed a natural arch over  this North Miami creek (the bridge  has been rebuilt), this county park  also has a nature trail and interpretive center displaying archeological  artifacts discovered here. NR 1855  NF 135th Street, North Miami.  (944-6111)  NR Indicates listing on the  National Register of Historic Places. 		image/tiff						77236888 Bytes	4765	5402	2288798086	RGB	8	600	asm02500000980003001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/463	463	464.jp2	/pamphlets/image/464.jp2
Page 4																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000098	asm02500000980004001		Opa-locka  Thematic Resource  1926  The Opa-locka City Hall dominates the skyline of this city's downtown area, which also features the  Arabian Nights-styled Train Station, hotel and former bank building. Domes, minarets, horseshoe  arches and handpainted tiles adorn  the architecture. Moorish. NR  NWofNW27th Avenue & 135th  Street, Opa-locka.  Villa Paula  1927  Built for the Cuban Consulate by the  Cuban Government which hired  a Havana architect to design the  buildingand imported the materials  from Cuba to construct it, Villa  Paula is now in use as a medical  office. Cuban, Neoclassical.  5811 North Miami Avenue.  Miami Springs  1926  Built in the 1920s by aviation  pioneer/developer Glenn Curtiss,  this city was created in the Pueblo  style. Thefiviest remaining examples  include Fair Havens, a retirement  home located at 201 Curtiss Parkway and the former home of Glenn  Curtiss at 500 Deer Run. Pueblo  Revival NR This area is listed in  the National Register as "Country  Club Estates Thematic Group"  Hialeah Race Track  1932  Originally constructed in 1925 for  dog races, jai-alai and an amusement  park, the entire lushly-landscaped  complex was rebuilt in 1932 for  horse racingas a tourist attraction.  French Mediterranean Revival.  NR 2100 East 4th Avenue, Hialeah.  Morningside  Historic District  1925  This collection of fine Mediterranean Revival and Art Deco homes  was built as an early suburb of  Miami. Some of the larger estates  are on the bayfront. Mediterranean  Revival. 55th to 60th Streets; Fast  of Biscayne Boulevard. (758-0940)  The Alamo  1915  The first building of the City of  Miami Hospital, it has become a  visitor information center. It is now  surrounded by the towers of Jackson  Memorial Hospital, named for Dr.  James M.Jackson, the city's first doctor. Spanish Colonial Revival. NR  1611 NW 12th Avenue. (325-7429) 		image/tiff						78708928 Bytes	4813	5450	994118100	RGB	8	600	asm02500000980004001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/464	464	465.jp2	/pamphlets/image/465.jp2
Page 5																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000098	asm02500000980005001		Trinity Episcopal Cathedral  1924  Home of the oldest congregation in  Miami, founded by Julia Tuttle, it is  the present seat of the South Florida  Episcopal Archdiocese. A beautiful  rose window, stained glass and pipe  organ are but a few of the fine  details which can be found here.  Neo-Romanesque. NR 464 NE  16th Street. (374-3372)  im  Art Deco District  This one-mile-square National  Register historic district features  some 800 buildings from the 1920s  and 1930s. Ocean Drive, which  faces the Atlantic Ocean, features  a string of streamlined hotels with  porch cafes across from the beach.  Art Deco, Streamline Moderne.  NR Miami Beach, 6th to 23rd  Street. (672-2014)  Freedom Tower  1925  Built during the boom years for the  Miami News as a replica of the  Giralda Tower in Spain, it was used  in 1962 as the Cuban Refugee  Emergency Center and was nicknamed the "Freedom Tower."  Spanish Mediterranean Revival.  NR 600 Biscayne Boulevard.  i  m  m  Lr  nt f '- ■  i  if*  0 &gt;n  ^ * ft  '/r  p. %  /  Gusman Center  1925  Used today as a performing arts  center, this theatre is faced in brick,  with terra-cotta and wrought-iron  detailing. Originally built for Paramount, the buildingfeatures a dramatic "atmospheric" theatre whose  interior resembles an Italian court  j  yard, complete with twinkling stars  and rolling clouds. Mediterranean  Revival. NR 174 East Flagler Street.  (374-2444)  f  •  '  Chapman House  1923  The former home of Dr. William  Chapman, a black pioneer physician, the building is now owned by  the Black Archives, History and  Research Foundation which plans  to develop it as an Ethnic Heritage  Children's Museum. Masonry  Vernacular. 526 NWBth Street.  (638-5729) 		image/tiff						78969392 Bytes	4829	5450	2733962570	RGB	8	600	asm02500000980005001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/465	465	466.jp2	/pamphlets/image/466.jp2
