Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spaital	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Baseball players from the American colony of La Gloria				Photographic postcard of the baseball players from the American colony of La Gloria in the province of Camagüey, Cuba. Standing, second row far right, is Augustus C. Mayhew owner of the Bee Ranch	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "ACM born 1878. age 31, 2nd row - last right. Baseball players. July 1910 ... [illegible] fellow team. La Gloria American-Cuban baseball team. 1910. Augusts Mayhew, second row, far right, standing"	Mayhew, Augustus C., b. 1879; La Gloria Co.; Bee Ranch (Cuba); Colonists; Baseball; La Gloria (Camagüey, Cuba); Cuba	Group photographs; Photographic postcards;		1910	1910		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000160001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000160001001	image/tiff	310.94 KB	1023	646	0xD4DFD75C	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/68	68	61.jpg	/chc5209/image/61.jpg
Augustus C. Mayhew, Jr., his children, and mother	Colonos norteamericanos en La Gloria, Cuba			From left to right: Augustus C. Mayhew, Jr., holding his son Clarence, daughter, and mother Beulah, at a beach house in Cuba. There is an unidentified man next to a car parked on the right side	Notation on verso: "Piloto La Playa. Beulah, Jack, Clarence, George or Maragatos. Cafe ... [illegible] $5 a day hire a car. Augustus C. Mayhew, Jr. (Jack) son Clarence & mother Beulah, beach house. Piloto. c. 1946]"<br>Stamp (mark) on verso: "178N"	Mayhew, Augustus C., Jr.; Mayhew, Beulah McAbee; Mayhew, Clarence; Colonists; Houses; Cuba	Photographs			1946		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000330001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000330001001	image/tiff	191.912 KB	1022	748	0x9C0A842A	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/69	69	78.jpg	/chc5209/image/78.jpg
American colonists at the entrance of a cave				Photographic postcard of a group of American colonists at the entrance of a cave, in La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "American colonists, La Gloria, c. 1905"	La Gloria Co.; Colonists; Caves; La Gloria (Camagüey, Cuba); Cuba	Group photographs; Photographic postcards		1905	1905		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000180001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000180001001	image/tiff	347.428 KB	1022	644	0xFB7C173B	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/70	70	63.jpg	/chc5209/image/63.jpg
School children and their teacher in front of La Gloria School				Photographic postcard of school children and their teacher in front of La Gloria School in the American colony of La Gloria in the province of Camagüey, Cuba. The top corners of the photograph are missing	Printed on verso: "Post Card ... [illegible]"<br>Notation on verso: "La Gloria school between 1901 and 1903"<br>On recto: "La Gloria School, 1903"	La Gloria Co.; La Gloria School (La Gloria, Cuba); Schools; Colonists; Children; La Gloria (Camagüey, Cuba); Cuba	Group photographs; Photographic postcards;			1901-1903		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000050001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000050001001	image/tiff	337.438 KB	1022	666	0x654072DC	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/71	71	50.jpg	/chc5209/image/50.jpg
American colony of La Gloria				Photographic postcard of the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>On recto: "La Gloria, Cuba 1914"	La Gloria Co.; Colonists; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards		1914	1914		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000290001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000290001001	image/tiff	231.577 KB	1023	670	0x5F2E87BB	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/72	72	74.jpg	/chc5209/image/74.jpg
Sawmill in the American colony of La Gloria				Photographic postcard of the sawmill in the American colony of La Gloria in the province of Camagüey, Cuba. There are men and cattle at the sawmill	Printed on verso: "Post [Card ... etc.]"<br>Notation on verso: "Old sawmill 1902"<br>On recto: "Dad McAbee at sawmill in La Gloria"	La Gloria Co.; Colonists; Woodcutting; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;		1902	1902		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000080001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000080001001	image/tiff	359.663 KB	1023	656	0xB5F64C83	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/73	73	53.jpg	/chc5209/image/53.jpg
Beehive wagon pulled by mules				Photographic postcard of a beehive wagon pulled by mules at the Bee Ranch in the American colony of La Gloria in the province of Camagüey, Cuba. The wagon driver is standing on the wagon	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Beehives mules. Beehives carted by mules, Mayhew's 'Bee Ranch'. La Gloria"	La Gloria Co.; Bee Ranch (Cuba); Colonists; Carts & wagons; Beehives; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000130001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000130001001	image/tiff	352.862 KB	1023	652	0x7EB94AA8	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/74	74	58.jpg	/chc5209/image/58.jpg
Street in Camagüey				Photographic postcard of República Street in Camagüey, Cuba. There are people in the street	Printed on verso: "Post Card ... [etc.]"<br>On recto: "F. V. N° 507. Calle República. Camagüey-Cuba"	Streets; Calle República (Camagüey, Cuba); Camagüey (Cuba : Province); Cuba	Photographs; Photographic postcards			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000410001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000410001001	image/tiff	132.848 KB	505	768	0xF448B7DD	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/75	75	86.jpg	/chc5209/image/86.jpg
Retired railroad engineer Mr. Shoup at the entrance of his house				Photographic postcard of the house of retired railroad engineer Mr. Shoup. He is sitting at the entrance of his house with his dog. The property was located in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Shoup's home, La Gloria. c. 1905]"	Shoup, Mr.; Colonists; Dwellings; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;			1905		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000270001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000270001001	image/tiff	272.79 KB	1023	665	0x98EEDFA4	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/76	76	72.jpg	/chc5209/image/72.jpg
Two beehive wagons pulled by mules				Photographic postcard of two beehive wagons pulled by mules at the Bee Ranch in the American colony of La Gloria in the province of Camagüey, Cuba. There are  wagon drivers seated on top of the wagons	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Beehives. Beehives carted by mules, Mayhew's 'Bee Ranch'. La Gloria"	La Gloria Co.; Bee Ranch (Cuba); Colonists; Carts & wagons; Beehives; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000140001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000140001001	image/tiff	345.352 KB	1023	654	0x525376EC	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/77	77	59.jpg	/chc5209/image/59.jpg
Orange grove and grounds around a dwelling				Photographic postcard of the orange grove and grounds around a dwelling in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "La Gloria, 1914. View of the groves and American settlement"<br>On recto: "La Gloria, Cuba 1914"	La Gloria Co.; Colonists; Orchards; Oranges; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards		1914	1914		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000070001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000070001001	image/tiff	311.908 KB	1022	651	0xA59EC14D	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/78	78	52.jpg	/chc5209/image/52.jpg
Group about to begin a horse race				Photographic postcard of a group about to begin the horse race at the annual fair in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Horse race fair. Horse race at the annual fair, La Gloria"	La Gloria Co.; Colonists; Horse racing; La Gloria (Camagüey, Cuba); Cuba	Group photographs; Photographic postcards;			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000150001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000150001001	image/tiff	315.769 KB	1023	646	0x9F11416E	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/79	79	60.jpg	/chc5209/image/60.jpg
Augustus C. Mayhew with his neighbor				Photographic postcard of Augustus C. Mayhew, right, and his neighbor "Uncle Sam" in front of an orange tree at the Bee Ranch, in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Groups 1902. age 23 - Uncle Sam - old American neighbor of Bee Ranch retired ... [illegible]. 'Uncle Sam', neighbor to 'Bee Ranch' with Augustus C. Mayhew, 1902"	Mayhew, Augustus, b. 1879; La Gloria Co.; Bee Ranch (Cuba); Orange trees; Oranges; Colonists; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards		1902	1902		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000210001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000210001001	image/tiff	227.218 KB	459	768	0xE94A8F89	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/80	80	66.jpg	/chc5209/image/66.jpg
Parade in the American colony of La Gloria				Photographic postcard of a parade in the American colony of La Gloria in the province of Camagüey, Cuba, during a fair	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "La Gloria fair, 1918. American colonists parade"<br>On recto: "Fair 1918"	La Gloria Co.; Colonists; Parades & processions; La Gloria (Camagüey, Cuba); Cuba	Group photographs; Photographic postcards		1918	1918		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000190001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000190001001	image/tiff	371.25 KB	1023	654	0x5FAB15CC	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/81	81	64.jpg	/chc5209/image/64.jpg
Retired railroad engineer Mr. Shoup				Photographic postcard of retired railroad engineer Mr. Shoup with an unidentified woman, and a dog. They are standing in an orange grove at the Bee Ranch, in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Mr. Shoup, retired RR engineer. Panama Canal worked. Next to Bee Ranch"<br>On recto: "The Shoup Grove. ... [illegible]. Jan. 1"	Shoup, Mr.; Bee Ranch (Cuba); Colonists; Orange trees; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000010001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000010001001	image/tiff	483.479 KB	1022	652	0x4DB4A788	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/82	82	46.jpg	/chc5209/image/46.jpg
Town of Nuevitas and its harbor				Photographic postcard of the town of Nuevitas and its harbor in the province of Camagüey, Cuba	Printed on verso: "[Po]st ... [illegible]"<br>Notation on verso: "1st Pan Am seaplane. sugar/molases 35 miles from  La Gloria port. Riley"<br>On recto: "Nuevitas 1912"	Harbors; Nuevitas (Cuba); Camagüey (Cuba : Province); Cuba	Photographs; Cityscapes; Photographic postcards		1912	1912		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000260001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000260001001	image/tiff	339.46 KB	1023	660	0xE36B2F6E	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/83	83	71.jpg	/chc5209/image/71.jpg
Augustus C. Mayhew Jr. with his wife and son				Augustus C. Mayhew Jr. with his wife, Lucille, and their son Clarence in the American colony of La Gloria in the province of Camagüey, Cuba	Notation on verso: "Jack, Lucille, Clarence [?]. Augustus C. Mayhew, Jr. (Jack), wife Lucille and son Clarence, La Gloria, c.1947"	Mayhew, Augustus C., Jr.; Mayhew, Lucille; Mayhew, Clarence; Colonists; Families; La Gloria (Camagüey, Cuba); Cuba	Photographs			1947		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000350001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000350001001	image/tiff	210.567 KB	1022	668	0xC4EF31A9	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/84	84	80.jpg	/chc5209/image/80.jpg
School children and their teacher in front of La Gloria School				Photographic postcard of school children and their teacher in front of La Gloria School in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "La Gloria school between 1901 and 1903"<br>On recto: "La Gloria School 1901"	La Gloria Co.; La Gloria School (La Gloria, Cuba); Schools; Colonists; Children; La Gloria (Camagüey, Cuba); Cuba	Group photographs; Photographic postcards			1901-1903		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000040001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000040001001	image/tiff	328.992 KB	1022	639	0x333632D9	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/85	85	49.jpg	/chc5209/image/49.jpg
Man wearing a hat				View of a man wearing a hat and sweater standing outdoors with three children in the American colony of La Gloria in the province of Camagüey, Cuba		La Gloria Co.; Colonists; Families; La Gloria (Camagüey, Cuba); Cuba	Group photographs			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000370001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000370001001	image/tiff	200.937 KB	1022	693	0x160CFD90	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/86	86	82.jpg	/chc5209/image/82.jpg
Men with rifles conducting a mock battle in La Gloria				Photographic postcard of men with rifles conducting a mock battle in La Gloria in the province of Camagüey, Cuba	Printed on verso: "[Post] Card ... [etc.]"<br>On recto: "-A little scrap with the rebs -. Thorne No. 6"	La Gloria Co.; Colonists; La Gloria (Camagüey, Cuba); Cuba	Group photographs; Photographic postcards;			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000100001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000100001001	image/tiff	345.924 KB	1023	649	0xE7BF0A80	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/87	87	55.jpg	/chc5209/image/55.jpg
Lucille Sanderson Mayhew				Lucille Sanderson Mayhew, right, and Maria, the family cook, holding a carcass in the American colony of La Gloria in the province of Camagüey, Cuba.  Lucille was the wife of Augustus C. Mayhew Jr., son of Augustus C. Mayhew owner of the Bee Ranch in la Gloria	Notation on verso: "Maria & I. 24. On right: Lucille Sanderson Mayhew (wife of Augustus C. Mayhew, Jr.) with Maria, family cook, La Gloria, c. 1946"	Mayhew, Augustus C., Jr.; Mayhew, Lucille Sanderson; La Gloria Co.; Colonists; Cooks; La Gloria (Camagüey, Cuba); Cuba	Photographs		1946	1946		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000240001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000240001001	image/tiff	202.139 KB	1023	682	0xA807723C	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/88	88	69.jpg	/chc5209/image/69.jpg
Titi López				Titi López, housekeeper for the Mayhew family, wearing a dress and a hat, in the American colony of La Gloria in the province of Camagüey, Cuba	Notation on verso: "Titi López. Housekeeper maid. Titi López, Mayhew family housekeeper, La Gloria. c. 1950]"	López, Titi; Colonists; Servants; La Gloria (Camagüey, Cuba); Cuba	Photographs			1950		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000360001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000360001001	image/tiff	165.619 KB	591	768	0xEE6E7459	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/89	89	81.jpg	/chc5209/image/81.jpg
