Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Donor	Container	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 3																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000001						asm04090000010003001	image/tiff	34744.93 KB	5089	6638	0xDA573E2C	RGB	24 bit depth	600 dpi	asm04090000010003001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/43	43	44.jp2	/asm0409/image/44.jp2
Page 4																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000001						asm04090000010004001	image/tiff	34532.271 KB	5089	6638	0xF7073A25	RGB	24 bit depth	600 dpi	asm04090000010004001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/44	44	45.jp2	/asm0409/image/45.jp2
Letter from Ralph M. Munroe to Vincent Gilpin, July 6, 1918		Munroe, Ralph, 1851-1933		This letter, from entrepreneur Ralph Munroe to Vincent Gilpin, a winter resident of Coconut Grove, contains discussion of wartime activity, the Dinner Key Aviation School, and labor shortage. From p. 1: "All that was asked for further than the Jersey Red paint was a proper fly swatter to keep off the eight or ten breeds of [airplanes] that incessantly buzz around..."  From p. 2: "Have received almost positive assurance that the Aviation School will not be maintained after the war so feel better. Would now like to stop the evident graft in the ceaseless dredging going on around Dinner Key. Here we are skimping and paying double & treble prices for everything, and the blasted dredging company getting rich on thieving." From p. 3: "We are in great straits for labor. Camp work seems impossible. Am building chimneys with the help of an old English Boer War soldier. Can get a darky occasionally @ 2.50 per [day] to cut grass. Our boy Ed Bunyon was conscripted and is at Camp Wright, NJ freezing to death. All other labor is now at the new Army Aviation camp just this side of Cutler Hammock where they do as little as possible at highest pay so as to help the contractors earn millions on the percentage basis."	Vincent Gilpin co-authored with Ralph Middleton Munroe the book "The Commodore's Story," an autobiography of boatmaker, photographer and Coconut Grove pioneer Ralph Munroe.	Munroe, Ralph, 1851-1933; Labor supply;Dredging	Correspondence		1918-07-06	1918	Florida. Miami-Dade county. Miami. Dinner Key.	1 handwritten letter			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 1, Folder Title: 1918-1919.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000001	Text					asm0409000001											2008-06-02	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/45	45	46.cpd	/asm0409/image/46.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120001001	image/tiff	22646.196 KB	5122	6613	0x2DE485C	RGB	24 bit depth	600 dpi	asm04090000120001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/46	46	47.jp2	/asm0409/image/47.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120002001	image/tiff	26602.705 KB	5122	6613	0x3E01D29A	RGB	24 bit depth	600 dpi	asm04090000120002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/47	47	48.jp2	/asm0409/image/48.jp2
Page 3																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120003001	image/tiff	26523.766 KB	5122	6613	0xD035B395	RGB	24 bit depth	600 dpi	asm04090000120003001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/48	48	49.jp2	/asm0409/image/49.jp2
Page 4																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120004001	image/tiff	27111.585 KB	5122	6613	0x40BA38F4	RGB	24 bit depth	600 dpi	asm04090000120004001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/49	49	50.jp2	/asm0409/image/50.jp2
Page 5																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120005001	image/tiff	26062.867 KB	5122	6628	0xCDB4E69B	RGB	24 bit depth	600 dpi	asm04090000120005001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/50	50	51.jp2	/asm0409/image/51.jp2
Page 6																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120006001	image/tiff	27172.973 KB	5107	6613	0x67568875	RGB	24 bit depth	600 dpi	asm04090000120006001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/51	51	52.jp2	/asm0409/image/52.jp2
Page 7																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120007001	image/tiff	26456.859 KB	5107	6613	0xFAE1FD4E	RGB	24 bit depth	600 dpi	asm04090000120007001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/52	52	53.jp2	/asm0409/image/53.jp2
Page 8																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120008001	image/tiff	29451.964 KB	5107	6613	0xF92560DB	RGB	24 bit depth	600 dpi	asm04090000120008001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/53	53	54.jp2	/asm0409/image/54.jp2
Page 9																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120009001	image/tiff	27514.036 KB	5107	6613	0x2D3105C1	RGB	24 bit depth	600 dpi	asm04090000120009001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/54	54	55.jp2	/asm0409/image/55.jp2
Page 10																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120010001	image/tiff	26785.792 KB	5107	6613	0x4D671330	RGB	24 bit depth	600 dpi	asm04090000120010001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/55	55	56.jp2	/asm0409/image/56.jp2
Page 11																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120011001	image/tiff	25683.38 KB	5107	6613	0xD92E879E	RGB	24 bit depth	600 dpi	asm04090000120011001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/56	56	57.jp2	/asm0409/image/57.jp2
Page 12																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120012001	image/tiff	28017.1 KB	5107	6628	0x436D3636	RGB	24 bit depth	600 dpi	asm04090000120012001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/57	57	58.jp2	/asm0409/image/58.jp2
Page 13																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120013001	image/tiff	26008.067 KB	5107	6613	0x947B037C	RGB	24 bit depth	600 dpi	asm04090000120013001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/58	58	59.jp2	/asm0409/image/59.jp2
Page 14																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120014001	image/tiff	24610.002 KB	5107	6673	0x1DEB470B	RGB	24 bit depth	600 dpi	asm04090000120014001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/59	59	60.jp2	/asm0409/image/60.jp2
Page 15																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120015001	image/tiff	26088.039 KB	5107	6673	0x804DF15	RGB	24 bit depth	600 dpi	asm04090000120015001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/60	60	61.jp2	/asm0409/image/61.jp2
Page 16																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120016001	image/tiff	26481.389 KB	5107	6583	0x8C9490DC	RGB	24 bit depth	600 dpi	asm04090000120016001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/61	61	62.jp2	/asm0409/image/62.jp2
Page 17																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120017001	image/tiff	26180.336 KB	5107	6583	0xFB71C464	RGB	24 bit depth	600 dpi	asm04090000120017001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/62	62	63.jp2	/asm0409/image/63.jp2
Page 18																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120018001	image/tiff	26696.432 KB	5107	6583	0x715192D2	RGB	24 bit depth	600 dpi	asm04090000120018001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/63	63	64.jp2	/asm0409/image/64.jp2
Page 19																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120019001	image/tiff	28005.049 KB	5107	6583	0xD0E9792B	RGB	24 bit depth	600 dpi	asm04090000120019001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/64	64	65.jp2	/asm0409/image/65.jp2
Page 20																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120020001	image/tiff	28466.929 KB	5107	6583	0x66D262AD	RGB	24 bit depth	600 dpi	asm04090000120020001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/65	65	66.jp2	/asm0409/image/66.jp2
Page 21																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120021001	image/tiff	28637.983 KB	5107	6583	0xD45084F8	RGB	24 bit depth	600 dpi	asm04090000120021001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/66	66	67.jp2	/asm0409/image/67.jp2
Page 22																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120022001	image/tiff	27345.438 KB	5107	6583	0xC89D8B65	RGB	24 bit depth	600 dpi	asm04090000120022001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/67	67	68.jp2	/asm0409/image/68.jp2
Page 23																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120023001	image/tiff	27575.45 KB	5107	6583	0x8A3BED0F	RGB	24 bit depth	600 dpi	asm04090000120023001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/68	68	69.jp2	/asm0409/image/69.jp2
Page 24																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120024001	image/tiff	27195.957 KB	5107	6583	0x1631B270	RGB	24 bit depth	600 dpi	asm04090000120024001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/69	69	70.jp2	/asm0409/image/70.jp2
Page 25																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120025001	image/tiff	27123.528 KB	5107	6583	0xF19F52C2	RGB	24 bit depth	600 dpi	asm04090000120025001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/70	70	71.jp2	/asm0409/image/71.jp2
Page 26																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120026001	image/tiff	28612.37 KB	5107	6583	0x14898C19	RGB	24 bit depth	600 dpi	asm04090000120026001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/71	71	72.jp2	/asm0409/image/72.jp2
Page 27																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120027001	image/tiff	27348.713 KB	5107	6583	0x5505F11E	RGB	24 bit depth	600 dpi	asm04090000120027001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/72	72	73.jp2	/asm0409/image/73.jp2
Page 28																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120028001	image/tiff	26709.073 KB	5107	6583	0xD876E161	RGB	24 bit depth	600 dpi	asm04090000120028001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/73	73	74.jp2	/asm0409/image/74.jp2
Page 29																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120029001	image/tiff	29344.525 KB	5107	6583	0x38E7CCF7	RGB	24 bit depth	600 dpi	asm04090000120029001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/74	74	75.jp2	/asm0409/image/75.jp2
Page 30																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120030001	image/tiff	26553.827 KB	5107	6583	0x6F47AEE0	RGB	24 bit depth	600 dpi	asm04090000120030001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/75	75	76.jp2	/asm0409/image/76.jp2
Page 31																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120031001	image/tiff	25132.988 KB	5107	6583	0x77F1ED4F	RGB	24 bit depth	600 dpi	asm04090000120031001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/76	76	77.jp2	/asm0409/image/77.jp2
Page 32																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120032001	image/tiff	26119.858 KB	4761	6583	0x8558A64C	RGB	24 bit depth	600 dpi	asm04090000120032001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/77	77	78.jp2	/asm0409/image/78.jp2
Page 33																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120033001	image/tiff	28574.87 KB	5047	6613	0x45F8ED5E	RGB	24 bit depth	600 dpi	asm04090000120033001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/78	78	79.jp2	/asm0409/image/79.jp2
Page 34																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120034001	image/tiff	27646.504 KB	5047	6613	0x44126A5C	RGB	24 bit depth	600 dpi	asm04090000120034001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/79	79	80.jp2	/asm0409/image/80.jp2
Page 35																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120035001	image/tiff	26051.863 KB	5047	6613	0x921354E3	RGB	24 bit depth	600 dpi	asm04090000120035001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/80	80	81.jp2	/asm0409/image/81.jp2
Page 36																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120036001	image/tiff	27704.986 KB	5122	6643	0xD6F9815	RGB	24 bit depth	600 dpi	asm04090000120036001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/81	81	82.jp2	/asm0409/image/82.jp2
Page 37																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012						asm04090000120037001	image/tiff	28498.128 KB	5122	6643	0xFF9E2FFD	RGB	24 bit depth	600 dpi	asm04090000120037001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/82	82	83.jp2	/asm0409/image/83.jp2
Lost in the Wastes of the Everglades		Larned, William Livingston, 1880-; King, John W.				Everglades (Fla.)	Periodicals; Diaries		1918		Florida. Everglades, The.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 7, Folder Title: Lost in the Everglades, 1917.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000012	Text					asm0409000012											2008-06-02	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/83	83	84.cpd	/asm0409/image/84.cpd
