Título	Translated Title	Creator	Director	Producer	Photographer	Contributors	Videographer	Cast	Resumen	Summary	Note	Tema	Subject	Género	Genre	Publisher	Date Published	Date Created	Time Period	Geographic Subject	Geo Point	Geo Box	Descripción Física	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Availability	Tape No.	Object ID	Digital ID	Upload ID	Original Format	Tape Format	Format	Type	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Bit Depth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Discoteca Club Destiny en Hialeah, Florida	Club Destiny in Hialeah, Florida	Club Destiny							El DJ se ve tocando música y manejando las luces, gente bailando. Un fisiculturista, una exhibición de artes marciales y una muestra del salón para actividades.	DJ is shown playing records and working the lights, with people dancing in the club. Body builder, martial arts exhibitions, and special event space.	Club Destiny address: 1970 60th St. Hialeah, Florida 33012	Discotecas -- Florida -- Hialeah; Disc jockeys -- Florida -- Hialeah; Club Destiny (Hialeah, Florida)	Discotheques -- Florida -- Hialeah; Disc jockeys -- Florida -- Hialeah; Club Destiny (Hialeah, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Hialeah (Florida)	east=-80.300507; north=25.877024; name=http://www.geonames.org/4164138			1 streaming video (0:00:58 sec.)	eng		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.018		chc50610000180004001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/23	23	12.m4v	/chc5061/image/12.m4v
Cercas Miami de Hialeah	Miami Fence of Hialeah	Cercas Miami						Hernández, Miguel	Domingo López, presidente de Cercas Miami, se ve mostrando un catálogo con muestras y productos al locutor Miguel Hernández y su esposa.	Domingo López, president of Cercas Miami, is seen showing a brochure with samples and products to broadcaster Miguel Hernández and his wife.		Verjas -- Diseño y construcción; Herrerías; Industria de la construcción -- Florida -- Miami; Cercas Miami (Miami, Florida)	Fences -- Design and construction; Iron-works; Construction industry -- Florida -- Miami; Cercas Miami (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1990	Hialeah (Florida)	name=http://www.geonames.org/4158476			1 streaming video (0:01:01 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210010001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/25	25	18.m4v	/chc5061/image/18.m4v
Restaurant La Arcada y Los Latinos de Miami Department Store en el Central Shopping Plaza	La Arcada Restaurant and Los Latinos of Miami Department Store at Central Shopping Plaza	Central Shopping Plaza						Barral, Rolando, 1939-2002	Anuncio del restaurant La Arcada y la tienda por departamentos Los Latinos de Miami, ambos localizados en Central Shopping Plaza. El fenecido actor cubano Rolando Barral se ve atendiendo al público de Los Latinos de Miami.	Commercial for La Arcada Restaurant and Los Latinos of Miami Department Store, both located at the Central Shopping Plaza. The late Cuban actor Rolando Barral is seen attending customers at Los Latinos de Miami.	Central Shopping Plaza address: 3825 NW 7th St., Miami Florida 33126.	Restaurantes -- Florida -- Miami; Cocina cubana; Tiendas al por menor -- Florida -- Miami; Vendedores -- Florida -- Miami; Centros comerciales -- Florida -- Miami; Central Shopping Plaza (Miami, Florida)	Restaurants -- Florida -- Miami; Cooking, Cuban; Stores, Retail -- Florida -- Miami; Sales personnel -- Florida - Miami; Shopping centers -- Florida -- Miami; Central Shopping Plaza (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	east=-80.258774; north=25.778879; name=http://www.geonames.org/4164138			1 streaming video (0:00:59 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210002001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/26	26	20.m4v	/chc5061/image/20.m4v
Inauguración de Associated Electric Supplies Corp.	Associated Electric Supplies Corp. grand opening	Associated Electric Supplies Corp.							Anuncio de la gran inauguración de Associated Electric Supplies Corp. La niña Linda J. Camacho se ve cortando la cinta de la inauguración. También resentes durante la grabación de la inauguración del local: Padre Jorge González; Simón Camacho, gerente; Antonio Martínez, presidente; Roberto Martínez, gerente.	Commercial of the grand opening of Associated Electric Supplies Corp. Linda J. Camacho is the girl cutting the ribbon. Also mentioned during the inauguration footage: Padre Jorge González; Simón Camacho, manager; Antonio Martínez, president; Roberto Martínez, manager.	Associated Electric Supplies Corp. address: 59 Beacom Blvd., Miami, Florida.	Tiendas al por menor de equipo eléctrico -- Florida -- Miami; Associated Electric Supplies Corp. (Miami, Florida)	Stores, Retail -- Electric equipment -- Florida -- Miami; Associated Electric Supplies Corp. (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.231667; north=25.771694; name=http://www.geonames.org/4164138			1 streaming video (0:00:52 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210052001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/27	27	14.m4v	/chc5061/image/14.m4v
Diario Las Américas, con la participación del comediante Salmoyedo	Diario Las Américas, featuring comedian Salmoyedo	Diario Las Américas						Salmoyedo	Salmoyedo se encuentra en un restaurante leyendo una copia del Diario Las Américas. El se queja de dos mujeres que lo acompañan, están haciendo mucho ruido, se va y se sienta dentro de un tanque de peces a leer en paz.	Salmoyedo is seen trying to read a copy of Diario Las Américas while at a restaurant. He complains about two other characters making too much noise, so he sits in a fish tank to read in peace.		Periódicos -- Florida -- Miami; Diario Las Américas	Newspapers -- Florida -- Miami; Diario Las Américas	registros videos; publicidad por difusión	video recordings; broadcast advertising		1980		1980-1990	Miami (Florida)	east=-80.242607; north=25.811232; name=http://www.geonames.org/4164138			1 streaming video (0:00:55 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210017001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/28	28	29.m4v	/chc5061/image/29.m4v
El Sabu Restaurant en su inauguración	El Sabu Restaurant grand opening	El Sabu Restaurant							Anuncio de la inauguración de El Sabu Restaurant. Estaba localizado al lado de Frank Joyería.	Commercial for the grand opening of El Sabu Restaurant. It was located next to Frank Joyería.	El Sabu Restaurant address: 2140 W Flagler, Miami, Florida.	Restaurantes -- Florida -- Miami; Cocina cubana; El Sabu Restaurant (Miami, Florida)	Restaurants -- Florida -- Miami; Cooking, Cuban; El Sabu Restaurant (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.230049; north=25.772282; name=http://www.geonames.org/4164138			1 streaming video (0:00:59 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210053001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/29	29	19.m4v	/chc5061/image/19.m4v
Rangel Auto Repairs, el mago de la mecánica moderna	Rangel Auto Repairs, magician of modern mechanics	Rangel Auto Repairs							Un carro se daña y los dueños lo empujan hasta Rangel Auto Repairs donde es reparado.	A car breaks down and the owners push it to Rangel Auto Repair where it is repaired.	Rangel Auto Repairs address: 10441 NW 28th St., Miami, Florida.	Talleres de reparación de automóviles -- Florida -- Miami; Rangel Auto Repairs (Miami, Florida)	Automobile repair shops -- Florida -- Miami; Rangel Auto Repairs (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	east=-80.366486; north=25.799824; name=http://www.geonames.org/4164138			1 streaming video (0:00:58 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.018		chc50610000180003001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/30	30	26.m4v	/chc5061/image/26.m4v
Flagler Federal Savings presentando a la actriz Griselda Noguera	Flagler Federal Savings featuring actress Griselda Noguera	Flagler Federal Savings						Noguera, Griselda	Anuncio de Flagler Federal Savings con la participacón de la actriz cubana Griselda Noguera. En el mismo ella se ve siviendo café cubano en varias tazas que muestran los porcientos de interés para una cuenta de ahorros. El Flagler Federal Savings era el único banco en Miami que ofrecía una tazita de café cubano.	Commercial for Flagler Federal Savings featuring Cuban actress Griselda Noguera. She is seen serving Cuban coffee in cups marked with varying interest rates on savings plans. Flagler Federal Savings was the only bank in Miami that also served Cuban coffee.	Flagler Federal Savings address: 101 NE 1st Ave., Miami, Florida.	Instituciones financieras  -- Florida -- Miami; Bancos y banca -- Florida -- Miami; Flagler Federal Savings (Miami, Florida)	Financial institutions -- Florida -- Miami; Banks and banking -- Florida -- Miami; Flagler Federal Savings (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1960-1970	Miami (Florida)	east=-80.191383; north=25.775434; name=http://www.geonames.org/4164138			1 streaming video (0:00:58 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210024001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/31	31	21.m4v	/chc5061/image/21.m4v
Olmo Lamps en la Calle Ocho	Olmo Lamps on 8th Street	Olmo Lamps Corp.							Anuncio de Olmo Lamps mostrando la variedad de lámparas en su salón de muestras.	Commercial for Olmo Lamps with views of lamp showroom.	Olmo Lamps address: 1012 SW 8th St., Miami, Florida.	Tiendas al por menor de equipo eléctrico -- Florida -- Miami; Salones de ventas; Olmo Lamps (Miami, Florida)	Stores, Retail -- Electric equipment -- Florida -- Miami; Showrooms; Olmo Lamps (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.211655; north=25.765955; name=http://www.geonames.org/4164138			1 streaming video (0:00:57 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210014001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/32	32	23.m4v	/chc5061/image/23.m4v
Las Olas Restaurant and Night Club Lounge en la Calle Ocho, Miami, Florida	Las Olas Restaurant and Night Club Lounge on 8th Street, Miami, Florida	Las Olas Restaurant and Night Club Lounge							Los propietarios Mario y Pura Castro reciben a los clientes de Las Olas Restaurant Lounge. Todo el mundo disfruta de los espectáculos nocturnos que el local ofrece.	Owners Mario and Pura Castro greet patrons at Las Olas Restaurant Lounge. Everyone enjoys the nightlife the establishment has to offer.		Restaurantes -- Florida -- Miami; Cocina cubana; Bares (Establecimiento para beber) -- Florida -- Miami; Las Olas Restaurant and Night Club Lounge (Miami, Florida)	Restaurants -- Florida -- Miami; Cooking, Cuban; Bars (Drinking establishments) -- Florida -- Miami; Las Olas Restaurant and Night Club Lounge (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	name=http://www.geonames.org/4164138			1 streaming video (0:01:02 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210023001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/33	33	27.m4v	/chc5061/image/27.m4v
Sheehan Buick Used Cars		Sheehan Buick							El mismo compara la compra de un auto usado al arte de las carreras de toros. Presenta también imágenes de los vendedores de Sheehan buick.	The ad compares the art of bullfighting with the art of buying a good used car. Images of Sheehan Buick salesmen.	Sheehan Buick address: 2321 SW 8th St., Miami, Florida.	Concesionarios de automóviles -- Florida -- Miami; Automóbiles usados -- Compra; Vendedores -- Florida -- Miami; Sheehan Buick Used Cars (Miami, Florida)	Automobile dealers -- Florida -- Miami; Used automobiles -- Purchasing; Sales personnel -- Florida - Miami; Sheehan Buick Used Cars (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.233444; north=25.765358; name=http://www.geonames.org/4164138			1 streaming video (0:00:57 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.020		chc50610000200002001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/34	34	32.m4v	/chc5061/image/32.m4v
Cuba Electric en la Calle Ocho, Miami, Florida	Cuba Electric on 8th Street, Miami, Florida	Cuba Electric							Anuncio de la tienda de enseres eléctricos Cuba Electric. La misma se especializaba en enseres grandes y de la mejor calidad en el mercado.	Commercial for Cuba Electric appliances. The store specialized in the biggest and best-known brands on the market.	Cuba Electric address: 1795 SW 8th St., Miami, Florida.	Tiendas al por menor de equipo eléctrico -- Florida -- Miami; Salones de ventas; Cuba Electric (Miami, Florida)	Stores, Retail -- Electric equipment -- Florida -- Miami; Showrooms; Cuba Electric (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.224457; north=25.765602; name=http://www.geonames.org/4164138			1 streaming video (0:00:06 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.022		chc50610000220006002			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/35	35	37.m4v	/chc5061/image/37.m4v
Café Estrella, ¡con sabor y más! Con la participación de Rosendo Rosell y Bertha Sandoval	Café Estrella, with taste and more! Featuring Rosendo Rosell and Bertha Sandoval	Café Estrella					Sánchez, Osvaldo	Rosell, Rosendo; Sandoval, Bertha	Anuncio de Café Estrella con la particpación de los actores cubanos Rosendo Rosell y Bertha Sandoval. El personaje de Bertha le sirve café al personaje de Rosell. Al final ambos coinciden en que el Café Estrella es el mejor café.	Commercial for Café Estrella featuring Cuban actors Rosendo Rosell and Bertha Sandoval at a cafeteria counter. Bertha's character is serving coffee to Rosell's character. Both characters agree that Café Estrella is the best coffee.		Industria del café -- Florida -- Miami; Consumo de café -- Estados Unidos; Café Estrella	Coffee industry -- Florida -- Miami; Coffee drinking -- United States; Café Estrella	registros videos; publicidad por difusión	video recordings; broadcast advertising				1960-1970	Miami (Florida)	http://www.geonames.org/4164138			1 streaming video (0:00:34 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.019		chc50610000180002003			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/36	36	48.m4v	/chc5061/image/48.m4v
International Driving School		International Driving School							Aldo Mesa, maestro de la escuela, es captado durante una lección en el salón de clases y en una sesión práctica en un automóvil con un estudiante.	Aldo Mesa, the school's instructor, is seen in a classroom and in a car with a student.	International Driving School address: 295 SW 27th Ave., Miami, Florida.	Autoescuelas -- Florida -- Miami; Profesores de autoescuela; International Driving School (Miami, Florida)	Automobile driver education -- Florida -- Miami; Automobile driver education teachers; International Driving School (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.238785; north=25.769762; name=http://www.geonames.org/4164138			1 streaming video (0:01:06 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.023		chc50610000230005003			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/37	37	42.m4v	/chc5061/image/42.m4v
Rental Plants of Miami		Rental Plants of Miami							Alquiler de plantas y tiestos para eventos.	Rental of plants and pots for parties.	Rental Plants of Miami address: 3200 NW 7th St., Miami, Florida.	Floristerías -- Florida -- Miami; Rental Plants of Miami (Miami, Florida)	Florists -- Florida -- Miami; Rental Plants of Miami (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.247711; north=25.778940; name=http://www.geonames.org/4164138			1 streaming video (0:00:33 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.023		chc50610000230005004			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/38	38	40.m4v	/chc5061/image/40.m4v
El Expreso de Miami, periodico local publicado semanalmente	El Expreso de Miami, a local weekly newspaper	El Expreso de Miami							Una mujer en una playa encuentra el periodico El Expreso. Luego sigue una escena en las oficinas del periodico mostrando al personal que trabaja alli.	Woman on a beach finds El Expreso newspaper. Cut to the newspaper's offices with shots of the staff at work.		Periódicos -- Florida -- Miami; El Expreso de Miami;	Newspapers -- Florida -- Miami; El Expreso de Miami;	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	name=http://www.geonames.org/4164138			1 streaming video (0:00:28 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.023		chc50610000230005002			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/39	39	47.m4v	/chc5061/image/47.m4v
Rainbow Ford, concesionario de carros nuevos y usados	Rainbow Ford, new and used cars dealership	Rainbow Ford							El gerente promociona un libro con certificados de descuento para servicios.	Manager advertises a coupon book for car services.	Rainbow Ford address: 3801 NW 27th Ave., Miami, Florida.	Concesionarios de automóviles -- Florida -- Miami; Automóbiles usados -- Compra; Rainbow Ford (Miami, Florida)	Automobile dealers -- Florida -- Miami; Used automobiles -- Purchasing; Rainbow Ford (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising		1986		1980-1990	Miami (Florida)	east=-80.240211; north=25.810949; name=http://www.geonames.org/4164138			1 streaming video (0:00:39 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.023		chc50610000230005005			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/40	40	36.m4v	/chc5061/image/36.m4v
Ayestaran Restaurant		Ayestaran Restaurant							Anuncio grabado en blanco y negro del Ayestaran Restaurant, con escenas de preparación de platos y clientes comiendo.	Black and white commercial clip for Ayestaran Restaurant showing food preparation and patrons eating.	Ayestaran Restaurant address: 706 SW 27th Ave. Miami, Florida.	Restaurantes -- Florida -- Miami; Cocina cubana; Ayestaran Restaurant (Miami, Florida)	Restaurants -- Florida -- Miami; Cooking, Cuban; Ayestaran Restaurant (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.238983; north=25.765764; name=http://www.geonames.org/4164138			1 streaming video (0:00:56 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.022		chc50610000210054002			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/41	41	38.m4v	/chc5061/image/38.m4v
Clínica Unión Latina	Medical Clinic Unión Latina	Clínica Unión Latina							Anuncio de la Clínica Unión Latina que presenta el presidente de la misma, Jesús Rico. Equipo médico y facilidades son mostradas en el comercial.	Commercial for Medical Clinic Unión Latina, featuring its president Jesús Rico. Facilities and equipment are featured in the clip.	Medical Clinic Unión Latina address: 22 SW 6th St., Miami, Florida.	Clínicas -- Florida -- Miami; Clínica Unión Latina (Miami, Florida	Clinics -- Florida -- Miami; Clínica Unión Latina (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.194084; north=25.768307; name=http://www.geonames.org/4164138			1 streaming video (0:00:21 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.022		chc50610000220006004			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/42	42	39.m4v	/chc5061/image/39.m4v
Monaco Auto Sales en la Calle Ocho	Monaco Auto Sales on 8th Street	Monaco Auto Sales							"Todos los modelos y años con financiamiento inmediato y garantía en el siempre vencedor Monaco Auto Sales, que lo espera en el 1800 SW de la Calle Ocho".	"Quality and excellent service await you at Monaco Auto Sales."	Monaco Auto Sales address: 1800 SW 8th St., Miami, Florida.	Concesionarios de automóviles -- Florida -- Miami; Monaco Auto Sales (Miami, Florida)	Automobile dealers -- Florida -- Miami; Monaco Auto Sales (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.224907; north=25.765305; name=http://www.geonames.org/4164138			1 streaming video (0:00:09 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.022		chc50610000220006005			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/43	43	43.m4v	/chc5061/image/43.m4v
Inauguración de la Clínica Moderna	Clínica Moderna inauguration	Clínica Moderna							Marta Hernández Solano aparece cortando la cinta inaugural. Hablan luego los doctores Sergio Medina y Leonardo Espil y el director de la clínica Diego Hernández Solano.	Seen cutting the ribbon is Marta Hernández Solano. Doctors Sergio Medina and Leonardo Espil are later speaking to the attendees along with Diego Hernández Solano, the clinic's director.	Clínica Moderna address: 949 SW 1st St. Miami, Florida 33128.	Clínicas -- Florida -- Miami; Clínica Moderna (Miami, Florida)	Clinics -- Florida -- Miami; Clínica Moderna (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1960-1970	Miami (Florida)	east=-80.210434; north=25.772667; name=http://www.geonames.org/4164138			1 streaming video (0:00:58 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.023		chc50610000230005006			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/44	44	44.m4v	/chc5061/image/44.m4v
Café Estrella, ¡con sabor y más! Con la participación de Marta Flores	Café Estrella, with taste and more! Featuring Marta Flores	Café Estrella					Sánchez, Osvaldo	Flores, Martha	Anuncio de Café Estrella con la actriz cubana Marta Flores. El personaje de Marta está en un supermercado y se da cuenta que se le olvido comprar algo. El hijo se acuerda y le trae un paquete de Café Estrella.	Commercial for Café Estrella Mom featuring Cuban actress Marta Flores. Marta's character is missing something at the supermarket, and her son remembers and brings her a package of Café Estrella.		Industria del café -- Florida -- Miami; Consumo de café -- Estados Unidos; Café Estrella	Coffee industry -- Florida -- Miami; Coffee drinking -- United States; Café Estrella	registros videos; publicidad por difusión	video recordings; broadcast advertising				1960-1970	Miami (Florida)	name=http://www.geonames.org/4164138			1 streaming video (0:00:32 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.020		chc50610000180002004			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/45	45	46.m4v	/chc5061/image/46.m4v
Radiadores Agency en la Calle Ocho	Radiadores Agency on 8th Street	Radiadores Agency							Anuncio de Radiadores Agency, "22 años garantizan nuestros trabajos".	Commercial for Radiadores Agency, "22 years of experience guarantees our service."	Radiadores Agency address: 2011 SW 8th St., Miami, Florida.	Automóbiles -- Radiadores -- Mantenimiento y reparación; Talleres de reparación de automóviles -- Florida -- Miami; Radiadores Agency (Miami, Florida)	Automobiles -- Radiators -- Maintenance and repair; Automobile repair shops -- Florida -- Miami; Radiadores Agency (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising						east=-80.228531; north=25.765526; name=http://www.geonames.org/4164138			0:00:09	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.022		chc50610000220006003			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/46	46	45.m4v	/chc5061/image/45.m4v
Vizcaya Country Club, "Un paraíso en el centro de lo mejor de Miami"	Vizcaya Country Club, "A paradise in the center of Miami's best"	Vizcaya Country Club					Sánchez, Osvaldo		Anuncio en blanco y negro del Vizcaya Country Club. Una pareja es vista durante la recepción de boda. Campos para practicar golf y espacios para eventos sociales son ofrecidos por el Vizcaya Country Club.	Black-and-white commercial clip for Vizcaya Country Club. A couple is seen at their wedding reception. Golf and other social events are catered at the country club.		Country clubs -- Florida-- Miami; Campos de golf -- Florida -- Miami; Salones de recepciones -- Florida -- Miami; Vizcaya Country Club (Miami, Florida)	Country clubs -- Florida-- Miami; Golf courses -- Florida -- Miami; Reception rooms -- Florida -- Miami; Vizcaya Country Club (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	name=http://www.geonames.org/4164138			1 streaming video (0:00:59 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.023		chc50610000210054003			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/47	47	49.m4v	/chc5061/image/49.m4v
