Title	Translated Title	Creator	Contributor	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Full Text	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Coleman Carroll, Bishop of Miami letter to Seymour Samet, July 4, 1964		Carroll, Coleman			Written on Diocese of Miami stationery	Samet, Seymour, 1912-; American Jewish Committee; Carroll, Coleman; Bishops	Correspondence		1964-07-04	1960-1970	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 4; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1964-1969						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002600001001	image/tiff	107635560 Bytes	5283	6790	279788926	RGB	8	600	asm06560002600001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/366	366	367.jp2	/asm0656/image/367.jp2
Max J. Lorber "Muggs" letter to Seymour Samet, November 5, 1962		Lorber, Max J.				Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Lorber, Max J.	Correspondence		1962-11-05	1960-1970	Miami Beach (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002450001001	image/tiff	89607056 Bytes	4589	6507	795403639	RGB	8	600	asm06560002450001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/367	367	368.jp2	/asm0656/image/368.jp2
Roberta Samet "Bobbie" postcard to her father Seymour Samet, August 14, 1964		Samet, Roberta				Samet, Seymour, 1912-; Samet, Roberta; Fathers and daughters; Daughters	Correspondence; Postcards		1964-08-14	1960-1970	Miami (Florida)	1 postcard	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 4; Folder Title: Personal Papers: Correspondence; Folder Date: 1964						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000380001001	image/tiff	21720744 Bytes	3474	2082	4198085074	RGB	8	600	asm06560000380001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/368	368	369.jp2	/asm0656/image/369.jp2
Arthur S. Rosichan letter to Seymour Samet, November 1, 1962		Rosichan, Arthur S.				Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Rosichan, Arthur S.	Correspondence		1962-11-01	1960-1970	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002420001001	image/tiff	89358572 Bytes	4573	6512	694154723	RGB	8	600	asm06560002420001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/369	369	370.jp2	/asm0656/image/370.jp2
Bishop of Miami Coleman F. Carroll letter to Seymour Samet, May 11, 1965		Carroll, Coleman			Written on Diocese of Miami stationery	Samet, Seymour, 1912-; Carroll, Coleman; Kensington (Maryland); Bishops	Correspondence		1965-05-11	1960-1970	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 5; Folder Title: Personal Papers: Correspondence; Folder Date: 1965-1985						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000450001001	image/tiff	109401382 Bytes	5350	6815	567342429	RGB	8	600	asm06560000450001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/370	370	371.jp2	/asm0656/image/371.jp2
Seymour Samet letter about requests for copies of his testimony before Senate Judiciary Sub-Committee on Escapees and Refugees on behalf of the American Jewish Committee		Samet, Seymour, 1912-			Written on Greater Miami Chapter American Jewish Committee	Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; United States. Congress. Senate. Committee on the Judiciary	Documents				Miami (Florida)	1 document	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 1; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: [n.d.]						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002270001001	image/tiff	109235816 Bytes	5320	6843	1687842975	RGB	8	600	asm06560002270001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/371	371	372.jp2	/asm0656/image/372.jp2
S. Lomay, Ben Wattenberg and Sidney Samet					Written on verso: "AJC DAC Mtg 10/26/78; S. Lomay, Ben Wattenberg, S.S, The Taxpayers Revolt"	Samet, Seymour, 1912-; Wattenberg, Ben J.; Lomay, S.; American Jewish Committee	Photographs		1978-10-26	1970-1980		1 b&w photograph	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 7; Folder Title: Personal Papers; Photographs; Folder Date: [n.d.], 1963-1966, 1978, 1979						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-08-08				asm06560000600001001	image/tiff	92947460 Bytes	6216	4983	3308272855	RGB	8	600	asm06560000600001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/372	372	373.jp2	/asm0656/image/373.jp2
Coleman O'Carrol letter to Seymour Samet, April 1, 1963		Carroll, Coleman			Letter from Coleman Carroll, Bishop of Miami written on Dioces of Miami stationery	Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Carroll, Coleman; Bishops	Correspondence		1963-04-01	1960-1970	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002500001001	image/tiff	108285900 Bytes	5311	6795	3820728373	RGB	8	600	asm06560002500001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/373	373	374.jp2	/asm0656/image/374.jp2
Philip Perlmutter letter to Seymour Samet		Perlmutter, Philip			Written on American Jewish Committee memorandum stationery	Samet, Seymour, 1912-; Perlmutter, Philip; American Jewish Committee; Jewish Community Relations Council Jewish Community Council; Letters; Memorandums	Correspondence					1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 3; Folder Title: Personal Papers: Correspondence; Folder Date: 1944-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000280001001	image/tiff	25948276 Bytes	3462	2496	2548440062	RGB	8	600	asm06560000280001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/374	374	375.jp2	/asm0656/image/375.jp2
John Slawson letter to Seymour Samet, October 21, 1962		Slawson, John, 1896-1989				Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Slawson, John, 1896-1989; Miami (Florida)	Correspondence		1962-10-31	1960-1970	New York (New York)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002400001001	image/tiff	109094832 Bytes	5342	6806	2054782868	RGB	8	600	asm06560002400001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/375	375	376.jp2	/asm0656/image/376.jp2
A. Harold Murray letter to Seymour Samet, September 3, 1964		Murray, A. Harold			Written on The American Jewish Committee stationery	Samet, Seymour, 1912-; United States -- Community Relations Service; American Jewish Committee; Leave of abscence; Murray, A. Harold; Washington (D.C.)	Correspondence		1964-09-03	1960-1970	New York (New York)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 4; Folder Title: Personal Papers: Correspondence; Folder Date: 1964						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000410001001	image/tiff	110382456 Bytes	5368	6853	3043604192	RGB	8	600	asm06560000410001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/376	376	377.jp2	/asm0656/image/377.jp2
Group photograph at the Walrus Club					Written on front: " to Howard, Phil Wylie; written on verso: "Left: Shaulin, Sh__, Janis, Fr__, _ _ _, L Hoffman, Benedict Silverman, L. Kanner, E. Daniels(d), B Shapiro; Seated: L Katcher, J. Gatsman, A Boas, P. Wylie, K. Treister; K. Myers, B. Gladstone, Stanley Pr__; Left _ _ M. Harris"; Business card photocopied on front: "The Walrus Club"	Samet, Seymour, 1912-; Wylie, Philip Gordon, 1902-1971; Walrus Club	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder Title: Personal Papers; Photographs; Folder Date: [n.d.], 1963-1966, 1978, 1979						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-08-08				asm06560000620001001	image/tiff	108777840 Bytes	6800	5331	2524471041	RGB	8	600	asm06560000620001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/377	377	378.jp2	/asm0656/image/378.jp2
Rabbi Marius Ranson letter to Seymour Samet, attention James R. Katchman [Katzman]		Rasinsky, Marius			Seymour Samet as Florida Regional Director of American Jewish Committee being honored at their 10th Anniversary Annual Dinner Meeting at Doral Country Club	Samet, Seymour, 1912-; Rasinsky, Marius; Katzman, James R.; Memorandums; American Jewish Committee	Correspondence		1962-10-24	1960-1970	Miami Beach (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002320001001	image/tiff	77077112 Bytes	4492	5718	3014557578	RGB	8	600	asm06560002320001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/378	378	379.jp2	/asm0656/image/379.jp2
Elaine Rosenberg letter to husband Seymour Samet, September 24, 1964		Rosenberg, Elaine			Written on The American Jewish Committee stationery	Samet, Seymour, 1912-; Husband and wife; Husbands; Wives; Spouses	Correspondence		1964-09-24	1960-1970	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 4; Folder Title: Personal Papers: Correspondence; Folder Date: 1964						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000430001001	image/tiff	57432624 Bytes	3563	5371	2401336897	RGB	8	600	asm06560000430001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/379	379	380.jp2	/asm0656/image/380.jp2
Fred E. Cole letter to Seymour Samet, March 10, 1964		Cole, Fred. E			Letter written on Coral Gables Congregational Church stationery	Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Cole, Fred. E	Correspondence		1964-03-10	1960-1970		1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 4; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1964-1969						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002560001001	image/tiff	54864088 Bytes	3472	5265	1919505274	RGB	8	600	asm06560002560001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/380	380	381.jp2	/asm0656/image/381.jp2
Seymour Samet named to the New Jersey State Advisory Committee of the U.S. Commission on Civil Rights						American Jewish Committee; American Jewish Committee. Miami Chapter; Civil rights -- United States -- History -- 20th century; Metropolitan Dade County (Florida). Community Relations Board; Miami (Florida) -- Race relations; Samet, Seymour, 1912-; United States -- Community Relations Service; Intergroup relations; Social action -- United States	Documents			1980-1990	Fort Lee (New Jersey)	1 document	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 1; Folder Title: Personal Papers: Biography/Resume; Folder Date: 1942-1986						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000050001001	image/tiff	112311202 Bytes	5388	6948	2061721327	RGB	8	600	asm06560000050001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/381	381	382.jp2	/asm0656/image/382.jp2
Roberta Samet "Bobbie" letter to her father Seymour Samet), August 12, 1964		Samet, Roberta				Samet, Seymour, 1912-; Samet, Roberta; Fathers and daughters; Daughters	Correspondence		1964-08-12	1960-1970	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 4; Folder Title: Personal Papers: Correspondence; Folder Date: 1964						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000370001001	image/tiff	108587964 Bytes	5329	6791	3154385105	RGB	8	600	asm06560000370001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/382	382	383.jp2	/asm0656/image/383.jp2
Miami Community Forum presents				"Anti-semitism Behind the Iron Curtain", Seymour Samet, speaker; "Free Speech for Hate Mongers?", Tobias Simon, speaker; "Let's Use Our History", Everett H. Rosenstein, speaker; "Painting, Sculpture and Architecture: Children of Science", Kenneth Bare, speaker	Forums and Adult Education sponsored by and held at the First Unitarian Church of Miami	American Jewish Committee; American Jewish Committee. Miami Chapter; Civil rights -- United States -- History -- 20th century; Metropolitan Dade County (Florida). Community Relations Board; Miami (Florida) -- Race relations; Samet, Seymour, 1912-; United States -- Community Relations Service; Intergroup relations; Social action -- United States; Workshops (Adult education)	Programs				Miami (Florida)	1 program	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000130001001	image/tiff	111175812 Bytes	5436	6816	2840920874	RGB	8	600	asm06560000130001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/383	383	384.jp2	/asm0656/image/384.jp2
Nathan Perlmutter letter to Carey McWilliams, November 16, 1962		Perlumutter, Nate			Carey McWilliams, Editor, The Nation	Samet, Seymour, 1912-; American Jewish Committee; Perlmutter, Nate; McWilliams, Carey, 1905-1980	Correspondence		1962-11-16	1960-1970	New York (New York)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002490001001	image/tiff	108869508 Bytes	5327	6811	1422327274	RGB	8	600	asm06560002490001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/384	384	385.jp2	/asm0656/image/385.jp2
Seymour Samet meeting in Albany with unnamed community executives					Written on verso: "2/19/65 meeting in Albany of Community Executives"	Samet, Seymour, 1912-; Communities; Executives; Meetings	Photographs		1965-02-19	1960-1970	Albany (New York)	1 b&w photograph	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 7; Folder Title: Personal Papers; Photographs; Folder Date: [n.d.], 1963-1966, 1978, 1979						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-08-08				asm06560000560001001	image/tiff	18196636 Bytes	2724	2224	3113100602	RGB	8	600	asm06560000560001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/385	385	386.jp2	/asm0656/image/386.jp2
W. E. Headley letter to all Miami Police Officers, September 4, 1953		Headley, W. E.			W. E. Headley, Chief of Police writes letter on City of Miami, Florida stationery	Metropolitan Dade County (Florida). Community Relations Board; Miami (Florida) -- Race relations; Samet, Seymour, 1912-; Miami (Florida). Police Department; Headley, W.E.; Police -- Community relations; Miami (Florida); Alert Committee for the National Baptist Convention	Correspondence		1953-09-04	1950-1960	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 3; Folder Title: Personal Papers: Correspondence; Folder Date: 1944-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000310001001	image/tiff	106517820 Bytes	5266	6741	457293314	RGB	8	600	asm06560000310001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/386	386	387.jp2	/asm0656/image/387.jp2
Dade County Council on Community Relations Executive Committee, 1954-1955						American Jewish Committee; American Jewish Committee. Miami Chapter; Civil rights -- United States -- History -- 20th century; Metropolitan Dade County (Florida). Community Relations Board; Miami (Florida) -- Race relations; Samet, Seymour, 1912-; United States -- Community Relations Service; Intergroup relations; Social action -- United States; Human rights	Documents		1954; 1955	1950-1960		1 document	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000270001001	image/tiff	109956810 Bytes	5345	6856	3493859561	RGB	8	600	asm06560000270001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/387	387	388.jp2	/asm0656/image/388.jp2
Honoree Mark Schrader with Seymour Samet and two unknown people					Written on verso: "AJC Appeal for H.R. Dinner at St. Regis 4/24/79, Honoree Mark Schrader, Publisher Harpers Bazaar	Samet, Seymour, 1912-; Schrader, Martin H.; American Jewish Committee; Hearst Corporation -- Harper's Bazaar Magazine; St. Regis (Hotel); Publishers and publishing -- United States	Photographs		1979-04-24	1970-1980	New York (New York)	1 b&w photograph	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 7; Folder Title: Personal Papers; Photographs; Folder Date: [n.d.], 1963-1966, 1978, 1979						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-08-08				asm06560000610001001	image/tiff	93320744 Bytes	6179	5033	3226811290	RGB	8	600	asm06560000610001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/388	388	389.jp2	/asm0656/image/389.jp2
Sidney Lefcourt letter to Seymour Samet, November 1, 1962		Lefcourt, Sidney			Letter from Sidney Lefcourt, President written on Greater Miami Jewish Federation stationery	Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Lefcourt, Sidney; Greater Miami Jewish Federation	Correspondence		1962-11-01	1960-1970	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002410001001	image/tiff	108094380 Bytes	5293	6806	813201129	RGB	8	600	asm06560002410001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/389	389	390.jp2	/asm0656/image/390.jp2
Meeting with Bishop Carroll and others on formation of local race and religion committee					Written on verso: "Tues Apr 16, 1963 Mtg w Bishop Carroll et al on formation of a local Committee on Race & Religion"	Samet, Seymour, 1912-; Carroll, Coleman; Bishops; Race -- Religious aspects	Photographs		1963-04-16	1960-1970	Florida	1 b&w photograph	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 7; Folder Title: Personal Papers; Photographs; Folder Date: [n.d.], 1963-1966, 1978, 1979						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-08-08				asm06560000570001001	image/tiff	41069828 Bytes	4377	3126	438336566	RGB	8	600	asm06560000570001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/390	390	391.jp2	/asm0656/image/391.jp2
Seymour Samet remarks at American Jewish Committee retirement party		Samet, Seymour, 1912-			Looking backward	American Jewish Committee; American Jewish Committee. Miami Chapter; Civil rights -- United States -- History -- 20th century; Miami (Florida) -- Race relations; Samet, Seymour, 1912-; United States -- Community Relations Service; Intergroup relations; Social action -- United States American Jewish Committee; American Jewish Committee. Miami Chapter; Human rights	Documents		1983-11-15	1980-1990		1 document	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000250001001	image/tiff	96806776 Bytes	4984	6473	1166338720	RGB	8	600	asm06560000250001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/391	391	392.jp2	/asm0656/image/392.jp2
Hugh Nugent, Assistant, Deputy Attorney General memorandum to Seymour Samet, July 13, 1966		Nugent, Hugh		Notice of plans to hold meeting on July 22 in the Deputy Attorney General's Conference Room in reference to PPB training course at Harvard.	Written on United States Government, Department of Justice memorandum paper	Samet, Seymour, 1912-; United States -- Community Relations Service; Memorandums; Nugent, Hugh; United States. Department of Justice	Correspondence		1966-07-13	1960-1970	Washington (D.C.)	1 memorandum	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 5; Folder Title: Personal Papers: Correspondence; Folder Date: 1965-1985						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000470001001	image/tiff	97340140 Bytes	4990	6501	1399548192	RGB	8	600	asm06560000470001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/392	392	393.jp2	/asm0656/image/393.jp2
Harold Spaet letter to Seymour Samet, December 19, 1955		Spaet, Harold			Letter from Miami Beach Councilman Harold Spaet written on City of Miami Beach stationery	Samet, Seymour, 1912-; Spaet, Harold; American Jewish Committee; American Jewish Committee. Miami Chapter	Correspondence		1955-12-19			1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 2; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1953-1959						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002280001001	image/tiff	89038720 Bytes	4551	6520	1930859560	RGB	8	600	asm06560002280001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/393	393	394.jp2	/asm0656/image/394.jp2
Gaitha Martinez letter to Seymour Samet, October 29, 1962		Martinez, Gaitha			Letter from Gaitha Martinez, Temporary Executive Director, Greater Miami Urban League written on their stationery	Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Martinez, Gaitha	Correspondence		1962-10-29	1960-1970	Miami (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002380001001	image/tiff	107518396 Bytes	5292	6771	355789060	RGB	8	600	asm06560002380001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/394	394	395.jp2	/asm0656/image/395.jp2
1952 participants in Civil Rights and Human Relations workshop						Civil rights -- United States -- History -- 20th century; Samet, Seymour, 1912-; United States -- Community Relations Service; Intergroup relations; Social action -- United States; Interpersonal relations	Documents		1952	1950-1960	New Jersey	1 document	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560000160001001	image/tiff	114448760 Bytes	5445	7005	1140212907	RGB	8	600	asm06560000160001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/395	395	396.jp2	/asm0656/image/396.jp2
James R. Katzman letter to Seymour Samet, November 12, 1962		Katzman, James R.				Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Katzman, James R.; Miami (Florida)	Correspondence		1962-11-12	1960-1970	Miami Beach (Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-08-08				asm06560002480001001	image/tiff	78868536 Bytes	4248	6187	565772998	RGB	8	600	asm06560002480001001.tif		2012-08-09	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/396	396	397.jp2	/asm0656/image/397.jp2
