Title	Photographer	Summary	Note	Subject	Genre	Publisher	Date	Coverage	State	County	City	Place	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Copyright	Digital ID	Type	Format	Width	Height	Checksum	BitDepth	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Thunderbird Resort Motel		"Luxury with informality. Ocean at 185th St., Miami Beach, Florida" --Caption on verso.	Located at 18401 Collins Ave, Sunny Isles Beach. This once popular "Rat Pack" hang-out was originally built in 1954 and renovated in 2001 as the Best Western Thunderbird Resort Hotel. It was slated for demolition in 2003. Inscription on verso. Postmark: Aug 30, 1961.	Thunderbird Resort Motel (Miami Beach, Fla.); Hotels; Seaside resorts; Seaside architecture	Postcards;Aerial views	Curt Teich and Co.		1950s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001520001001	Still Image	image/tiff	1023	679	0x5BEFE287	24bit color	asm02990001520001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/664	664	744.jpg	/asm0299/image/744.jpg
Hotel Everglades, Miami, Florida		Illustration of the hotel and grounds.	The 16-story Everglades, at 244 Biscayne Boulevard, was built in 1926. Inscription on verso. Postmark: Feb 25, 1932.	Everglades Hotel (Miami, Fla.); Hotels	Postcards	Morrill Press		1930s	Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001630001001	Still Image	image/tiff	501	768	0xB6118148	24bit color	asm02990001630001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/665	665	755.jpg	/asm0299/image/755.jpg
Plymouth Hotel and Pool		"At 21st Street, Miami Beach, Florida. 80 rooms with bath, steam heated. Private pool, coffee shop, dining terrace, Solarium, dancing, entertainment, Cabana Club and beach privileges. White Roe management." --Caption on verso.	"Spectra-Color."	Plymouth Hotel and Pool (Miami Beach, Fla.); Hotels; Art deco (Architecture); Art Deco Historic District (Miami Beach, Fla.)	Postcards	James J. Gillick and Co.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001210001001	Still Image	image/tiff	1022	673	0x641C7788	24bit color	asm02990001210001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/666	666	713.jpg	/asm0299/image/713.jpg
University of Miami main campus in Coral Gables, Florida		Aerial view of the University of Miami, Coral Gables campus.  "University of Miami, southernmost university in the United States, is famous for its functional tropic architecture. Bottom, Student Club on shore of University Lake, with outdoor dance patio and dining loggias; right, Merrick Building; left, Memorial Classroom building and Beaumont lecture hall; upper right, Doctors Hospital; top, Riviera Country Club and golf course."--Caption on verso.	"538."	University of Miami	Postcards;Aerial views	Harrison Photo Laboratories			Florida	Miami-Dade county	Coral Gables		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  I University of Miami	Box No.: 1, Folder Title: Aerial View: Main Campus.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002210001001	Still Image	image/tiff	1023	662	0xCCC2D1BB	24bit color	asm02990002210001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/667	667	810.jpg	/asm0299/image/810.jpg
Hotel DiLido, Miami Beach, Florida		"Miami Beach's Newest and Largest. Directly on the Ocean at Lincoln Road. Miami Beach, Florida. Open year round. Completely air conditioned." --Caption on verso.	This 11-story hotel, an Art Moderne/Miami Modern structure, was designed by architect Morris Lapidus in 1953. Inscription on verso. Postmark: Sep 23, 1958. 15006.	DiLido Hotel (Miami Beach, Fla.); Hotels; Seaside resorts; Swimming pools; Art Deco Historic District (Miami Beach, Fla.); Suntan	Postcards	Hannau Color Productions		1950s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000670001001	Still Image	image/tiff	1023	696	0x56EA457E	24bit color	asm02990000670001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/668	668	660.jpg	/asm0299/image/660.jpg
Buckingham Waterfront Apartments		"Where the meeting of Indian Creek and Biscayne Bay provides the most beautiful view in Miami Beach. A modern building, 1 and 2-bedroom units, 2 bath rooms, daily maid service, swimming pool, fishing dock, shuffleboard courts, free car parking -- Weekly, monthly, seasonal and yearly rates. 6770 Indian Creek Drive, Miami Beach, Florida"--Caption on verso.	Postmark: Mar 10, 1960. 12748.	Buckingham Waterfront Apartments (Miami Beach, Fla.); Apartment houses; Swimming pools; Bathing suits; Suntan	Postcards	Hannau Color Productions		1960s	Florida			Indian Creek	1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002440001001	Still Image	image/tiff	1023	653	0xF5AEC2FF	24bit color	asm02990002440001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/669	669	833.jpg	/asm0299/image/833.jpg
One of the beautiful residences at Coral Gables, Florida		"All the beauty that is Sunny Florida's may be found at Coral Gables. Its many fine residences have unsurpassed settings of tropic blossoms and foliage, and its climate is ideal." --Caption on verso.	This house in the Mediterranean Revival style is flanked by Florida pines. Inscription on verso. Postmark: 1947. 22. "Tichnor quality views."	Architecture, Domestic	Postcards	Eli Witt Cigar and Tobacco Co.; Tichnor Bros., Inc.		1940s	Florida	Miami-Dade county	Coral Gables		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002860001001	Still Image	image/tiff	1023	648	0x8187B43	24bit color	asm02990002860001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/670	670	873.jpg	/asm0299/image/873.jpg
Roman Pools, Miami Beach Casino, Miami Beach, Fla.		Aerial view of the crowded Roman Pools at the Miami Beach Casino. The resort was refurbished in 1916.	"95742."	Roman Pools (Miami Beach, Fla.); Seaside resorts; Swimming pools	Postcards;Aerial views	Curt Teich and Co.		1920s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002510001001	Still Image	image/tiff	1023	676	0x3AEBA4C4	24bit color	asm02990002510001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/671	671	840.jpg	/asm0299/image/840.jpg
Bathing at Lummus Park, Miami Beach, Florida		Visitors to the beach enjoy a pleasant day at Lummus Park. "Thousands enjoy the surf-bathing here throughout the winter, as there is never a day in the entire year that surf-bathing cannot be enjoyed. The winter temperature of the water is 74°, its even temperature being caused by the nearness to the Gulf Stream." --Caption on verso.	3482 58.	Lummus Park (Fla.); Parks; Beaches	Postcards	E. C. Kropp Co.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002660001001	Still Image	image/tiff	1023	660	0xEA66BB28	24bit color	asm02990002660001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/672	672	855.jpg	/asm0299/image/855.jpg
Ocean Surf Hotel, Miami Beach, Fla.		"The exclusive Ocean Surf Hotel, 74th Street on the Ocean, Miami Beach, Florida. New - Modern - All rooms with bath and shower - Elevator service - Surf bathing from your room - Solarium - Coffee shop." --Caption on verso.	The Ocean Surf was designed by Anton Skislewicz and built in 1940. This area was originally known as the Harding Townsite, as it was founded by President Warren Harding. In order to preserve its unique look and feel, the neighborhood was declared a Historic District in 1996. In 1997 the hotel was entirely restored.	Hotels; Seaside resorts	Postcards			1940s	Florida	Miami-Dade county	Miami Beach		1 monochrome postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001180001001	Still Image	image/tiff	1023	675	0x57591F5A	24bit color	asm02990001180001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/673	673	710.jpg	/asm0299/image/710.jpg
Macfadden-Deauville Hotel		"Health and pleasure spot, Collins Avenue at 67th Street, Miami Beach, Florida." "Luxurious quarters, excellent cuisine, the finest cabanas in Florida, the largest circular salt water swimming pool in the World and 500 feet of private beach enable the vacationer or health seeker to enjoy Florida at its very best. For the health seeker, the latest, most up-to-date practices and appliances in natural healing methods are available." --Caption on verso.	61268. The Deauville Casino and Hotel was built by Joseph Eisener.  It was demolished in 1956.	Macfadden-Deauville Hotel (Miami Beach, Fla.); Hotels; Seaside resorts; Seaside architecture; Swimming pools; Beaches	Postcards;Aerial views				Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001000001001	Still Image	image/tiff	1023	684	0x6118F7F3	24bit color	asm02990001000001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/674	674	693.jpg	/asm0299/image/693.jpg
The Traymore Hotel		"The Traymore Hotel Pool and Cabana Club on the Ocean at 24th Street and Collins Avenue, Miami Beach, Florida. New eight story fireproof hotel situated on fashionable Ocean Boardwalk - Private beach - Lake Pancoast on west - Blue Angel Cocktail Lounge - Air conditioned - Free parking." --Caption on verso.	Built in 1938 by Albert Anis, the hotel was renovated in 1990. This eight-story hotel is located in Central Miami Beach, at 2445 Collins Avenue, across the street from the Intracoastal Waterway/Indian Creek. On verso: "K3454."	Traymore Hotel (Miami Beach, Fla.); Hotels; Seaside resorts; Art deco (Architecture)	Postcards;Aerial views	Colourpicture Publishers, Inc.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001540001001	Still Image	image/tiff	1022	666	0x97094DEF	24bit color	asm02990001540001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/675	675	746.jpg	/asm0299/image/746.jpg
The kiddies have a grand time at the Venetian Pool, Coral Gables, Fla.	Romer, Gleason Waite, 1887-1971	Families and sunbathers enjoy a beautiful day at Venetian Pool.	On verso: "C.T. Art-Colortone"	Venetian Pool (Coral Gables, Fla.); Swimming pools; Suntan; Bathing suits; Family recreation; Tourist attractions	Postcards;Advertising postcards	Thomas R. West; Curt Teich and Co.			Florida	Miami-Dade county	Coral Gables		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002960001001	Still Image	image/tiff	1023	665	0x799D2FA8	24bit color	asm02990002960001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/676	676	881.jpg	/asm0299/image/881.jpg
Aerial view of Miami Beach, Florida, Miami Beach dog track in foreground		Aerial view of Miami Beach, Florida, and the Miami Beach Dog Track.	Postmark: Mar 4, 1938. M-60. 7A-H1243.	Miami Beach Dog Track (Miami Beach, Fla.)	Postcards;Aerial views	Curt Teich and Co.; Thomas R. West.		1930s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002420001001	Still Image	image/tiff	1023	665	0x3EFA3B46	24bit color	asm02990002420001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/677	677	831.jpg	/asm0299/image/831.jpg
Miami's International Airport		Aerial view of the airport, with Delta and National airplanes in the foreground and tree canopy in the background.	"Miami's International Airport, located on N. W. 36th Street, one of the leading airports in the Americas, and served by most of the major airlines. One of the longest runways in the country has just been completed here that can accommodate the most modern jet transports." --Caption on verso. Genuine Curteich-Chicago "C. T. Photochrom" post card. 2C-P2483. PC.90.	Miami International Airport; Airplanes; Airports; Delta Air Lines; National Airlines, inc.	Postcards;Aerial views	Gulf Stream Card and Distributing Co.; Curt Teich and Co.			Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000060001001	Still Image	image/tiff	1023	660	0xA935CF2C	24bit color	asm02990000060001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/678	678	599.jpg	/asm0299/image/599.jpg
El Comodoro Hotel, Miami, Florida		"El Comodoro Hotel, S.W. 1st Street at Second Ave., Miami, Florida. Close to everything of interest to the winter visitor or commercial guest ... Each of the 250 rooms has private tub and shower bath ... Steam Heat ... Fire-proof ... Open year around ... Joe H. Adams, Manager." --Caption on verso.	12100.  Two blocks from heart of shopping and theatre district	Comodoro Hotel (Miami, Fla.); Hotels	Postcards	Colourpicture Publishers, Inc.			Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000610001001	Still Image	image/tiff	507	768	0x5362E320	24bit color	asm02990000610001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/679	679	654.jpg	/asm0299/image/654.jpg
The National Hotel - Pool - Cabana Colony		"The National Hotel - Pool - Cabana Colony, directly on the Ocean at 17th Street just north of Lincoln Road, Miami Beach, Florida, should be your vacation destination. Spring and fall rates, $18, 21, 24 per week/person. Double occupancy. Music - Entertainment. Remit $10.00 deposit with reservation to Department C. C. July and August rates slightly higher. The trend is National." --Caption on verso.	Built in 1939 by architect Roy France. Inscription on verso. Postmark: May 10, 1951.	National Hotel (Miami Beach, Fla.); Hotels; Art deco (Architecture); Art Deco Historic District (Miami Beach, Fla.)	Postcards	Palmland Printers		1950s	Florida	Miami-Dade county	Miami Beach		1 b&w postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001080001001	Still Image	image/tiff	1023	669	0xE84A1A29	24bit color	asm02990001080001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/680	680	700.jpg	/asm0299/image/700.jpg
Florida products, pickaninnies and alligators		An African American boy fends off an alligator with a pole.	Inscription on verso. Postmark: Nov 17, 1914.	Alligators	Postcards	St. Petersburg Post Card Association		1910s	Florida				1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Florida.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002980001001	Still Image	image/tiff	1023	662	0x11752E7E	24bit color	asm02990002980001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/681	681	883.jpg	/asm0299/image/883.jpg
Scene on Miami River, Fla.		Men fish from a boat on the Miami River.	"Made in Germany." 01169.	Miami River (Fla.); Rivers; Boats and boating; Fishing	Postcards	J. N. Chamberlain			Florida	Miami-Dade county		Miami River	1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001780001001	Still Image	image/tiff	1023	669	0xB22CC263	24bit color	asm02990001780001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/682	682	770.jpg	/asm0299/image/770.jpg
Silver Palm Hotel and Apartments, Miami Beach, Florida		"Silver Palm Hotel & Apartments, 3700 Collins Avenue, Miami Beach 40, Florida. New - Modern with sun deck. Gorgeously appointed rooms and lobby. Elevator service and steam heat. Located in the exclusive North Beach section facing the ocean. Television." --Caption on verso.	Typed message on verso. Postmark: May 16, 1951. 12994.	Silver Palm Hotel and Apartments (Miami Beach, Fla.); Hotels; Apartment houses; Color in architecture; Collins Avenue (Miami Beach, Fla.)	Postcards	Colourpicture Publishers, Inc.		1950s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001490001001	Still Image	image/tiff	1023	664	0xD7D65BBE	24bit color	asm02990001490001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/683	683	741.jpg	/asm0299/image/741.jpg
Royal Poinciana tree, Miami, Florida		A Royal Poinciana's red blossoms blaze against a blue sky.	Inscription on verso. Postmark: Jan 1947. D. C. 131.	Trees	Postcards	Dade County Newsdealers Supply Co.; Curt Teich and Co.		1940s	Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001910001001	Still Image	image/tiff	1023	665	0x55F1CD40	24bit color	asm02990001910001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/684	684	783.jpg	/asm0299/image/783.jpg
Nautilus Hotel, Miami Beach, Florida		"Luxurious appointments and cuisine of the highest, amid surroundings of tropic grandeur makes the Nautilus Hotel at Miami, one of the finest in the world." --Caption on verso.	The Nautilus was built by Leonard Shultze and S. Fullerton Weaver and opened in January of 1924. The property on Collins Avenue became the first location of Mount Sinai Medical Center, which opened in 1949. 73.	Nautilus Hotel (Miami Beach, Fla.); Hotels; Seaside resorts; Seaside architecture	Postcards;Aerial views	Tichnor Bros., Inc.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001120001001	Still Image	image/tiff	1023	665	0x4B7C87A3	24bit color	asm02990001120001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/685	685	704.jpg	/asm0299/image/704.jpg
Antilla Hotel, Coral Gables, Florida		"The Antilla Hotel, Coral Gables, is a fine example of the type of architecture which predominates in America's most beautiful suburban city. It is a true Spanish type, beautifully landscaped." --Caption on verso.	The Hotel was located at the northwest corner of Antilla Avenue and Ponce De Leon Boulevard.   Inscription on verso. Postmark: Feb 9, 1933.	Antilla Hotel (Coral Gables, Fla.); Hotels; Architecture -- Spanish influences	Postcards	Pictorial Centre		1930s	Florida	Miami-Dade county	Coral Gables		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002890001001	Still Image	image/tiff	1023	653	0x94B856C9	24bit color	asm02990002890001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/686	686	875.jpg	/asm0299/image/875.jpg
Ponce de Leon Plaza, Coral Gables, Miami, Fla.		View of Ponce de Leon Plaza at Coral Way and Granada Boulevard.		Ponce de Leon Plaza (Coral Gables, Fla.); Coral Way (Coral Gables, Fla.); Granada Boulevard (Coral Gables, Fla.)	Postcards				Florida	Miami-Dade county	Coral Gables		1 b&w postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002330001001	Still Image	image/tiff	1023	637	0xA36B61CB	24bit color	asm02990002330001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/687	687	822.jpg	/asm0299/image/822.jpg
Roosevelt Apts. & Hotel, Miami Beach, Florida		"Roosevelt Apartments and Hotel, 1255 Pennsylvania Avenue, Miami Beach, Florida. You will enjoy your stay with us." --Caption on verso.	Inscription on versor: C. T. Art Colortone. 5AH-417.	Roosevelt Apartments and Hotel (Miami Beach, Fla.); Hotels; Apartment houses	Postcards	Curt Teich and Co.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001330001001	Still Image	image/tiff	1023	669	0xF3297E82	24bit color	asm02990001330001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/688	688	725.jpg	/asm0299/image/725.jpg
Red Spanish pineapple, Miami, Fla.		Photograph of a pineapple with inscription. Verso reads: "Nothing but the address on this side."	Inscription dated Feb. 13, 1905.	Fruit	Postcards			1900s	Florida		Miami		1 b&w postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000260001001	Still Image	image/tiff	1023	649	0x6E251414	24bit color	asm02990000260001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/689	689	619.jpg	/asm0299/image/619.jpg
Miami Beach Auditorium		Picture of entertainer Jackie Gleason (with signature) and the auditorium from which "The Jackie Gleason Show" was broadcast.	"Miami Beach Auditorium. 1700 Washington Ave. ... The Miami Beach Auditorium, TV Capital of the South, and Jackie Gleason's choice is recognized as one of the largest and best equipped in the United States. Its excellent show and television facilities make it worthy for the finest of extravaganza productions. Facilities also used for opera, concerts, conventions and sporting events." --Caption on verso.	Celebrities; Miami Beach Auditorium (Miami Beach, Fla.); Auditoriums; Gleason, Jackie, 1916-1987; Jackie Gleason Theater of the Performing Arts (Miami Beach, Fla.)	Postcards				Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002470001001	Still Image	image/tiff	1022	670	0xB95AE636	24bit color	asm02990002470001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/690	690	836.jpg	/asm0299/image/836.jpg
Rosenstiel School aerial view		"The water front campus of the University of Miami's Rosenstiel School of Marine Atmospheric Sciences on Virginia Key in Biscayne Bay." --Caption on verso.	76-70.	Rosenstiel School of Marine and Atmospheric Science; Shorelines; Skylines; University of Miami	Postcards;Aerial views	Murphy Bros. Press			Florida	Miami-Dade county		Biscayne Bay	1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002780001001	Still Image	image/tiff	1023	667	0xEC59086F	24bit color	asm02990002780001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/691	691	865.jpg	/asm0299/image/865.jpg
Miami Beach, looking south from Lake Pancoast, showing Surfside, Breakers, Wofford and Roney-Plaza Hotels	Wright, Hamilton	Aerial view of Middle Beach hotels along Collins Avenue.	M-262. 4A-H656. C.T. Art-Colortone.	Hotels; Pancoast Lake (Fla.); Surfside Hotel (Miami Beach, Fla.); Breakers Hotel (Miami Beach, Fla.); Wofford Hotel (Miami Beach, Fla.); Roney Plaza Hotel (Miami Beach, Fla.); Seaside resorts; Seaside architecture; Collins Avenue (Miami Beach, Fla.); Shorelines	Postcards;Aerial views	Thomas R. West; Curt Teich and Co.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000980001001	Still Image	image/tiff	1023	672	0x5018F01B	24bit color	asm02990000980001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/692	692	691.jpg	/asm0299/image/691.jpg
Greetings from the Colonial Inn		"Colonial Inn - Complete Resort Motel, on the Oceanfront at 181st Street, Miami Beach, Florida ... was planned entirely for your pleasure ... the beautiful private beach stretches for 500 feet along the blue Atlantic ... The dining room is famed for the exceptional meals served guests ... entertainment and dancing nightly." --Caption on verso.	The Colonial Inn, at 18101 Collins Avenue in North Miami Beach (AKA Sunny Isles), was demolished in 2001. FNC 4812. 76745.	Colonial Inn (Miami Beach, Fla.); Hotels; Seaside resorts; Collins Avenue (Miami Beach, Fla.)	Postcards;Aerial views	Florida Natural Color, Inc.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000580001001	Still Image	image/tiff	1022	702	0x609526A8	24bit color	asm02990000580001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/693	693	651.jpg	/asm0299/image/651.jpg
