Title	Translated Title	Variation of Title	Uniform Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Edition	ISSN	ISBN	Call Number	OCLC No.	Physical Description	Language	Editor	Attention	References	Donor	Provenance	Copyright	Repository	Collection Title	Collection No.	Container	Series	Object ID	Upload ID	Full text	Digital ID	Directory	Original Source	Type	Format	IBISWEB Catalog Link	Date Digital	Hardware	Software	BitDepth	Resolution	File Size	Width	Height	Checksum	Color Space	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 2																																			asc99990000050002001				image/tiff					24 bit depth	600 dpi	7694.797 KB	3667	5474	0xA24459A4	RGB	asc99990000050002001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/376	376	377.jp2	/scbooks/image/377.jp2
Page 3																																			asc99990000050003001				image/tiff					24 bit depth	600 dpi	8581.513 KB	3586	5454	0xE323C922	RGB	asc99990000050003001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/377	377	378.jp2	/scbooks/image/378.jp2
Page 4																																			asc99990000050004001				image/tiff					24 bit depth	600 dpi	19306.675 KB	7173	5434	0xA6E93AEA	RGB	asc99990000050004001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/378	378	379.jp2	/scbooks/image/379.jp2
Page 5																																			asc99990000050005001				image/tiff					24 bit depth	600 dpi	19699.675 KB	7274	5495	0x92CC38BC	RGB	asc99990000050005001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/379	379	380.jp2	/scbooks/image/380.jp2
Page 6																																			asc99990000050006001				image/tiff					24 bit depth	600 dpi	14053.935 KB	7274	5474	0x3C7F8236	RGB	asc99990000050006001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/380	380	381.jp2	/scbooks/image/381.jp2
Page 7																																			asc99990000050007001				image/tiff					24 bit depth	600 dpi	15762.794 KB	7274	5495	0xADF53F23	RGB	asc99990000050007001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/381	381	382.jp2	/scbooks/image/382.jp2
Page 8																																			asc99990000050008001				image/tiff					24 bit depth	600 dpi	20042.7 KB	7274	5495	0xC5B5CD7B	RGB	asc99990000050008001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/382	382	383.jp2	/scbooks/image/383.jp2
Page 9																																			asc99990000050009001				image/tiff					24 bit depth	600 dpi	18179.479 KB	7274	5495	0xE653236	RGB	asc99990000050009001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/383	383	384.jp2	/scbooks/image/384.jp2
Page 10																																			asc99990000050010001				image/tiff					24 bit depth	600 dpi	17983.652 KB	7274	5495	0x4EA37E3D	RGB	asc99990000050010001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/384	384	385.jp2	/scbooks/image/385.jp2
Page 11																																			asc99990000050011001				image/tiff					24 bit depth	600 dpi	19677.649 KB	7274	5495	0x5FADFB67	RGB	asc99990000050011001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/385	385	386.jp2	/scbooks/image/386.jp2
Page 12																																			asc99990000050012001				image/tiff					24 bit depth	600 dpi	19347.181 KB	7274	5495	0xFA418E51	RGB	asc99990000050012001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/386	386	387.jp2	/scbooks/image/387.jp2
Page 13																																			asc99990000050013001				image/tiff					24 bit depth	600 dpi	18567.491 KB	7274	5495	0xF1DF41F5	RGB	asc99990000050013001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/387	387	388.jp2	/scbooks/image/388.jp2
Page 14																																			asc99990000050014001				image/tiff					24 bit depth	600 dpi	19548.66 KB	7274	5495	0x7CED82F7	RGB	asc99990000050014001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/388	388	389.jp2	/scbooks/image/389.jp2
Page 15																																			asc99990000050015001				image/tiff					24 bit depth	600 dpi	21718.225 KB	7254	5515	0x1AC9E640	RGB	asc99990000050015001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/389	389	390.jp2	/scbooks/image/390.jp2
Page 16																																			asc99990000050016001				image/tiff					24 bit depth	600 dpi	21146.214 KB	7274	5495	0xAA60F01D	RGB	asc99990000050016001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/390	390	391.jp2	/scbooks/image/391.jp2
Page 17																																			asc99990000050017001				image/tiff					24 bit depth	600 dpi	19949.672 KB	7274	5495	0x8F545064	RGB	asc99990000050017001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/391	391	392.jp2	/scbooks/image/392.jp2
Page 18																																			asc99990000050018001				image/tiff					24 bit depth	600 dpi	19737.548 KB	7254	5495	0xF8675930	RGB	asc99990000050018001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/392	392	393.jp2	/scbooks/image/393.jp2
Page 19																																			asc99990000050019001				image/tiff					24 bit depth	600 dpi	18626.515 KB	7213	5495	0x9690E235	RGB	asc99990000050019001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/393	393	394.jp2	/scbooks/image/394.jp2
Page 20																																			asc99990000050020001				image/tiff					24 bit depth	600 dpi	18586.427 KB	7213	5495	0x2A10C1A0	RGB	asc99990000050020001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/394	394	395.jp2	/scbooks/image/395.jp2
Page 21																																			asc99990000050021001				image/tiff					24 bit depth	600 dpi	19435.713 KB	6833	5495	0x5C49FB16	RGB	asc99990000050021001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/395	395	396.jp2	/scbooks/image/396.jp2
Page 22																																			asc99990000050022001				image/tiff					24 bit depth	600 dpi	20879.375 KB	7234	5535	0x4E357696	RGB	asc99990000050022001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/396	396	397.jp2	/scbooks/image/397.jp2
Page 23																																			asc99990000050023001				image/tiff					24 bit depth	600 dpi	20879.375 KB	7234	5535	0x7D70B563	RGB	asc99990000050023001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/397	397	398.jp2	/scbooks/image/398.jp2
Page 24																																			asc99990000050024001				image/tiff					24 bit depth	600 dpi	18462.804 KB	7213	5495	0x33B92E35	RGB	asc99990000050024001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/398	398	399.jp2	/scbooks/image/399.jp2
Page 25																																			asc99990000050025001				image/tiff					24 bit depth	600 dpi	19729.938 KB	7213	5495	0xCD080810	RGB	asc99990000050025001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/399	399	400.jp2	/scbooks/image/400.jp2
Page 26																																			asc99990000050026001				image/tiff					24 bit depth	600 dpi	17836.547 KB	7213	5495	0xB51AFFD5	RGB	asc99990000050026001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/400	400	401.jp2	/scbooks/image/401.jp2
Page 27																																			asc99990000050027001				image/tiff					24 bit depth	600 dpi	18427.032 KB	7193	5515	0x8CCAF407	RGB	asc99990000050027001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/401	401	402.jp2	/scbooks/image/402.jp2
Page 28																																			asc99990000050028001				image/tiff					24 bit depth	600 dpi	19233.464 KB	7193	5515	0x9CDC63C2	RGB	asc99990000050028001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/402	402	403.jp2	/scbooks/image/403.jp2
Page 29																																			asc99990000050029001				image/tiff					24 bit depth	600 dpi	17475.175 KB	7193	5474	0xCFF38BC5	RGB	asc99990000050029001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/403	403	404.jp2	/scbooks/image/404.jp2
Page 30																																			asc99990000050030001				image/tiff					24 bit depth	600 dpi	18043.689 KB	7193	5495	0x9F09D730	RGB	asc99990000050030001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/404	404	405.jp2	/scbooks/image/405.jp2
Page 31																																			asc99990000050031001				image/tiff					24 bit depth	600 dpi	18359.636 KB	7213	5495	0xC6C18212	RGB	asc99990000050031001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/405	405	406.jp2	/scbooks/image/406.jp2
Page 32																																			asc99990000050032001				image/tiff					24 bit depth	600 dpi	32452.796 KB	7234	5495	0x4B1939C0	RGB	asc99990000050032001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/406	406	407.jp2	/scbooks/image/407.jp2
Page 33																																			asc99990000050033001				image/tiff					24 bit depth	600 dpi	27459.105 KB	7234	5495	0xCC688CB6	RGB	asc99990000050033001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/407	407	408.jp2	/scbooks/image/408.jp2
Page 34																																			asc99990000050034001				image/tiff					24 bit depth	600 dpi	33153.728 KB	5069	6618	0x5FEE5007	RGB	asc99990000050034001.tif		2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/408	408	409.jp2	/scbooks/image/409.jp2
The World's Miami				Lowing, Herbert J.		A history of the settling of Florida.	"All present-day Miami pictures contained herein photographed since November 1, 1926."; "Miami and climate, agriculture, industry, foreign trade, with just enough history to make the rest intelligible"--P. [1]. Prologue includes an essay by Victor Hugo.	Miami (Florida) -- Description and travel; Miami (Florida) -- Economic conditions	Books	World's Miami Publishers	c1927	1920-1930	Miami-Dade County (Florida)				F319.M6 L68 1927		1 book (51 p. : ill.); 24 cm.	eng	jmc					http://merrick.library.miami.edu/digitalprojects/copyright.html	University of Miami Libraries. Special Collections	Special Collections Books	ASC9999			asc9999000005						Text	image/tiff	http://catalog.library.miami.edu/record=b1277952~S11													2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/409	409	410.cpd	/scbooks/image/410.cpd
Page 1																																			asc99990000080001001				image/tiff					24 bit depth	600 dpi	31990.136 KB	5630	4452	0x6339881E	RGB	asc99990000080001001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/410	410	411.jp2	/scbooks/image/411.jp2
Page 2																																			asc99990000080002001				image/tiff					24 bit depth	600 dpi	18461.201 KB	5530	4211	0xCC3BCB53	RGB	asc99990000080002001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/411	411	412.jp2	/scbooks/image/412.jp2
Page 3																																			asc99990000080003001				image/tiff					24 bit depth	600 dpi	23849.591 KB	5450	4191	0x6ED86D4E	RGB	asc99990000080003001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/412	412	413.jp2	/scbooks/image/413.jp2
Page 4																																			asc99990000080004001				image/tiff					24 bit depth	600 dpi	24610.707 KB	5450	4231	0xDACF9ED5	RGB	asc99990000080004001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/413	413	414.jp2	/scbooks/image/414.jp2
Page 5																																			asc99990000080005001				image/tiff					24 bit depth	600 dpi	26018.915 KB	5450	4271	0x3D658F1B	RGB	asc99990000080005001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/414	414	415.jp2	/scbooks/image/415.jp2
Page 6																																			asc99990000080006001				image/tiff					24 bit depth	600 dpi	23706.997 KB	5450	4231	0xB96AEA14	RGB	asc99990000080006001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/415	415	416.jp2	/scbooks/image/416.jp2
Page 7																																			asc99990000080007001				image/tiff					24 bit depth	600 dpi	23033.05 KB	5450	4231	0xDB21F270	RGB	asc99990000080007001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/416	416	417.jp2	/scbooks/image/417.jp2
Page 8																																			asc99990000080008001				image/tiff					24 bit depth	600 dpi	25328.068 KB	5450	4231	0x9B618148	RGB	asc99990000080008001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/417	417	418.jp2	/scbooks/image/418.jp2
Page 9																																			asc99990000080009001				image/tiff					24 bit depth	600 dpi	25204.236 KB	4308	5434	0x64EA7E09	RGB	asc99990000080009001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/418	418	419.jp2	/scbooks/image/419.jp2
Page 10																																			asc99990000080010001				image/tiff					24 bit depth	600 dpi	25580.977 KB	5470	4251	0xB1B53541	RGB	asc99990000080010001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/419	419	420.jp2	/scbooks/image/420.jp2
Page 11																																			asc99990000080011001				image/tiff					24 bit depth	600 dpi	25322.151 KB	5470	4231	0x9A1CE0A8	RGB	asc99990000080011001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/420	420	421.jp2	/scbooks/image/421.jp2
Page 12																																			asc99990000080012001				image/tiff					24 bit depth	600 dpi	25107.957 KB	5470	4271	0x3F77DB7F	RGB	asc99990000080012001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/421	421	422.jp2	/scbooks/image/422.jp2
Page 13																																			asc99990000080013001				image/tiff					24 bit depth	600 dpi	26914.307 KB	4248	5535	0xCC578B63	RGB	asc99990000080013001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/422	422	423.jp2	/scbooks/image/423.jp2
Page 14																																			asc99990000080014001				image/tiff					24 bit depth	600 dpi	24166.759 KB	5390	4211	0x873D0796	RGB	asc99990000080014001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/423	423	424.jp2	/scbooks/image/424.jp2
Page 15																																			asc99990000080015001				image/tiff					24 bit depth	600 dpi	23582.272 KB	5390	4211	0x4D787BE0	RGB	asc99990000080015001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/424	424	425.jp2	/scbooks/image/425.jp2
Page 16																																			asc99990000080016001				image/tiff					24 bit depth	600 dpi	25011.083 KB	5390	4251	0x310BD240	RGB	asc99990000080016001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/425	425	426.jp2	/scbooks/image/426.jp2
Page 17																																			asc99990000080017001				image/tiff					24 bit depth	600 dpi	22826.254 KB	5390	4171	0xC18BDA6E	RGB	asc99990000080017001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/426	426	427.jp2	/scbooks/image/427.jp2
Page 18																																			asc99990000080018001				image/tiff					24 bit depth	600 dpi	37656.194 KB	10179	4251	0x4C02995B	RGB	asc99990000080018001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/427	427	428.jp2	/scbooks/image/428.jp2
Page 19																																			asc99990000080019001				image/tiff					24 bit depth	600 dpi	20328.032 KB	5029	4251	0xAD677315	RGB	asc99990000080019001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/428	428	429.jp2	/scbooks/image/429.jp2
Glimpses of Miami, Florida				Chamberlain, John Newton, 1841-		Collection of 16 black-and-white photographs from turn-of-the-century Miami		Florida -- Description and travel; Miami (Florida) -- History	Photograph albums	J.N. Chamberlain	c1904	1900-1910	Miami-Dade County (Florida)				F319.M6 C38 1904		1 book (16 plates : all ill.); (1 folded); 19 x 24 cm.	eng	jmc					http://merrick.library.miami.edu/digitalprojects/copyright.html	University of Miami Libraries. Special Collections	Special Collections Books	ASC9999			asc9999000008						Text; Image	image/tiff	http://catalog.library.miami.edu/record=b2063904~S11													2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/429	429	430.cpd	/scbooks/image/430.cpd
Page 1																																			asc99990000230001001				image/tiff					24 bit depth	600 dpi	33350.366 KB	3627	6658	0x14DFDFF6	RGB	asc99990000230001001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/497	497	498.jp2	/scbooks/image/498.jp2
Page 2																																			asc99990000230002001				image/tiff					24 bit depth	600 dpi	39373.503 KB	3627	6658	0x4E6F1FA1	RGB	asc99990000230002001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/498	498	499.jp2	/scbooks/image/499.jp2
Page 3																																			asc99990000230003001				image/tiff					24 bit depth	600 dpi	28349.174 KB	3667	6658	0x147E1C17	RGB	asc99990000230003001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/499	499	500.jp2	/scbooks/image/500.jp2
Page 4																																			asc99990000230004001				image/tiff					24 bit depth	600 dpi	35080.217 KB	3667	6658	0xC75DAFA9	RGB	asc99990000230004001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/500	500	501.jp2	/scbooks/image/501.jp2
Page 5																																			asc99990000230005001				image/tiff					24 bit depth	600 dpi	25868.425 KB	3667	6658	0x8CC37D12	RGB	asc99990000230005001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/501	501	502.jp2	/scbooks/image/502.jp2
Page 6																																			asc99990000230006001				image/tiff					24 bit depth	600 dpi	24550.007 KB	3667	6658	0x46C1ED78	RGB	asc99990000230006001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/502	502	503.jp2	/scbooks/image/503.jp2
Page 7																																			asc99990000230007001				image/tiff					24 bit depth	600 dpi	29207.185 KB	3667	6658	0xD88805BA	RGB	asc99990000230007001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/503	503	504.jp2	/scbooks/image/504.jp2
Page 8																																			asc99990000230008001				image/tiff					24 bit depth	600 dpi	28778.229 KB	3667	6658	0xA5D241B0	RGB	asc99990000230008001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/504	504	505.jp2	/scbooks/image/505.jp2
Page 9																																			asc99990000230009001				image/tiff					24 bit depth	600 dpi	28794.959 KB	3647	6658	0xF912AAC2	RGB	asc99990000230009001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/505	505	506.jp2	/scbooks/image/506.jp2
Page 10																																			asc99990000230010001				image/tiff					24 bit depth	600 dpi	30073.2 KB	3667	6658	0x3C5CC71B	RGB	asc99990000230010001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/506	506	507.jp2	/scbooks/image/507.jp2
Page 11																																			asc99990000230011001				image/tiff					24 bit depth	600 dpi	29619.468 KB	3627	6678	0xAA711FFE	RGB	asc99990000230011001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/507	507	508.jp2	/scbooks/image/508.jp2
Page 12																																			asc99990000230012001				image/tiff					24 bit depth	600 dpi	29634.413 KB	3687	6638	0x83F097AB	RGB	asc99990000230012001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/508	508	509.jp2	/scbooks/image/509.jp2
Page 13																																			asc99990000230013001				image/tiff					24 bit depth	600 dpi	29306.313 KB	3627	6638	0x67B60EDF	RGB	asc99990000230013001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/509	509	510.jp2	/scbooks/image/510.jp2
Page 14																																			asc99990000230014001				image/tiff					24 bit depth	600 dpi	28581.017 KB	3627	6638	0x884D354D	RGB	asc99990000230014001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/510	510	511.jp2	/scbooks/image/511.jp2
Page 15																																			asc99990000230015001				image/tiff					24 bit depth	600 dpi	29491.146 KB	3627	6638	0xEF4926FF	RGB	asc99990000230015001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/511	511	512.jp2	/scbooks/image/512.jp2
Page 16																																			asc99990000230016001				image/tiff					24 bit depth	600 dpi	28724.497 KB	3627	6638	0xB9A151CB	RGB	asc99990000230016001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/512	512	513.jp2	/scbooks/image/513.jp2
Page 17																																			asc99990000230017001				image/tiff					24 bit depth	600 dpi	29750.958 KB	3627	6638	0xAE97C597	RGB	asc99990000230017001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/513	513	514.jp2	/scbooks/image/514.jp2
Page 18																																			asc99990000230018001				image/tiff					24 bit depth	600 dpi	28665.12 KB	3627	6638	0x4E110334	RGB	asc99990000230018001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/514	514	515.jp2	/scbooks/image/515.jp2
Page 19																																			asc99990000230019001				image/tiff					24 bit depth	600 dpi	29117.727 KB	3627	6638	0x2B3B7D45	RGB	asc99990000230019001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/515	515	516.jp2	/scbooks/image/516.jp2
Page 20																																			asc99990000230020001				image/tiff					24 bit depth	600 dpi	24554.263 KB	3627	6638	0x1F8E2DAE	RGB	asc99990000230020001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/516	516	517.jp2	/scbooks/image/517.jp2
Page 21																																			asc99990000230021001				image/tiff					24 bit depth	600 dpi	25764.604 KB	3627	6638	0x40D4246F	RGB	asc99990000230021001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/517	517	518.jp2	/scbooks/image/518.jp2
Page 22																																			asc99990000230022001				image/tiff					24 bit depth	600 dpi	34812.204 KB	3627	6658	0x1B6DB3E0	RGB	asc99990000230022001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/518	518	519.jp2	/scbooks/image/519.jp2
Page 23																																			asc99990000230023001				image/tiff					24 bit depth	600 dpi	42474.715 KB	3606	6658	0x4291F9C1	RGB	asc99990000230023001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/519	519	520.jp2	/scbooks/image/520.jp2
Page 24																																			asc99990000230024001				image/tiff					24 bit depth	600 dpi	27107.873 KB	3627	6658	0x9DF069F7	RGB	asc99990000230024001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/520	520	521.jp2	/scbooks/image/521.jp2
The Florida east coast : its wonderful railway and magnificent hotels						Booklet describing railway travel and hotels along Florida's east coast.		Florida East Coast Railway; Florida East Coast Hotel Company; Florida -- Description and travel; Railroad travel -- Florida; Hotels -- Florida	Tourism	Florida East Coast Railway	1912	1910-1920	Florida				F316 F6945 1912		1 pamphlet ([20] p. : ill. (some col.); col. map. ; 28 cm.	eng	jmc					http://merrick.library.miami.edu/digitalprojects/copyright.html	University of Miami Libraries. Special Collections	Special Collections Books	ASC9999			asc9999000023						Text	image/tiff	http://catalog.library.miami.edu/record=b2077517~S11													2012-04-20	2012-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/521	521	522.cpd	/scbooks/image/522.cpd
Page 1																																			asc99990000220001001				image/tiff					24 bit depth	600 dpi	23288.251 KB	5470	3770	0xDC40C18B	RGB	asc99990000220001001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/522	522	523.jp2	/scbooks/image/523.jp2
Page 2																																			asc99990000220002001				image/tiff					24 bit depth	600 dpi	17678.375 KB	5330	3589	0xE82DC817	RGB	asc99990000220002001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/523	523	524.jp2	/scbooks/image/524.jp2
Page 3																																			asc99990000220003001				image/tiff					24 bit depth	600 dpi	16910.193 KB	5330	3589	0x97A29A2	RGB	asc99990000220003001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/524	524	525.jp2	/scbooks/image/525.jp2
Page 4																																			asc99990000220004001				image/tiff					24 bit depth	600 dpi	18654.507 KB	5330	3589	0x5FA72E82	RGB	asc99990000220004001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/525	525	526.jp2	/scbooks/image/526.jp2
Page 5																																			asc99990000220005001				image/tiff					24 bit depth	600 dpi	18976.976 KB	5330	3589	0x409198AA	RGB	asc99990000220005001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/526	526	527.jp2	/scbooks/image/527.jp2
Page 6																																			asc99990000220006001				image/tiff					24 bit depth	600 dpi	18385.97 KB	5330	3629	0x97F71953	RGB	asc99990000220006001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/527	527	528.jp2	/scbooks/image/528.jp2
Page 7																																			asc99990000220007001				image/tiff					24 bit depth	600 dpi	17830.277 KB	5330	3629	0x7D1F0CEA	RGB	asc99990000220007001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/528	528	529.jp2	/scbooks/image/529.jp2
Page 8																																			asc99990000220008001				image/tiff					24 bit depth	600 dpi	18346.214 KB	5330	3629	0x9146A53E	RGB	asc99990000220008001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/529	529	530.jp2	/scbooks/image/530.jp2
Page 9																																			asc99990000220009001				image/tiff					24 bit depth	600 dpi	17987.594 KB	3606	5314	0x5AD4BDBB	RGB	asc99990000220009001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/530	530	531.jp2	/scbooks/image/531.jp2
Page 10																																			asc99990000220010001				image/tiff					24 bit depth	600 dpi	19095.355 KB	3606	5314	0xDAAF5D88	RGB	asc99990000220010001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/531	531	532.jp2	/scbooks/image/532.jp2
Page 11																																			asc99990000220011001				image/tiff					24 bit depth	600 dpi	17662.176 KB	5310	3609	0xE1EFDF9	RGB	asc99990000220011001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/532	532	533.jp2	/scbooks/image/533.jp2
